start	end	text
0	20980	Antony Cooper sempre foi um ótimo aluno, um ótimo filho, uma ótima pessoa para sua comunidade.
21320	25520	O último garoto no mundo que você esperaria que tirasse a própria vida.
26000	27980	Então o que aconteceu com Antony Cooper?
27980	32420	Será que realmente em um momento de desespero ele recorreu a isso?
32780	35520	Ou talvez alguém está mentindo nessa história?
36020	39220	Episódio de hoje, o suicídio de Antony Cooper.
39560	44260	Com os policiais, Guilherme Sasaki interpretando Nick Foster.
44680	47960	João Galvão interpretando o detetive Payne.
48380	53160	E com a Sinara interpretando a novata da delegacia, Emma Elliot.
53720	54880	Boa sorte jogadores.
55100	57880	Esse episódio não é recomendado para menores de 16 anos.
57980	60920	Eu não vou pipar os palavrões desse por isso.
61200	64020	O RPG Guaxa usa um sistema chamado lasers e sentimentos.
64340	65680	Na verdade uma adaptação dele.
66200	72420	Basicamente quando você vai fazer uma ação física ou um ataque, você precisa tirar o seu atributo ou menos.
73020	80000	E quando você vai fazer qualquer ação que não seja um ataque ou uma ação física, você precisa tirar seu atributo ou mais.
80440	83660	Cada personagem tem um único atributo, um único número que o define.
84200	84880	Boa aventura.
87980	89580	Di industriais, EntãoUUUUUUUUU
90400	97260	
101700	104640	Aquiles
109640	111140	aí vocês vão cavernas
113340	115060	cola de fogo
115720	116220	chama
116320	116880	...
116960	117460	...
117540	117940	...sebo
117980	118800	Claro, irmão.
119800	121120	Como assim eu morri?
122300	123500	Ora, iniciativa.
124160	126560	Então, não tem armadilha.
126840	127460	Podemos ir.
128140	129360	O que vocês fazem?
130740	131440	Tá, tá.
131660	134760	Eu amarro uma corda nelas e uso como arma.
135140	136020	Eu ataco.
136020	140400	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
140420	142700	Eu quero rolar a perseguição, posso?
143660	145100	Tem algum lugar pra se esconder?
145760	147960	Ah, falha a crítica.
148520	149360	Ataque de impunidade!
149700	151940	Erro, irmão! Chamo o clínico!
154700	158280	RPG Realidades Paralelas do Guaxinim.
158660	161240	Sua aventura de bolso na forma de podcast.
161660	164180	Uma jornada completa a cada episódio.
175060	177740	Então vamos lá, o ano é 2018, Estados Unidos.
177740	178500	Uma cidade grande.
178760	180660	Vocês fazem parte da polícia.
181080	184740	Não do policial de ocorrência de rua, mas do oficial que faz investigação.
185820	187020	Vocês são agentes, né?
187520	189540	Normalmente trabalham em duplas.
189940	193260	O Maximilian Payne e o Nick Foster são uma dupla.
193720	199280	A Emma D. Elliot, a Emma Douglas Elliot, ela costuma trabalhar com o Bob Sherman,
199780	205660	que é um ruivo com um bigode bem grande, sempre falando bobagem, rindo.
205660	207660	Ele esta manhã está com uma calça...
207740	214400	Jeans, uma camiseta florida, um suspensório daquele com o coldre, né, aparecendo a arma.
214400	218180	Provavelmente quando ele coloca um casaco esconde a arma, mas ela está aparente ali.
218180	220980	Ele está com o distintivo pendurado no pescoço.
220980	224340	E ele tem algo muito importante pra falar pra vocês três.
224340	226940	Mas antes disso, qual é a tua aparência, Nick?
226940	237540	Bom, eu tenho 32 anos, quase 1,80m, cabelos pretos, magro, e uso calça jeans e camisas, né,
237540	241340	que precisam ser passadas, mas não são passadas há algum tempo.
241340	242540	O Max?
242540	249740	Eu estou usando uma camiseta branca normal, uma jaqueta de couro, que por dentro tem...
249740	258340	Na parte do forro tem o péssimo gosto de ter uma estampa de oncinha, uma calça pesada.
258340	263340	E sou um cara normal, com o cabelo curto e tal, e 33 anos.
263340	264340	A Emma?
264340	267340	Eu tenho uns 25 anos.
267540	273540	Eu uso um cabelo Chanel com franja, óculos grossos de armação escura.
273540	278540	Eu sou baixinha, mais ou menos gordinha, e eu estou usando uma...
278540	285540	Não é um moletom, aquelas blusas meio de lã, que eu esqueci, mostarda e uma saia vermelhada.
285540	288540	É que a policial no trabalho, eu imagino que ela não usa saia, usa?
288540	289540	Então calça.
289540	291540	É verdade.
291540	293040	Podemos imaginar a Velma, né?
293040	294540	Exato, é a Velma.
294540	296540	Então o Bob Sherman, ele está em pé, né?
296540	299540	Vocês estão os três sentados, olhando qual é a loucura da vez dele.
299540	301540	Ele está com uma caixa fechada na mão dele.
301540	302540	E ele fala...
302540	303540	Vejam só, meus amigos.
303540	307540	Ele aponta para uma caixa de rosquinhas, que fica na mesa do café.
307540	310540	Na década de 70, cientistas colocaram cinco macacos numa jaula.
310540	312540	Nessa jaula tinha comida.
312540	314540	Uma comida comum e sem graça.
314540	317540	Uma escada e uma banana em cima da escada.
317540	322540	E sempre que o macaco subia a escada, os outros quatro macacos recebiam um jato de mangueirada fria.
322540	326540	E com o tempo, os macacos aprenderam para evitar a água fria.
326540	328540	Deviam impedir outros macacos de subir a escada.
328540	330540	Descendo a porrada neles.
330540	331540	Um dia todos aprenderam.
331540	333540	Aí que vem a parada.
333540	336540	Os cientistas tiraram o macaco e colocaram um novo.
336540	337540	Que logo tentou pegar a banana.
337540	340540	Mas apanhou dos colegas toda vez que tentou.
340540	342540	Depois de umas ruas, ele pode tentar.
342540	344540	Então se trocou outro macaco original.
344540	347540	E quando o novo macaco tentou subir, ele apanhou um dos outros.
347540	350540	Incluindo um macaco que nunca recebeu água fria.
350540	352540	Que nem sabia porque estava batendo.
352540	356540	Um a um, os macacos foram trocados até a jaula possuir apenas cinco macacos.
356540	357540	Que nunca viram água fria.
357540	360540	Mas impediam qualquer novo macaco de subir a escada.
360540	363540	Ou seja, eles faziam porque os anteriores faziam.
363540	365540	Sem saber porque faziam.
365540	367540	Agora vamos voltar as rosquinhas.
367540	369540	São da confeitaria da tia Gertrudes.
369540	371540	Na década de 70 também.
371540	372540	Olha que coincidência.
372540	375540	Pois bem, nessa época houve um roubo na confeitaria.
375540	377540	Que resultou em um tiroteio.
377540	378540	Um policial foi baleado.
378540	382540	E a sua foto estirada na porta da confeitaria ganhou todos os jornais.
382540	384540	Ninguém mais queria comprar na confeitaria.
384540	385540	Os policiais decidiram então.
385540	388540	Só comprar com rosquinhas ali.
388540	390540	A quantidade de policiais entrando e saindo.
390540	392540	Fez com que o povo voltasse a conferir na loja.
392540	394540	Hoje não tem mais a tia Gertrudes.
394540	395540	Ela já faleceu.
395540	397540	A confeitaria não está mais farindo.
397540	400540	Na verdade ela tem 12 lojas por todo o estado.
400540	403540	E nós ainda compramos exclusivamente na tia Gertrudes.
403540	404540	Tal qual os macacos.
404540	407540	Nem sabem o motivo de pagarmos 20 centavos a mais.
407540	410540	Por uma rosquinha que não criou um sabor novo em 20 anos.
410540	412540	Pelo contrário, extinguiu os sabores.
412540	414540	Imagino que futuramente as opções de rosquinhas serão.
414540	416540	Com e sem furo apenas.
416540	419540	Agora olhem esse legítimo Krispy Kreme que tem aqui.
419540	422540	Ele abre a tampa da caixa e está distribuindo para vocês.
422540	423540	Eu não estou muito animado.
423540	425540	Nem com o discurso dele, nem com as rosquinhas.
425540	427540	Mas eu pego uma para experimentar.
427540	428540	Ai Bob.
428540	430540	Tudo isso para trazer rosquinha de outro lugar?
430540	432540	Dá uma aí vai.
432540	433540	Pegou a rosa.
433540	435540	São realmente melhores do que as que vocês tem ali.
435540	437540	O chefe de polícia entra no departamento.
437540	440540	Ele está com a camiseta meio aberta em cima.
440540	441540	Ele está bem suado.
441540	443540	Parece que ele não passou em casa.
443540	445540	Ele não parece muito bem.
445540	447540	Ele olha para vocês e fala.
447540	451540	5 minutos na minha sala.
451540	455540	Termino de engolir a rosquinha inteira e já vou andando atrás.
455540	457540	Em direção a sala toda afobada.
457540	460540	Eu devolvo a rosquinha mordida para a caixa.
460540	462540	E vou lambendo os dedos.
462540	464540	Enxugando na camisa.
464540	466540	Eu vou comendo a rosquinha mesmo.
466540	469540	E planejo entrar na sala de reunião comendo ela se eu não tiver terminado ainda.
471540	472540	Vocês entram na sala.
472540	476540	O chefe de polícia está enchendo um copo com whisky.
476540	478540	Que ele tinha embaixo de uma gaveta.
478540	480540	Ele pede para vocês todos sentarem.
480540	481540	Sentem.
481540	482540	Ele pega alguns remédios.
482540	483540	Põe na boca.
483540	484540	E toma com o whisky.
484540	485540	Paz.
485540	486540	Eu sei como é isso daí.
486540	487540	Você me lembra mesmo mulher.
487540	488540	Só arregalo os olhos.
488540	489540	Fico olhando.
489540	491540	Ele aponta para um quadro na parede.
491540	492540	Onde está ele.
492540	493540	A esposa.
493540	494540	E o filho.
494540	495540	Há uns dois anos atrás.
495540	496540	Na foto.
496540	499540	Você sabe que a esposa dele morreu faz um ano.
499540	500540	Ele fala.
500540	501540	Primeiro.
501540	505540	Perdi minha esposa para aquela doença maldita.
508540	510540	E hoje.
510540	514540	Hoje recebo a notícia de que meu filho está morto.
514540	516540	Ele bebe outro gole.
516540	517540	Despeja-me senhor.
517540	518540	Vou mão na boca.
518540	519540	O que aconteceu chefe?
519540	522540	Eu estava há um ano sem vê-lo.
522540	527540	Embora conversássemos esporadicamente ao telefone.
527540	529540	Mesmo distante.
529540	533540	Eu acompanhava o seu progresso na faculdade.
533540	537540	Essa semana eu fui avisado de que ele tinha faltado a uma aula.
537540	540540	E ele nunca foi disso.
540540	543540	Eu fiz algumas investigações.
543540	546540	Cobrei alguns favores.
546540	551540	E usei métodos que prefiro não comentar.
551540	554540	Para não torná-los cúmplices.
554540	557540	Mas acabei descobrindo que ele pegou um ônibus.
557540	562540	Para uma cidade não muito longe daqui.
562540	565540	Embora seja distante da faculdade.
565540	567540	Uma fim de mundo.
567540	571540	Com pouco mais de 600 habitantes.
571540	578540	A cidade inteira possui apenas três linhas de telefone.
578540	582540	Após algumas tentativas eu consegui falar com ele.
582540	585540	Ele me disse que tinha ido atrás de uma menina.
585540	586540	Que ele estava apaixonado.
586540	588540	Nós brigamos.
588540	589540	Ele jogou na minha cara.
589540	591540	Que não era porque eu tinha perdido meu amor.
591540	593540	Que eu devia tirar o dele.
593540	595540	Foi terrível.
595540	597540	Eu ordenei que voltasse para a faculdade.
597540	599540	Ou eu iria buscá-lo à força.
599540	601540	Hoje pela manhã.
601540	603540	Eu mal havia dormido.
603540	605540	Estava arrependido.
605540	608540	Decidi ligar novamente para ele.
608540	612540	E fui informado pelo xerife da cidade.
612540	615540	Que meu filho tinha tirado a própria vida.
615540	617540	Meu filho.
617540	620540	Meu filho nunca faria isso.
620540	623540	Eu avisei para o chefe.
623540	625540	Que iria mandar meus homens.
625540	627540	E o xerife falou que ali era a jurisdição dele.
627540	630540	E que eu não poderia mandar investigadores para lá.
630540	633540	Eu juro para vocês.
633540	635540	Que se eu for até lá.
635540	637540	Eu vou matar aquela cidade inteira.
637540	640540	Até descobrir o que aconteceu com meu filho.
640540	643540	Por isso eu tenho um trabalho para vocês.
643540	645540	Bob.
645540	647540	Vá até a universidade do meu filho.
647540	649540	E descubra quem diabos é essa menina.
649540	651540	Como que se conheceram.
651540	653540	Que curso ela fazia.
653540	655540	E há quanto tempo estavam juntos.
655540	657540	E por que ela voltou para casa.
657540	659540	Tudo.
659540	661540	Aí o Bob pergunta.
661540	662540	Mas chefe.
662540	663540	E a minha parceira?
663540	664540	A sua parceira.
664540	666540	Não será sua parceira hoje.
666540	668540	Preciso dos conhecimentos dela.
668540	670540	Em outro lugar.
670540	671540	Aí o Bob tenta.
671540	672540	Mas chefe.
672540	673540	Mas chefe.
673540	674540	Ela está sempre comigo.
674540	676540	O chefe tira o revólver do coldre.
676540	677540	E coloca sobre a mesa.
677540	678540	E o Bob sai da sala.
678540	680540	Olha ele saindo meio assustado assim.
680540	682540	Porque eu sou novata.
682540	683540	E isso nunca aconteceu comigo.
683540	685540	E eu estou meio assustado olhando tudo.
685540	688540	Eu não posso mandar vocês três oficialmente para lá.
688540	690540	Por isso vocês estão suspensos.
690540	694540	Tenho dinheiro que guardei para montar um consultório para o meu filho.
694540	695540	Quando ele se formasse.
695540	696540	Vou usar essa grana.
696540	699540	Para pagar o que vocês perderem de salário.
699540	700540	Eu pago dez vezes.
700540	701540	Pago o que quiserem.
701540	704540	Vocês são os melhores nesse distrito.
704540	707540	Eu não posso, como chefe de polícia, enviar policiais.
707540	711540	Mas eu posso pedir um favor a três amigos.
711540	713540	Façam algumas perguntas.
713540	716540	Descubram o que realmente aconteceu lá.
716540	718540	Eu estou tentando contato com a FBI.
718540	719540	Mas isso pode demorar.
719540	721540	Eu tenho medo que as pistas esfriem.
721540	723540	Eu posso contar com vocês?
723540	724540	Com certeza, chefe.
724540	725540	Com certeza, chefe.
725540	726540	Pode ir.
726540	728540	A cidade se chama Flambe.
728540	730540	Ela tem um pouco mais de 600 habitantes.
730540	732540	E não está na maioria dos mapas.
732540	734540	Ele dá o endereço para vocês?
734540	736540	Vocês têm alguma pergunta?
736540	737540	Muitas, chefe.
737540	739540	O que nós temos são perguntas.
739540	742540	Primeiro, o que o seu filho estava estudando?
742540	744540	Você disse que ia abrir um consultório para ele.
744540	745540	Fazer psicologia.
745540	748540	Eu queria muito que ele seguisse a carreira na polícia.
748540	750540	Mas ele preferiu seguir os passos da mãe.
750540	752540	Eu ainda tenho...
752540	754540	Tinha...
754540	758540	Esperanças dele tentar algo ligado à psicologia criminalística.
758540	759540	Mas eu sabia que não tinha.
759540	761540	Mas eu sabia que não seria assim.
761540	764540	E guardei o dinheiro para montar um consultório.
764540	768540	Tem alguma outra informação importante sobre o filho do senhor que devemos saber?
770540	774540	Quanta quantidade de remédios e whisky que eu tomei.
774540	776540	Eu não consigo pensar em nada agora.
776540	781540	Ele chegou a falar que se a menina é dessa cidade.
781540	785540	Ou se ele fugiu para a cidade com a menina.
785540	786540	Sem...
786540	788540	Pelo que eu entendi, a menina era dessa cidade.
789540	791540	Ela tinha um nome de pessoa do interior.
791540	793540	Um nome de flor, talvez.
793540	796540	Eu pouco me recordo da nossa última conversa.
796540	798540	Eu estava com muita raiva.
798540	800540	Por isso mandei o Bob para a universidade.
800540	803540	Para levantar esses pontos que estão soltos.
