start	end	text
0	9780	Nem toda história tem uma lição de moral, algo para ser ensinado, e quando tem, normalmente
9780	16060	ela chega lá quase próxima ao final, mas vou subverter isso e explicar logo a lição
16060	16780	dessa história.
17200	21120	Afinal, na nossa idade, é bom evitar fortes emoções, né?
22560	27180	A lição é muito simples, e ela diz, respeite o idoso.
27180	32060	Em especial, os que são ex-super-agentes-assassinos.
32940	37080	Episódio de hoje, o sumiço do idoso sedutor.
37720	43320	Com o Filipe Xavier, lá do Arquivos da Patrulha, com a Ana, do Projeto Drama, e com a Mel,
43540	45800	do Projeto Drama e do Nossa Poesia.
46200	51140	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim-Zigambiarras.
51700	56200	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
56200	57060	Quanto maior.
57180	62880	O atributo do jogador mais atlético é o personagem, quanto menor, mais inteligente
62880	63780	e carismático.
64300	68340	Sempre que o jogador faz algo com uma chance de errar, joga 2 dados.
68780	75100	E precisa tirar o seu atributo ou menos para ataques e ações físicas, ou seu atributo
75100	78260	ou mais para ações intelectuais e sociais.
78660	83160	Se a jogada for fácil ou tiver o auxílio de um jogador, joga-se um dado a mais.
83160	86380	Se a jogada for difícil, rola-se um dado a menos.
86880	87140	Eu.
87180	93660	Sou o Vitor Hugo e sou o padrinho do RP Guaxa, porque ver o Guaxa criando esse universo faz
93660	98060	você querer participar de alguma forma e, às vezes, criar o seu próprio universo
98060	101220	com essa comunidade maravilhosa que ele criou.
101500	104660	Não deixe de seguir nas redes sociais, arroba o Marcelo Guaxinim, arroba o RP Guaxa, tanto
104660	105960	no Twitter quanto no Instagram.
106340	111100	Considere também se tornar um apoiador deste projeto lá no PicPay ou no Padrim.
111100	114100	Fala um pouco mais no Escudo do Mestre ao final da aventura.
117180	124540	Hetero
126360	134700	Sr. Passageiros, temos sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um guaxinim.
135040	143900	Por favor coloque a sua cadeira na posição vertical, aperte o cinto e segure a sua bebida, pois a nossa aventura já vai decolar.
143900	145500	Rápido
145500	146000	5
146000	146540	Rápido
146540	147040	Rápido
147040	150340	Um dia cheio
150340	151820	Três
151820	154720	Dois
154720	159700	RPG
159700	162060	Realidades Paralelas do Guaxinim
162060	164820	Sua aventura de bolso na forma de podcast
164820	166500	Uma jornada completa
166500	167740	A cada episódio
177040	188640	O Hotel Primavera
188640	189800	O Hotel Primavera foi fundado por Baral
189800	191980	O maior assassino de seu tempo
191980	194040	As lendas dizem que ele nunca derramou
194040	196260	Sangue ou lágrimas ao cumprir qualquer
196260	197680	Um de seus contratos
197680	200420	Ao menos não sangue ou lágrimas próprias
200420	202760	Se Baral estava com um contrato
202760	203660	Por sua cabeça
203660	205340	Você estava morto
205340	206680	Mas tudo mudou quando ele conheceu
206680	207020	O Vitor
207020	207420	Vivien
207420	209960	A garçonete mais linda que o México já produziu
209960	211680	Vivien gostava de Baral
211680	213700	Mas quando descobriu o que ele fazia
213700	214640	Ficou apavorada
214640	217000	E após muito tentar se afastar
217000	219540	O convenceu a se aposentar
219540	221320	Baral então fundou o hotel
221320	224000	Onde um assassino poderia dormir sem medo de morrer
224000	226780	Onde ele poderia se abastecer de suprimentos
226780	228400	Ou mesmo beber um drink
228400	230300	Sem tomar um antídoto antes
230300	232960	E essa é a história da fundação do Hotel Primavera
232960	234720	Que atuou de 1930
234720	236240	Até 1960
236240	237000	E foi o primeiro hotel
237000	237020	Que atuou de 1930
237020	239020	Quando Baral faleceu
239020	240940	Com seu falecimento as pessoas deixaram
240940	242580	De confiar na segurança do hotel
242580	244960	Afinal, antes você tinha
244960	246960	A certeza que Baral te vingaria
246960	247860	Ou te protegeria
247860	250300	Agora não tem mais
250300	252800	Todos diziam que Baral era um bom marido
252800	254460	Vivien discordava
254460	257040	Todos diziam que Vivien nunca havia matado
257040	257960	Uma mosca
257960	259560	Mas Baral discordaria
259560	261580	Se tivesse sobrevivido aquela noite
261580	264940	Vivien adorava conversar com os clientes
264940	267000	Cada assassino que passava no hotel
267000	268880	Ensinava um truque ou dois para ela
268880	270500	Baral não tinha ciúmes
270500	273920	Pois quem mexeria com a mulher do homem mais mortal do mundo
273920	275440	A resposta era
275440	276520	Julio Ramos
276520	278260	Mas falamos dele depois
278260	280500	O fato é que desde aquela época
280500	282200	Vivien conseguiu poucos amigos
282200	284640	E alguns vivem hoje no hotel
284640	286500	Que já não funciona mais como hotel
286500	288620	Ele é a casa de algumas pessoas
288620	291380	Pessoas que já foram mortais
291380	292180	Em seus tempos
292180	295100	E agora buscam a tranquilidade de uma aposentadoria
295100	296020	E são elas
296020	296920	Ana
296920	298060	Fala sobre o teu personagem
298060	298580	Aparentemente
298580	300260	Oi, eu sou a Ana
300260	301060	Mas hoje
301060	302540	Meu nome é Verônica
302540	304360	Mas desde que eu me aposentei
304360	305920	Todo mundo me chama de Dona Vera
305920	307800	E quando eu trabalhava nessa agência
307800	308700	E super secreta
308700	310520	Eu tinha vários apetestes
310520	311740	De mil e uma utilidades
311740	313880	Eu consigo adaptar alguns apetestes
313880	314880	Muito rápido assim
314880	316440	Ainda com muita destreza
316440	317840	Manuseando chave de fenda
317840	319060	Fela de solda
319060	320500	E a especialidade sim
320500	321640	Que foi sabotagem
321640	323280	E eu sei construir bombas também
323280	323900	Muito bem
323900	325840	Sou muito observadora
325840	326900	E nada mais
326920	328060	Eu já passava despercebido
328060	328800	Quando eu era jovem
328800	331320	Mas as lentes multifocais
331320	332740	Agora não ajudam muito
332740	333640	Já fui mais alta
333640	335840	Hoje sou uma senhora rechonchuda
335840	338180	Que anda sempre com uma pochete de flamingo
338180	340640	Recheada de itens que podem ser úteis
340640	342180	O meu atributo é 3
342180	342920	Perfeito
342920	344540	Mel, fala sobre o personagem
344540	345740	E a aparência do atributo
345740	348620	Hoje eu vou jogar com a Audrey
348620	353120	A Audrey é conhecida como bonequinha de luxo
353120	355160	É por conta da minha altura
355160	356900	E o gosto por coisas caras
356920	359080	Meu pai era belga
359080	361020	E mamãe afro-africana
361020	362600	Afro-americana
362600	366660	Hoje eu sou uma sniper de qualidade elevada
366660	370040	Há quem diga que eu já completei mais de mil trabalhos
370040	372100	Mas isso é apenas um exagero
372100	372840	Né?
373620	375200	Sempre sorridente
375200	377340	Eu tenho os cabelos grisalhos
377340	379100	Cacheados e bem curtinhos
379100	382260	E estou sempre usando roupas coloridas e vivas
382260	383140	E chapéus
383140	384520	Eu amo chapéus
384520	386900	A não ser quando eu tenho que fazer alguma coisa
386920	387560	Um trabalho
387560	391360	Aí eu me viço de maneira mais discreta
391360	394020	Eu aprendi a atirar com meu pai
394020	397160	E essa era a minha ligação muito forte com ele
397160	401280	Desde então eu me apaixonei por armas de fogo
401280	406640	Bom, em especial as de longo alcance
406640	408460	Que é a minha especialidade
408460	412320	Aliás, qualquer coisa a distância é minha especialidade
412320	414440	A visão está um pouco fraca
414440	416900	Então ando com um monóculo pendurado na minha roupa
416920	419280	E uma arma escondida, é claro
419280	420960	Eu odeio a aposentadoria
420960	423420	É a coisa que eu menos gosto na minha vida
423420	426500	Eu sinto falta de estar ativa, sabe?
426920	429820	Por isso eu fico frequentando os clubes de tiro na cidade
429820	433240	E eles acham que eu sou só uma velhinha excêntrica
433240	435840	O meu atributo é 4
435840	436680	Perfeito
436680	439560	E Filipe Xavier, fala só porque o personagem e a aparência...
439560	444160	Me chamo Ubud
444160	445540	Sou preto
445540	446900	Tenho 65 anos
446920	448940	Sou alto e forte
448940	452000	Sou um assassino especialista em venenos
452000	456120	Aos 25 anos eu ganhei a fama de dragão de Komodo
456120	459500	Por matar meus alvos com pequenas feridas
459500	462220	Porém carregadas de agentes venenosos
462220	466480	Alguns dizem que minha saliva é capaz de matar um adulto em minutos
466480	470760	Outros afirmam que isso se deve ao beber veneno no café da manhã
470760	474240	E fazer acupuntura com escorpiões também
474240	476900	Hoje eu vivo uma vida solitária
476920	478040	E tranquila
478040	480860	Porém eu não entendo por que meus amigos
480860	483940	Ficam negando meus convites para tomar chá da tarde comigo
483940	486180	Meu atributo é o 4
486180	502060	O que é o 4?
502060	505560	Vocês estão sentados numa sala de TV
505560	506040	Estão sentados em uma sala de TV
506040	506060	Estão sentados em uma sala de TV
506060	506220	Estão sentados em uma sala de TV
506220	509360	Estão nervosos pelo que está passando nela
509360	511260	A imagem fica mudando
511260	514660	De um apresentador que já foi muito famoso no passado
514660	517360	Já teve um grande programa de entrevistas
517360	519480	Mas devido ao excesso de plásticas
519480	521340	Nunca mais deixou de sorrir
