start	end	text
0	7600	A pirataria foi romantizada em muitos filmes, livros, quadrinhos, jogos de RPG, música e etc.
7980	11560	Com milhares de histórias que colocam o pirata como um herói, ou quase isso.
11860	17400	Alguém que decidiu escolher o mar para ter a liberdade de fazer o que quiser, sem dever nada a ninguém.
17800	19700	No mundo real, piratas são bandidos do mar.
19960	23440	Mas essa não é uma história real, ao menos não nessa realidade que você se encontra.
23760	26780	Essa história é sobre piratas romantizados, quase heróis.
26780	30280	Um pouco do pirata que estica, e um pouco de guaxaverso.
30660	32780	Episódio de hoje, o tesouro de Gary Boyen.
33380	34880	Com o Baruki, lá da Opex.
35300	38920	Com o Mr. Caio, do canal do Mr. Caio na Twitch, e da Opex.
39220	41600	E com a Buru, ex-Opex, saudades.
41900	46840	Mas que agora tem um canal na Twitch, no YouTube e tá lá no Instagram, como o Daijo Puro.
47620	51840	O Realidades Paralelas do Guaxinim usa o sistema guaxinim sem gambiarras.
52240	56360	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
56360	59640	Quanto maior o atributo, mais atlético é o personagem.
60120	62520	Quanto menor, mais inteligente e carismático.
63020	66720	Sempre que o jogador faz algo com uma chance de errar, joga 2 dados.
66940	70760	E precisa tirar seu atributo ou menos para ataques e ações físicas.
71040	74560	E seu atributo ou mais, para ações intelectuais ou sociais.
74980	78800	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
79220	82180	Se a jogada for difícil, rola-se um dado a menos.
82320	85400	Eu sou Mônica, e sou madrinha do RPG Guaxa.
86360	90240	Discutar podcasts de RPG cedo pela manhã, enquanto faço exercícios.
90580	92840	Começo a rir e potencializo o resultado.
93240	93680	Recomendo.
94020	98600	Hoje eu não vou pedir para você seguir a gente nas redes sociais, nem para ser padrinho, nem nada do tipo.
98820	101420	Hoje eu vou pedir para você, se puder, ficar em casa.
101680	106280	Caso não possa, se cuidar, usar máscara, lavar a mão, praticar o distanciamento.
106580	108460	Pois isso é tudo que podemos fazer no momento.
108680	115100	Esse episódio é dedicado ao herói que nos deixou recentemente, Neff William James de Souza.
115420	116340	Muito obrigado por tudo.
116540	121460	Querido, você lutou um bom combate, e eu espero que agora você possa descansar.
127800	129460	Aí, vocês estão na caverna.
129840	130680	Rola os dados.
131460	133140	BOLA DE FOGO!
133800	134300	Chamo...
135720	136960	Chamo o clérigo.
138380	139340	Como assim eu morri?
140520	141720	Rola a iniciativa.
142280	145680	Então, não tem armadilha. Podemos ir.
146340	147480	O que vocês fazem?
148480	152900	Tá, tá. Eu amarro uma corda nelas e uso como arma.
153280	154140	Eu ataco.
154540	158400	O mago lança seu Thunderbolt mais 15 no Beholder.
158500	160800	Eu quero rolar a perseguição, posso?
161540	163200	Tem algum lugar para se esconder?
163860	166080	Ah, falha a crítica.
166660	167460	Ataque de impunidade!
167800	170040	Erro, meu! Chamo o clérigo!
172600	176280	RPG. Realidades paralelas do guaxinim.
176340	179340	Sua aventura de bolso na forma de podcast.
179780	182320	Uma jornada completa a cada episódio.
190960	195560	Em um certo dia, o jovem Marcelo Guaxinim resolveu postar tudo em um podcast de RPG.
196200	198840	Logo, milhares de ouvintes resolveram embarcar nessa jornada,
199160	202620	apostando que atrás de cada aventura única havia um elo que as interligava.
202620	206220	O Missangueiro, surpreso com a persistência e a sabedoria do seu bando de seguidores,
206280	207840	resolveu abrir o jogo.
207840	211400	Ah, pessoal, não existe o Guaxaverso.
211400	214040	Mas supondo que ele exista...
214040	216960	E assim, homens e mulheres partiram em busca da verdade,
216960	219600	iniciando a grande era da caça pelo Guaxaverso.
219600	220960	A CIDADE NO BRASIL
220960	222960	A CIDADE NO BRASIL
222960	224960	A CIDADE NO BRASIL
224960	226960	A CIDADE NO BRASIL
226960	228960	A CIDADE NO BRASIL
228960	230960	A CIDADE NO BRASIL
230960	232960	A CIDADE NO BRASIL
232960	234960	A CIDADE NO BRASIL
234960	237240	A CIDADE NO BRASIL
237240	239280	A CIDADE NO BRASIL
239280	240780	A CIDADE NO BRASIL
240780	243120	A CIDADE NO BRASIL
243120	244080	A CIDADE NO BRASIL
244080	245560	A CIDADE NO BRASIL
245560	246840	A CIDADE NO BRASIL
246840	248800	A CIDADE NO BRASIL
248800	250800	A CIDADE NO BRASIL
250800	253300	A CIDADE NO BRASIL
253300	255300	A CIDADE NO BRASIL
255300	257300	A CIDADE NO BRASIL
257300	259300	A CIDADE NO BRASIL
259300	261300	A CIDADE NO BRASIL
261300	263300	A CIDADE NO BRASIL
263300	263460	A CIDADE NO BRASIL
263460	264640	A CIDADE NO BRASIL
