start	end	text
0	4560	Esse podcast faz parte da campanha O Podcast é Delas 2020.
4860	9600	Conheça outros episódios procurando pela hashtag nas suas mídias sociais
9600	12740	e incentive mais mulheres a fazer podcast.
30000	59980	O podcast é Delas 2020.
60000	64120	Na pequena cidade de Ticaane, um projeto inovador está surgindo.
64440	69020	Três mulheres, três policiais, tendo que encarar o peso de serem as primeiras
69020	73720	a trabalhar em uma delegacia especializada em acolher e ajudar mulheres.
74040	76340	Será que vão conseguir provar a necessidade desse projeto?
76920	79400	Episódio de hoje, o tipo certo de garota.
80000	83940	Com a Debbie no papel da Jill, com a Shelly no papel da Blaze
83940	86320	e com a Isa no papel de Josephine.
86320	89320	O Realidades Paralelas do Guaxinim usa um sistema chamado Guaxinim Zigambi,
90000	92980	Biarras. PDF tá chegando, gente, tá em revisão.
93100	95120	Uma variação do sistema Lasers e Sentimentos.
95500	99420	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
99800	103620	Quanto maior o atributo, mais atlético e bom em combate ao personagem.
104040	107540	Quanto menor o atributo, mais inteligente e carismático ele é.
107900	110600	Sempre que o jogador tenta fazer algo, ele joga dois dados
110600	115120	e precisa tirar seu atributo ou menos para ataques e ações físicas.
115120	119700	E seu atributo ou mais para ações intelectuais ou sociais.
120000	123400	Se a jogada for fácil ou tiver alguém ajudando, ele joga um dado a mais.
123680	126900	Se a jogada for difícil, ele rola um dado a menos.
127280	129020	Maiores informações, manda uma mensagem pra gente.
129120	134640	Como eu falei, um PDF com tudo isso explicadinho, além de regras opcionais, tá chegando.
134820	136400	Qualquer dúvida, nos procure nas redes sociais.
136780	141900	E não deixe de nos seguir, arroba Marcelo Guaxinim e arroba RP Guaxa.
142200	144760	Tanto no Twitter, quanto no Instagram.
145320	147420	Sim, a RP Guaxa agora tem o Instagram separado.
147660	149980	Considere também nos apoiar no PicPay ou no Padre.
150000	155960	Para lançarmos cada vez mais episódios, maiores informações, no Escudo Mestre, ao final da aventura.
156340	156820	Vem com a gente.
180000	186820	E aí, vocês estão na caverna.
187340	187940	Rola os dados.
188980	190600	Bola de fogo.
191360	194380	Chama o clérigo.
195580	196780	Assim eu morri.
197960	199160	Rola a iniciativa.
199820	202220	Então, não tem armadilha.
202500	203100	Podemos ir.
203840	205020	O que vocês fazem?
205020	207040	Ah, tá.
207300	209960	Eu amarro uma corda nelas e uso.
210000	210440	Como arma.
210780	211680	Eu ataco.
212080	215940	O mago lança seu Thunderbolt mais 15 no Beholder.
216060	218400	Ih, eu quero rolar a percepção, bozo.
219160	220720	Tem algum lugar pra se esconder?
221340	223020	Ah, falha a crítica.
224180	224980	Ataque de impunidade.
225340	227020	Ei, arrumando. Chama o clérigo.
230380	233920	RPG. Realidades Paralelas do Guaxinim.
233920	236900	Sua aventura de bolso na forma de podcast.
237340	239840	Uma jornada completa a cada episódio.
240000	241940	amyr.com.br
241940	243460	Brasil
243460	246180	اسca em português
246180	247380	Brasil
247380	248800	é bônus
248800	249420	Brasil
249420	250140	é bônus
250620	251160	Brasil
252260	253080	é bônus
253080	254020	Euro
254020	254800	Rio
254800	255340	Arábia
255340	255840	Rio
255840	256460	Rio
256460	257040	Rio
257040	257540	Rio
257540	258160	Challenge
258160	258300	militant
258300	258880	c
258880	259280	c
259280	259840	c
259840	260540	isn't
260540	261080	a
261080	261340	C
261340	261840	C
261840	262560	C
262560	263080	is
263080	263560	on
263560	263760	r
263760	264200	Vale
264200	264960	guys
265000	265540	don't
265540	266400	de
266400	266900	O
266900	267680	Ana
267680	268600	Time
268600	268940	was
268940	269320	chemistry
269320	270000	qui
270000	275920	Vocês estão numa década de 70
275920	277840	É um lugar similar ao Canadá
277840	279020	Mas não necessariamente ao Canadá
279020	280880	Porque eu não quero me apegar a pessoas reais
280880	282780	A cidade que vocês estão se chama
282780	283880	Tikane
283880	286160	É um nome esquimó pra lobo
286160	288700	E sabe-se lá porque alguém escolheu esse nome pra cidade
288700	291500	Mas eu tenho certeza que a cidade tem uma boa justificativa pra isso
291500	292500	Que não cabe aqui no episódio
292500	295040	Essa cidade, assim como este país fictício
295040	298160	Há pouco tempo liberou o voto entre as mulheres
298160	300880	Nas primeiras eleições os políticos ignoravam isso
300880	302920	E simplesmente mantinham suas campanhas
302920	305860	Focando que os maridos direcionassem suas esposas
305860	308280	Mas houve um visionário
308280	309780	O J.P. Bush
309780	314000	Ele viu que os votos das mulheres eram importantes
314000	316680	Então ele chamou a Tatiana Salomão
316680	319780	Ele e a senhorita Salomão se candidataram
319780	322480	Com a primeira mulher candidata, mesmo sendo vice
322480	325660	Ele levou todos os votos femininos e alguns masculinos
325660	326980	E se elegeu facilmente
326980	327980	Depois de eleito
327980	331100	Ele colocou a sua vice como uma vice decorativa
331100	332940	Ela participava de inaugurações
332940	333920	De algumas festas
333920	336100	Mas não decidia nada
336100	339820	Dois anos depois descobriu que o J.P. estava roubando a prefeitura
339820	341320	Pra não sofrer um processo
341320	343100	Ele pediu pra sair
343100	344700	Ele se exonerou do cargo
344700	348340	E nossa querida Salomão assumiu a prefeitura
348340	350100	Fez várias mudanças
350100	351280	Que ela sempre quis fazer
351280	354000	E uma delas foi criar uma delegacia da mulher
354000	356400	Uma delegacia especializada
356400	357100	Pra atender mulheres
357100	359700	Ela tem pouca verba
359700	362080	Até porque a cidade foi bem roubada
362080	363440	Pelo prefeito
363440	365820	Então ela conseguiu, na verdade, por enquanto
365820	367720	Um espaço na delegacia local
367720	370000	Onde três policiais mulheres
370000	371580	Vão poder estar atendendo
371580	373200	As mulheres da comunidade
373200	375400	Essas mulheres foram escolhidas
375400	377900	Entre as que já trabalham na polícia
377900	380020	Nenhuma mulher tinha sido promovida
380020	381940	A gente ou tido algum cargo de relevância
381940	383680	Até a senhorita Salomão assumir
383680	385300	Então ela procurou entre os arquivos
385300	387060	Policiais que poderiam somar
387100	388280	A essa nova divisão
388280	390780	E foi onde ela chegou a esses três nomes
390780	392460	Que vão iniciar esse projeto
392460	395780	Debbie, qual é o nome do personagem, a descrição e o atributo?
396100	398400	A minha personagem é a Jill Monroe
398400	401060	Ela tem 22 anos
401060	402640	Ela acabou de sair
402640	404480	Da academia de polícia
404480	406300	Fez os exames
406300	407140	As provas
407140	409180	Ela é ruiva
409180	411540	Ela é alta, ela tem 1,70
411540	413840	Cabelo bem ondulado
413840	414820	Cheio
414820	416800	Olhos verdes
417100	418440	Calda pintadinha
418440	419460	Toda sardentinha
419460	422180	E ela tem o atributo 2
422180	424300	Perfeito, a Shelly?
424860	426960	Eu vou jogar com a Blaise Dion
426960	428560	Ela tem 30 anos
428560	430340	Tem cabelo castanho
430340	432320	Assim mais curto, acima dos ombros
432320	434560	E uma franjinha e olhos verdes
434560	437000	Ela é filha de imigrantes franceses
437000	438780	Tá no Canadá, né? Então tá tudo certo
438780	440780	Ela ainda tem um pouquinho de sotaque
440780	442180	Francês
442180	444480	E ela só conseguiu entrar pra polícia
444480	446700	Porque os pais perceberam que realmente
447100	449900	As policiais femininas não pegam cargos perigosos
449900	451500	Não vão pra setores perigosos
451500	453300	Então ela começou nos arquivos
453300	455220	E depois de muito ralar
455220	457920	O máximo que ela conseguiu chegar foi no setor de trânsito
457920	459960	Então ela hoje trabalha como
459960	461180	Guarda de trânsito
461180	463500	E atributo, como sempre, 4
463500	464420	Perfeito
464420	466620	E por último, mas não menos importante
466620	467780	Isa, você é personagem?
468480	470560	Eu sou a Josephine Tremblay
470560	472480	Eu tenho 26 anos
472480	475760	Ela distorce um pouco das outras meninas
475760	477060	Porque ela na verdade é filha
477060	479440	De um grande e poderoso empresário
479440	480220	De Montreal
480220	482920	Mas ela nunca seguiu os padrões
482920	484640	Da família e tal
484640	486980	Porque apesar dela ser a filha mais velha
486980	488920	O seu pai nunca confiou nela
488920	490340	Pros negócios
490340	493260	E sempre mostrou preferência pelo irmão mais novo
493260	494400	Em absolutamente tudo
494400	496020	Pelo simples fato dele ser homem
496020	498960	E a expectativa do senhor Tremblay
498960	500760	Era que ela se casasse
500760	502600	E fosse aquela esposa perfeita e tal
502600	503960	Mas nunca foi o plano dela
503960	506540	Ela se formou na faculdade em biologia
507060	509800	E foi escondida pros Estados Unidos
509800	512600	Fazer um curso de investigação forense
512600	514760	Que era uma área muito desconhecida na época
514760	516600	Mas ela tinha muito dinheiro e tal
516600	518280	Ela tem 1,73m
518280	520840	Ela é loura de cabelos lisos
520840	522120	Abaixo do ombro
522120	523120	E olhos verdes
523120	524340	Ela é muito bonita
524340	526880	E ela tem um temperamento muito calmo
526880	528340	Mas ela fica muito irritada
528340	530380	Com as questões de machismo e moralismo
530380	532440	Até por causa do histórico da família dela
532440	534260	E o atributo dela é 3
537060	541280	Vocês estão no teatro da cidade
541280	544000	Vários repórteres estão sentados nas cadeiras
544000	547120	Algumas pessoas da comunidade estão sentadas mais ao fundo
547120	550040	Ali estão a atual prefeita
550040	551260	A senhorita Salomão
551260	552400	O chefe de polícia
552400	553900	Que é o Logan Anderson
553900	555400	Ele que comanda a polícia
555400	558620	E vai indiretamente ajudar vocês ali
558620	560360	Em qualquer dúvida que vocês tenham
560360	562400	Porque vocês vão estar usando espaço na delegacia dele
562400	564400	Eles estão ali pra apresentar
564400	565900	Esse novo departamento
565900	566900	Vocês três estão sentados
567060	568440	Em cadeiras
568440	569280	Nesse palco
569280	571920	A prefeita também está sentada do outro lado
571920	572840	E de pé
572840	574460	Na frente da tribuna
574460	576480	Está o senhor Anderson
576480	578680	Pra falar com os jornalistas
578680	581240	O futuro realmente chegou, meu
581240	583740	Graças a uma ideia revolucionária
583740	585680	Da nossa amada prefeita
585680	588800	Vamos receber uma divisão da polícia
588800	592060	Formada exclusivamente por mulheres
592060	593760	Estou muito feliz
593760	594920	Muito feliz
594920	596440	Pela minha delegacia
596440	597040	Ter sido a primeira
597040	597860	E ter sido escolhida
597860	599120	Pra essa honraria
599120	601260	Quem conhece o meu trabalho
601260	603320	Meu trabalho pela comunidade
603320	605600	E por nossas famílias
605600	607740	Sabe do carinho que tenho
607740	609360	Por todas as mulheres
609360	610600	Tenho certeza
610600	612000	Que o meu trabalho
612000	613520	Precede meu nome
613520	615480	Não estamos aqui pra falar de mim
615480	616280	Do que eu fiz
616280	616980	Do meu trabalho
616980	617660	Dos meus feitos
617660	617920	Não
617920	619200	Estamos aqui
619200	621280	Pra conhecer essas meninas
621280	622360	E pra tanto
622360	624340	Eu gostaria de responder
624340	625920	Algumas perguntas
625920	626420	Dos senhores
626420	628760	Aí o jornalista levanta
628760	630020	Vocês tem noção
630020	630940	De quantos crimes
630940	632140	São reportados por mulheres?
632840	633860	Será que
633860	636060	É realmente necessária
636060	636720	Essa divisão?
637140	638380	Bem, como sabem
638380	639920	Essa ideia partiu
639920	642380	Da nossa visionária prefeita
642380	643700	Temos algumas mulheres
643700	645420	Que fazem algumas denúncias
645420	646560	Mas sabemos
646560	648980	Que elas se sentem um pouco intimidadas
648980	650420	Com policiais homens
650420	652060	Ou mesmo seus maridos
652060	654380	Eles não costumam gostar de ver
654380	655980	As suas mulheres falando com policiais
656420	657420	Na verdade
657420	658860	Eu tenho certeza
658860	659960	Que tendo mulheres
659960	661880	Pra recebê-las na delegacia
661880	664500	Elas passarão a procurar mais
664500	665760	A nossa corporação
665760	669480	Um outro jornalista pergunta
669480	670620	Que tipo de crime
670620	672420	Uma policial mulher pode resolver?
672420	674720	Eu não faço ideia
674720	675880	Mulheres são esquecidas
675880	676880	Perdem coisas
676880	677880	Animais fogem
677880	678880	Sei lá
678880	679880	Eu imagino
679880	681840	Que existem muitas coisas
681840	682940	Que elas podem fazer
682940	684540	Pra ajudar a nossa comunidade
684540	685540	Eu não faço ideia
685540	686260	Mulheres são esquecidas
686260	689100	E as perguntas são cada vez mais tolas
689100	690600	E ele tá lá respondendo
690600	691920	E vocês tão sentados
691920	692700	Sem falar nada
692700	694380	Muda, revirando os olhos
694380	695660	Depois de um tempo
695660	696420	Ele fala
696420	698640	Bom, se não tem mais perguntas
698640	701140	Eu gostaria de encerrar o evento de hoje
701140	702600	E agradeço muito a vocês
702600	703140	Muito obrigado
703140	703720	Muito obrigado
703720	705420	Prefeita, levanta
705420	706960	Calma, senhor Anderson
706960	708280	Eu acredito que as meninas
708280	709900	Possam responder algumas perguntas também
709900	711680	Afinal, a noite é delas, não é?
711900	712740	E ela faz o sinal
712740	714360	Pra vocês irem até o microfone
