start	end	text
0	14400	E a Mato, um dos hotéis mais luxuosos do mundo, recentemente ganhou o título de Hotel
14400	15460	Sete Estrelas.
15640	20620	Isso somado a um processo conturbado envolvendo herdeiros fez com que a mídia mundial voltasse
20620	24560	seus olhos para ele, e que apontasse alguns de seus problemas.
24980	27440	Por isso, este incrível hotel está contratando.
27440	32420	Por isso, nossos jogadores estão no Japão, para buscar o emprego dos sonhos.
32700	34400	Mas será que esse é o destino reservado a eles?
34920	40420	Episódio de hoje, o último hotel, com a Andresa, lá trabalhando o Beholder, um dos
40420	45880	podcasts irmãos do RPGuash, e ela vai estar interpretando uma francesa chamada Charlotte.
46140	51360	O Pedro Quitete, lá do RPGnext, jogando com o Luis, um angolano.
51360	57360	E com a Shelly, também do RPGnext, e do Contínuo, e do Pode Isso, e por que não, do RPGuash.
57980	59720	Jogando com a Aline, uma brasileira.
59980	63360	Realidade para as guaxininhas, um sistema chamado Guaxinins e Gambiarras.
64240	68140	A minha adaptação do sistema Lasers e Sentimentos.
68740	73240	Nele, cada jogador possui apenas um único atributo, que vai de dois a cinco.
73620	77980	Quanto maior o atributo, mais atlético é o personagem, quanto menor, mais inteligente
77980	78600	e carismático.
78600	83360	Sempre que o jogador tenta fazer algo, ele joga dois dados, e precisa tirar seu atributo
83360	86260	ou menos, para ataques e ações físicas.
86600	87400	E seu atributo ou mais...
87440	89840	Para ações intelectuais ou sociais.
89840	93340	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
93340	95780	Se a jogada for difícil, rola-se um dado a menos.
95780	99840	Não deixe de nos seguir nas redes sociais, arroba Marcelo Guaxinim, arroba rpguaxa.
99840	104620	Tanto no Twitter, quanto no Instagram, também considere se tornar nosso apoiador, no PicPay
104620	110100	ou no Padrim, para receber o episódio antes, gravar vozes de NPCs, entre outras várias
110100	111600	vantagens.
111600	112240	Boa aventura.
117440	118440	Tchau.
118440	119440	Tchau.
119440	120440	Tchau.
120440	121440	Tchau.
121440	121940	Tchau.
147440	160640	Tchau.
160640	161220	Tchau.
161220	165720	Tchau.
165720	166380	Tchau.
166380	166480	Tchau.
166480	166520	Tchau.
166520	166760	Tchau.
166760	167080	Tchau.
167080	167100	Tchau.
167100	167120	Tchau.
167120	167700	Tchau.
167700	168040	Tchau.
168040	169220	Tchau.
169220	169260	Tchau.
170360	173820	RPG Realidades Paralelas do Guaxinim.
174120	176760	Sua aventura de bolso na forma de podcast.
176760	179680	uma jornada completa a cada episódio.
206760	214940	O Hotel Yamato é o mais novo hotel do mundo a receber o título de 7 estrelas.
215340	222140	Construído no Japão, esse superhotel consegue unir de maneira única a tecnologia de ponta e o tradicionalismo japonês.
222720	227700	Com diárias a partir de 100 mil ienes, é o destino dos novos ricos do mundo todo.
228520	235080	Infelizmente para os acionistas do Yamato, o crítico de hotéis muito famoso acabou por duvidar dessa sétima estrela,
235540	236740	devido a falta de diversão e desigualdade.
236760	241320	A diversidade entre seus funcionários, o que causou uma onda de cancelamento virtual do hotel.
241880	246840	Pessoas que nunca poderiam ir no Yamato, agora alegam que não iriam mesmo que pudesse.
247220	252680	Felizmente, o hotel decidiu remediar isso e está organizando um processo de seleção gigantesco,
253060	254580	com pessoas do mundo inteiro.
255240	256840	Algo nunca antes visto.
257240	260380	E para tentar estas vagas, estão aqui os jogadores.
260660	266440	Eu queria que vocês falassem do seu personagem, da aparência, um pouquinho da história dele e do atributo.
266440	267620	Começando pela Andressa.
267720	273660	Hoje eu vou jogar com a Charlotte Renoir, que é uma francesa de 28 anos,
273800	279220	que está tentando ganhar o reconhecimento dentro das cozinhas, dentro da gastronomia.
279900	287200	Ela é baixinha, cabelinho chanel, cortadinho chanel, um estereótipo meio francês.
288120	292440	E por conta disso, o pessoal acaba meio que achando que ela é uma adolescente,
292440	296140	ela não gosta muito, fica meio brava, o pessoal falando da altura dela.
297120	303580	Ela está indo para esse hotel para ficar mais próxima dos contatos das pessoas,
304300	308620	para conseguir juntar um dinheiro e abrir o seu próprio restaurante.
308740	310160	E o atributo dela é 3.
310660	311160	Perfeito.
311480	311820	Shelly?
312180	313860	Eu vou jogar com a Aline Lima.
314940	321640	Ela tem 24 anos, cabelos tingidos de louro, um corpão de crossfit, siliconada, gata.
321640	323900	Gata demais.
325120	326360	Aline é uma jovem.
326440	330200	Ela é do Mato Grosso, é filha de um cantor de sertanejo, ricaço.
330940	335720	Ela é meio otaku e ela está querendo morar no Japão para fazer uma série para o YouTube
335720	340380	sobre a cultura oriental e como que é fazer um intercâmbio se sustentando sozinha.
