start	end	text
0	10800	Esse episódio é o terceiro da trilogia dos zumbis do oeste catarinense, ou melhor, o
10800	16900	terceiro da trilogia da cigarra, apenas em ordem cronológica, pois no papel, esse é
16900	22780	o primeiro episódio, pois já sabemos onde a cigarra parou, que caminho ela seguiu, mas
22780	28580	é hora de descobrir de onde ela veio, e não só isso, é hora de entender onde este mundo
28580	30760	estava e para onde ele vai.
31480	37820	Episódio de hoje, o Fernando da Cigarra, com a Fabiola Belo, madrinha do RP Guaxa, o
37820	43320	Patrick Buschmann, padrinho do RP Guaxa e membro lá do canal da Twitch, do Play On
43320	50080	Heart, o Andrei, também padrinho do RP Guaxa, e uma das vozes do nosso poesia.
51080	58560	Olha eu aqui de novo, cantando, eita rapaz, o Realidades Paralelas do Guaxinim, o
58560	64660	cara usa o sistema guaxinim e gambiarra, desse modelo, cada brincador é igual o Highland,
64660	70160	só pode haver um atributo, mas é um atributo de 2 até o 5, tá me entendendo?
70160	76420	Nesse caso, quanto mais gibudo, quanto mais brabo, maior é o atributo, quanto mais desenrolado,
76420	81140	menor é o seu atributo, olha, anote aí que eu não vou repetir não, toda vez que vós
81140	86420	me disser cibuli, que tiver uma chance de dar ruim, aí tu rola dois dados, aí tu vai
86420	88520	precisar tirar o seu atributo pra mim, pra mim, pra mim, pra mim, pra mim, pra mim, pra
88520	88680	mim, tá me entendendo?
88700	96580	Ou vai tirar seu atributo pra mais, pra fazer uma conta de cabeça, dar uma conquistada,
96860	102360	olha, se não tiver perrengue, é só rolar um dado a mais, se tiver um apeio pesado mesmo,
102600	107900	aí tu rola um dado a menos, eu quero ver tu acertar, olha, eu sou J Santos, Jagunço,
108160	113020	brabo, sertanejo, bruto igual o fiscal de um forró, mas eu sou legal igual o doce de
113020	117280	leite, sou nordestino, e também sou padrinho do RP Guaxa, sabe por quê?
117560	118440	Porque aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui,
118440	118480	aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui, aqui,
118480	124480	Tem um mundo de aventura que encanta desde o sertão até o litoral desse Brasilzão de meu Deus, um rapaz, oxe!
124680	127900	E tem até quem diga que tem gente até do estrangeiro nesse mói.
128140	129460	É só você vendo pra crer.
129760	131360	Vem pra cá, se junta com a gente.
131640	132760	Um beijo!
134240	138000	Não deixe de seguir nas redes sociais, arroba Marcelo Gostininha, arroba RP Guacho.
138440	140100	Tanto no Twitter quanto no Instagram.
140620	142580	Considere também nos apoiar no PicPay ou no Padrim.
143060	143820	E boa aventura!
148480	178460	Transcrição e Legendas Pedro Ribeiro Carvalho
178480	208460	Transcrição e Legendas Pedro Ribeiro Carvalho
208480	238460	Transcrição e Legendas Pedro Ribeiro Carvalho
238480	268460	Transcrição e Legendas Pedro Ribeiro Carvalho
268480	298460	Transcrição e Legendas Pedro Ribeiro Carvalho
298480	328460	Transcrição e Legendas Pedro Ribeiro Carvalho
328480	358460	Transcrição e Legendas Pedro Ribeiro Carvalho
358480	358840	Transcrição e Legendas Pedro Ribeiro Carvalho
358840	359600	Transcrição e Legendas Pedro Ribeiro Carvalho
359600	369680	Transcrição e Legendas Pedro Ribeiro Carvalho
369680	375040	Transcrição e Legendas Pedro Ribeiro Carvalho
375040	387460	Transcrição e Legendas Pedro Ribeiro Carvalho
387460	387840	Transcrição e Legendas Pedro Ribeiro Carvalho
387840	388100	Transcrição e Legendas Pedro Ribeiro Carvalho
388100	388300	Transcrição e Legendas Pedro Ribeiro Carvalho
388300	388320	Transcrição e Legendas Pedro Ribeiro Carvalho
388340	388380	Transcrição e Legendas Pedro Ribeiro Carvalho
388380	388440	Transcrição e Legendas Pedro Ribeiro Carvalho
388440	388460	Transcrição e Legendas Pedro Ribeiro Carvalho
388460	391620	Aqueles médicos esquisitos lá falaram que eu tenho um humor meio instável,
391860	393120	então não sei o que isso quer dizer.
393640	397920	Eu sou um cara alto, bem forte, cabelo ruivo, batido.
398680	402820	Eu uso uma calça camuflada e uma regata do exército brasileiro.
403180	406840	No braço direito eu tenho a tatuagem da cobra fumando,
407400	409940	da Força Expedicionária Brasileira.
409940	411900	E o meu atributo é 5.
418460	433740	Perfeito.
434580	438100	Inicialmente eu descreveria onde vocês estão, o que vocês estão fazendo,
438840	442260	mas eu gostaria que cada um rolasse dois dados e eu vou chamando vocês.
443260	446760	Vocês estão no segundo andar de uma casa.
447260	448440	Ela é a recepção de uma casa.
448440	449180	É um hotel fazenda.
449600	452140	Normalmente os hóspedes ficam em chalés, né?
452780	457560	Mas, como é um grupo pequeno, vocês sempre acharam melhor ficarem todos numa mesma construção.
458180	462540	Algumas pessoas dormem, outros protegem o lugar, alguns buscam mantimentos.
463120	465020	Hoje vocês estão dormindo.
465420	470980	Vocês provavelmente fizeram algum trabalho naquele dia.
471460	473640	E o turno de vocês descansarem é esse.
474060	477620	Vocês todos estão nesse segundo andar descansando.
477620	477720	Muito obrigado.
478440	479440	E o seu atributo, quanto é que tu tirou?
479440	480440	Eu tirei 3 e 1.
480440	481440	Sendo 3 o teu atributo, temos um acerto crítico.
481440	482440	O Jack tira quanto?
482440	483440	Eu tirei 5 e 4.
483440	484440	Sendo 5 o teu atributo, temos outro acerto crítico.
484440	485440	E a Yasmin?
485440	486440	Eu tirei 5 e 5.
