start	end	text
0	8840	O primeiro especial de Natal do RP Guaxa foi um acidente causado, muito provavelmente,
9320	11720	por excesso de açúcar ao escrever a aventura.
12040	17500	A ideia era todo ano ter três ajudantes do Papai Noel baseadas em personagens do ano
17500	18120	corrente.
18500	21120	Essa é a origem de Adam, Paper e Loriane.
21620	26520	Mas o pessoal gostou tanto desses três que no ano seguinte eles voltaram, e no ano seguinte
26520	26980	também.
27560	29080	A primeira história foi loucura.
29080	33000	A segunda teve um tom mais político até pelo ano em que ela foi escrita.
33240	40260	A terceira era uma maneira de encaixar este mundinho de Natal no nosso Guaxaverso, que
40260	43040	ao contrário do Papai Noel, não existe.
43740	48540	Ano passado tivemos personagens novos, embora com a presença ilustre dos nossos amados
48540	49140	gnomos.
49540	50780	Mas a mensagem foi dada.
51260	52480	Aquela foi a despedida.
53000	56700	A história que vou contar hoje não tem gnomos, nem elfos, nem duendes.
56700	58940	A história de hoje é uma clássica.
59080	60120	A história é de Natal.
61980	62880	Episódio de hoje.
63520	65060	Operação Azevinho.
65760	71840	Com as madrinhas Jujuba, minha parceiraça lá do Psycast e do Miss Sangas, a Agatha
71840	78520	Sofia, do Casa das Agathas, e a Amanda, madrinhas do RPG Guaxa e amigas do meu coração.
78960	83940	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
84200	89040	Nele, cada jogador possui apenas um único atributo, que vai de 2.
89080	90080	a 5.
90080	94080	Quanto maior o atributo, mais atlético é o personagem.
94080	97520	Quanto menor, mais inteligente e carismático.
97520	103480	Sempre que o jogador faz algo com uma chance de errar, joga dois dados, e precisa tirar
103480	110080	seu atributo ou menos, para ataques e ações físicas, e seu atributo ou mais, para ações
110080	112440	intelectuais ou sociais.
112440	117540	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
117540	117840	Se a jogada for difícil, joga um dado a mais.
117840	117940	Se a jogada for difícil ou tiver algum auxílio, joga um dado a mais.
117940	119040	Se a jogada for difícil ou tiver algum auxílio, joga um dado a mais.
119040	120040	Se a jogada for difícil ou tiver algum auxílio, joga um dado a mais.
120040	121040	Se a jogada for difícil ou tiver algum auxílio, joga um dado a mais.
121040	122040	Se a jogada for difícil ou tiver algum auxílio, joga um dado a mais.
122040	129080	Eu sou o Domingos Coelho e sou padrinho do RP Guaxa, porque se o Guaxaverso não existe,
129080	131980	a única explicação é que a terra seria plana.
149040	153240	Nosso pix é rpgost.gmail.com
153240	155060	Boa aventura e boas festas.
170420	172540	Sete realidades paralelas.
172840	174920	Com infinidade de possibilidades.
175600	177520	Três jogadores e um guaxinim.
177520	181160	Cuidado com o vão entre o trem do hype e a plataforma.
181700	185720	Aguarde a aventura para totalmente para embarcar e boa viagem.
188980	189820	Cinco.
191700	192700	Quatro.
194500	195540	Três.
197420	198260	Dois.
202620	205780	RPG. Realidades paralelas do guaxinim.
205780	207240	Sua aventura de bolso.
207240	208560	Na forma de podcast.
208960	211460	Uma jornada completa a cada episódio.
226180	231100	A Casa para Crianças do Lago sempre abrigou jovens que não possuíam parentes para cuidarem de si
231100	234900	ou que por algum motivo não podiam estar com seus pais por um tempo.
235500	236860	A casa, por ser de caridade,
236860	239800	vive de doações e algumas ações pontuais.
240220	243820	Mas com uma grande imobiliária comprando todas as casas da região,
244360	245940	o número de doadores tem diminuído.
246200	249000	A mesma imobiliária insiste em comprar a casa no lago,
249460	250700	mas tem falhado nesse ponto.
251020	252460	Mesmo a casa precisando de dinheiro,
252840	254880	as crianças ainda precisam da casa.
255220	257900	Por isso, a administradora da casa hoje vai ao banco.
258300	261960	Por isso, a imobiliária hoje vai enviar uma sabotadora.
262420	264620	Por isso, um desejo de Natal será feito.
265080	266180	Antes de conhecer as jogadoras,
266180	266300	vamos conhecer o que é a casa.
266300	266800	Vamos conhecer.
266860	268580	Vamos conhecer de onde elas vão partir.
268880	270060	Em um prédio muito alto,
270760	272120	sentado em uma mesa muito grande,
272240	273500	está um homem muito pequeno.
273840	274840	Usando um terno verde,
275000	277340	esse homem é o rico empresário do ramo imobiliário,
277660	279420	o magnífico senhor Polegada.
279840	282140	Gabriel Ricardo Polegada, para ser realizado.
282540	283180	Diante dele,
283580	286120	uma imensa maquete que ele usa para explicar seus planos,
286740	288560	a advogada novata da empresa.
288600	290400	Pense numa cidade planejada,
290540	291720	com ângulos retos,
292160	294220	todos da mesma altura e cor,
294220	296220	com lojas e estruturas necessárias
296860	298360	no primeiro andar.
298620	301360	Apartamentos planejados nos andares superiores.
301740	304000	Plataformas em todas as estruturas,
304000	306260	ligando cada um dos prédios.
306780	308380	No topo de cada um deles,
308680	309760	lanchonetes,
309760	312620	restaurantes e lugares de lazer.
313420	316040	Ai, um mundo no chão para os carros
316440	318540	e um no céu para os pedestres.
319000	321120	Um mundo perfeito e simétrico,
321360	322920	igual para todos.
323400	324480	Um mundo plano,
324920	326800	sem lagos e casinhas coloridas.
326800	328800	Novata,
328800	330800	estou enviando você
330800	332800	porque aquela desprezível mocinha
332800	334800	já conhece todos os meus funcionários.
334800	336800	Quero que você vá até essa casinha
336800	338800	na beira do lago
338800	340800	e descubra porque aquela garota
340800	342800	não quer me vender
342800	344800	seu lago e sua casa.
344800	346800	Para que então eu possa terminar
346800	348800	meu pequeno sonho simétrico.
348800	350800	Vai lá e finge ser amiga dela,
350800	352800	ajude a plantar umas margaridas,
352800	354800	limpe o ranho daquelas crianças, sei lá.
354800	356720	Enquanto isso, não se preocupe,
356720	358720	encontre seu ponto fraco,
358720	360720	mas me traga essa venda.
360720	362720	A advogada é a personagem da Amanda,
362720	364720	que agora vai falar sobre o personagem dela,
364720	366720	a aparência e o atributo.
366720	368720	Oi gente, meu nome é Andrômeda,
368720	370720	ela é uma mulher negra
370720	372720	de 1,62 mais ou menos,
372720	374720	ela é bem retinta e o cabelo dela é
374720	376720	platinado, o atributo é 2.
376720	378720	E a Andrômeda tem esse nome porque os pais dela
378720	380720	gostavam muito de cabeleiros zodíaco,
380720	382720	apesar de que ela prefere ser comparada à galáxia vizinha.
382720	384720	Justo. O banco
384720	386720	é provavelmente o estabelecimento comercial mais
386720	388720	enfeitado para o Natal da região.
388720	390720	O lugar mais recheado de símbolos
390720	392720	de caridade e amor ao próximo em quilômetros.
392720	394720	O banco. Não é irônico?
394720	396720	Lá, Martin, o gerente,
396720	398720	explica a situação.
398720	400720	Eu entendo, senhorita Morgan, eu entendo que
400720	402720	a Casa do Lago hoje cuida de mais de 40
402720	404720	crianças e que é o lar para
404720	406720	todos eles. Mas veja bem,
406720	408720	a senhora tem que entender que a sua
408720	410720	poupança acabou. Um orfana...
410720	412720	Desculpe. Um lar
412720	414720	para crianças não é algo que podemos
414720	416720	chamar de um negócio.
416720	418720	Eu não posso emprestar mais dinheiro
418720	420720	até que a senhorita pague suas
420720	422720	dívidas. A senhorita deveria pensar
422720	424720	em vender a casa. Talvez para o senhor
424720	426720	Gabriel... Ok, ok.
426720	428720	Não vou mais falar sobre isso.
428720	430720	Eu sei que aquela casa é
430720	432720	a sua vida, mas é
432720	434720	tudo que eu posso fazer. E a senhorita
434720	436720	Morgan sai do banco. A senhorita Morgan
436720	438720	é personagem da Agatha.
438720	440720	Poderia falar
440720	442720	da aparência e atributo dela? O nome
442720	444720	dela é Morgan. Ela é uma mulher
444720	446720	liberando aos 38 anos
446720	448720	ali. Ela tem olhos
448720	450720	castanhos e cabelos ruivos.
450720	452720	Ela é bem alta. Ela é gordinha
452720	454720	e bem forte.
454720	456720	E ela tem uma face gentil, uma expressão
456720	458720	gentil que parece que está pronta
458720	460720	para dar um abraço nas pessoas.
460720	462720	Por isso que ela se dá bem com crianças.
462720	464720	E ela tem algumas tatuagens no
464720	466720	braço que ela esconde
466720	468720	embaixo de algumas blusas
468720	470720	confortáveis. O atributo dela é 4.
470720	472720	Enquanto a Morgan estava no
472720	474720	banco, as crianças mais velhas
474720	476720	colocaram as crianças mais jovens
476720	478720	para preparar suas cartinhas de Natal.
478720	480720	Sofia foi uma das crianças que não
480720	482720	pediam brinquedo. Sofia escreveu
482720	484720	Ih, a Morgan está
484720	486720	tão triste,
486720	488720	tão sozinha.
488720	490720	Já sei!
490720	492720	Quero
492720	494720	que o
494720	496720	papai
496720	498720	noel
498720	500720	traga
500720	502720	um
502720	504720	amor
504720	506720	para ela.
506720	508720	Antes do personagem
508720	510720	da
510720	512720	Jujuba ser introduzido
512720	514720	Morgan, tu está chegando
514720	516720	no orfanato. Tem um carro,
516720	518720	uma moto, sei lá,
518720	520720	um micro-ônibus. O que tu dirige?
520720	522720	Ela tem um SUV.
522720	524720	Ela precisa de um carro grande
524720	526720	para carregar. Às vezes ela tem que carregar
526720	528720	umas 6 crianças de uma vez. Então ela precisa
528720	530720	de um carro grande. Um carro grande com pouca segurança,
530720	532720	mas ok. Tu está chegando
532720	534720	com um carro. Tem um homem
534720	536720	usando
536720	538720	uma roupa preta comprida
538720	540720	como se fosse
540720	542720	um sobretudo.
542720	544720	Ele está impaciente
544720	546720	segurando uma criança pela mão
546720	548720	na porta da casa.
548720	550720	Eu saio assim
550720	552720	e eu não sei se ele está me olhando, mas eu bato
552720	554720	a porta do carro com força até chamar
554720	556720	a atenção dele. Eu falo
556720	558720	Posso ajudar? E eu já vou para o lado da criança
558720	560720	para mandar ela para dentro
560720	562720	de casa. Essa criança não é uma
562720	564720	das tuas crianças. Posso ajudar?
564720	566720	Oh! Chegou!
566720	568720	Finalmente chegou!
568720	570720	Um acidente de carro
570720	572720	terrível aconteceu!
572720	574720	E os pais dessa menina não podem cuidar
574720	576720	dela por um tempo!
576720	578720	Eu tenho aqui toda a papelada, pô!
578720	580720	Quer dizer, poxa!
580720	582720	Eu pego um monte de papel assinado.
582720	584720	Tá, mas
584720	586720	você tem um advogado ou alguma coisa?
586720	588720	Geralmente a gente tem que passar por todo um processo.
588720	590720	Eu estou olhando os papéis. Os papéis estão todos
590720	592720	assinados, assinados por vários
592720	594720	juízes, até de cidades
594720	596720	distantes dali. E parece que
596720	598720	está tudo certo. O homem então diz
598720	600720	É isso! Está tudo certo!
600720	602720	E eu sou um homem muito
602720	604720	ocupado! Pernas!
604720	606720	Vamos embora! Vamos!
606720	608720	E dá uma meia volta meio estranha e
608720	610720	começa a partir. Você não tem um número de celular
610720	612720	para eu contactar qualquer coisa?
612720	614720	Não! Boa sorte!
614720	616720	Está ali uma criança do teu lado. Antes de mais nada
616720	618720	Jujuba, fala sobre a criança.
618720	620720	Bom, a Lorena
620720	622720	tem aí 11 para 12 anos.
622720	624720	Mas ela se acha mais adultinha, então ela
