start	end	text
0	13360	No passado, os humanos viviam em pequenas comunidades nômades, não conseguiam estabelecer
13360	17320	uma vila por muito tempo porque o mal sempre os atacava.
17800	22820	Muitos humanos juntos atraiam criaturas e seres ainda mais terríveis.
23460	28660	Enquanto algumas famílias buscavam pactos que trouxessem alguma vantagem para o seu
28660	32120	sangue, outros apenas se escondiam e esperavam um herói.
32480	39100	Este herói foi Ararat e seus sete cavaleiros maravilhosos, cada um deles com uma capa representando
39100	40740	uma cor do arco-íris.
41060	47440	Ararat e seus amigos baniram o mal, construíram uma grande cidade e chamou as famílias para
47440	49040	viverem em unidade.
49040	54640	E se as primeiras gerações de cavaleiros arco-íris tiveram grandes aventuras, as gerações
54640	57300	seguintes apenas treinavam.
57700	58640	Treinavam e esperavam.
58660	63880	O dia que o rei voltasse, ou o dia que o mal se levantasse.
64280	70940	Por isso, ninguém esperava que o primeiro dia como cavaleira da verde seria tão agitado.
71340	74440	Episódio de hoje, os cavaleiros arco-íris.
74680	76340	Com Fernando Malta, o azul.
76880	79300	Com Felipe Queiroz, o amarelo.
79700	83560	E com Nanaca, a cavaleira novata verde.
88660	97300	Embalado do evangelho perfeito.
98320	99820	Brazilian
100360	101660	Aí, vocês estão na caverna.
101940	102880	взять o f°
103620	105700	Bola de fogo!
105940	107140	Chama o...
108040	109180	Chama o clérigo.
110300	112360	Por assim eu morri.
112920	114120	Hora iniciativa.
114580	115540	Exatem waste notes ?
116340	117060	NÃO TEM ARMADILHA.
117480	118020	PôDEMOS IR!
118660	119760	O que vocês fazem?
121140	125180	Ah, tá. Eu amarro uma corda nelas e uso como arma.
125560	126420	Eu ataco.
126820	130780	O mago lança seu Thunderbolt mais 15 no Upholder.
130800	133080	E eu quero rolar a perseguição, posso?
133820	135480	Tem algum lugar pra se esconder?
136120	138360	Ah, falha crítica.
138940	139720	Ataque de impunidade!
139720	142360	Ei, Romano, chama o clérigo!
142360	148700	RPG Realidades Paralelas do Guaxinim
148700	151660	Sua aventura de bolso na forma de podcast
151660	154660	Uma jornada completa a cada episódio
154660	165940	As histórias contam que no passado o mundo era selvagem
165940	169600	Cheio de criaturas mágicas, dragões e bruxos malignos
169600	172280	As aglomerações humanas eram pequenas
172280	172340	E as criaturas malignas eram pequenas
172340	173600	E todos viviam com medo
173600	175020	Até que surgiu um homem
175020	178800	Que com sua espada mágica e a ajuda de sete cavaleiros fiéis
178800	182180	Venceu todo o mal e fundou um reino próspero
182180	185260	Onde todos podiam ser felizes e viver em paz
185260	187300	Esse reino recebeu seu nome
187300	188960	O reino de Ararat
188960	193000	Sir Ararat de herói passou a rei
193000	195800	Um rei maravilhoso, que nunca teve filhos
195800	199900	No final de sua vida, começou a ser cobrado pelos nobres
199900	201540	A indicar alguém a sucedê-lo
201540	202320	Mas ele não conseguiu
202320	203980	Mas Ararat tinha outros planos
203980	207900	Notando que as famílias estavam a ponto de declarar guerra
207900	210920	Ararat cravou sua espada mágica numa pedra
210920	214800	E definiu que quem atirasse seria digno de ser o novo rei
214800	220400	Que até lá, um regente seria eleito a cada sete anos
220400	221680	De maneira democrática
221680	226440	Os sete cavaleiros do arco-íris juraram proteger essa espada
226440	230180	Passando suas capas e treinamento de geração em geração
231040	232180	Dez gerações se passaram
232320	235420	E o reino cresceu e ficou ainda mais rico
235420	237600	A magia desapareceu do mundo
237600	239560	Ou será que ela nunca existiu?
240660	242960	A espada nunca foi retirada da pedra
242960	247620	A vida de vocês realmente sempre foi maravilhosa
247620	249260	Nunca faltou comida
249260	251060	Sempre alegria
251060	253600	Uma ou outra intriga de família
253600	256420	Mas nada que não passasse de um trote
256420	258480	Não tem assassinato
258480	259720	Não tem roubo
259720	262200	Não tem nada de ruim acontecendo no reino
262200	264560	Tanto que o antigo verde
264560	266720	Que era o cavaleiro da capa verde
266720	269380	Ele morreu pela idade
269380	271140	Morreu dormindo em sua cama
271140	274940	É um reino realmente pacífico
274940	276320	Mas a tradição é honrada
276320	279540	O treinamento é feito da maneira antiga
279540	281000	A cidade tem soldados
281000	283780	Que dificilmente tem muito trabalho
