start	end	text
0	9120	Em Laguna de Abril, Guaxinim de Andrade encontrou 25 pingentes de animais sagrados que caíram do céu, sem saber que foi seu Nelson que os enviou.
9900	15240	Aos poucos, os cavaleiros foram sendo escolhidos, iniciando uma luta que nunca imaginariam que seria contra o mal.
16520	23920	E agora, três desses cavaleiros abraçaram seu destino para enfrentar uma força que todas as realidades ameaça e para salvar a música.
24420	26880	Eles são os Cavaleiros do Jogo do Bicho.
26880	38220	E lá do céu eles caíram, enfrentando o Zé Droguinha.
39420	49880	Seria aquele o fim da música e dos cavaleiros do Jogo do Bicho.
49880	55880	Pedro Madruguinha e Anísia Coelhinha.
56880	61700	E os Agatha, será que vão voltar?
63980	69120	Faz tanto tempo desde a cintura do baile.
69440	74420	Será que esse é o fim dessa aventura?
74420	80740	É que o tempo já chegou, mais um episódio.
81320	84100	E aí, tava mesmo tudo bem?
86880	116860	E aí, tava mesmo tudo bem?
116860	116880	E aí, tava mesmo tudo bem?
116880	120860	E lá do alto de Gurgel, proibiu a música no país.
121220	125640	Embora o sertanejo ainda possa, porque ele teve que fazer um acordo com a bancada sertaneja.
126500	138640	Os jogadores tentaram impedi-lo e foram derrotados, sendo atirados do céu, sendo engolidos pelo chão e indo no lugar que pode ser descrito como o inferno.
146880	146920	Os jogadores tentaram impedi-lo e foram derrotados, sendo atirados do céu, sendo engolidos pelo chão e indo no lugar que pode ser descrito como o inferno.
146920	147120	Os jogadores tentaram impedi-lo e foram derrotados, sendo atirados do céu, sendo engolidos pelo chão e indo no lugar que pode ser descrito como o inferno.
147120	151180	Lá, uma casinha na beira do penhasco.
152080	153700	Uma casinha que já foi vista algumas vezes.
155040	155640	Sai um homem.
157860	161520	Vestidinho meio hippie, óculos redondo, cabelo enrolado.
163360	163880	Ele chama...
164920	165220	Paulo!
166140	167220	Paulo, vem cá!
167900	170100	Tem um pessoal aqui que precisa aprender algumas coisas.
171760	172320	É...
172320	173080	Olá, crianças.
173640	176860	Eu estou morando aqui nessa casinha há muito tempo, esperando a chegada da minha filha.
176860	177760	A chegada de vocês.
178320	182420	Eu me chamo Raul e tivemos que mover o inferno para realizar esse encontro.
183200	188800	Um homem sai de dentro da casa, um homem de manto e capuz marrom, ele tem o cabelo branco.
189720	191040	Mover o inferno.
191920	192520	Literalmente.
193480	198340	Tivemos que convencer muita gente poderosa da importância deste encontro.
199200	202580	Da casa sai uma mulher, calça jeans, botas, chapéu de palha.
202580	206700	Ela tem uma corrente por dentro da blusa.
206860	209500	Mostra que ela tem um pingente, embora o pingente não esteja à mostra.
210520	211860	E ela diz...
211860	213820	Nem foi tão difícil assim, seu Paulo.
214480	216640	Bem conversadinho, todo mundo se acerta.
218140	224420	E ela abre um sorriso para vocês, fazendo com que todos os ferimentos que vocês possuam se fechem.
224540	226960	E vocês se sentem revitalizados só com aquele sorriso.
228040	228860	Raul continua...
228860	233780	Há muito tempo atrás existia um único mundo, uma única realidade.
234040	235300	E nela existia um Deus.
235520	235860	Paulo corrige...
237860	238600	Que seja.
239300	241220	Esse homem podia alterar a realidade.
241640	246480	Mas se cansou e passou seus poderes a quatro outros seres, que passaram esse poder adiante.
247080	249500	E um dia brigaram, criando quatro outras realidades.
250260	252340	Vocês são de uma dessas realidades.
253520	254860	Nós somos da realidade original.
255920	260360	Somos o que sobrou quando os quatro deuses se separaram e levaram o mago primordial.
262040	266660	Além dessas cinco realidades, existem algumas outras.
266860	269380	Subrealidades, como esta.
269980	275020	Que se formou na crença de várias realidades em um inferno e tal.
275060	276600	Vai direto ao ponto, homem.
277000	277760	Ok, ok.
278660	284600	O fato é que essa subrealidade fica embaixo da realidade zero.
284600	288820	E nós a movemos pra cá pra receber vocês.
289720	296360	Embora as nossas realidades não sejam as mesmas, as realidades acabam se influenciando.
296860	302180	A infelicidade do seu povo está ressoando em todas as realidades.
302640	306300	O mago que criou a realidade zero antes de ser dividido em quatro.
306700	308800	Antes de ser um mago, possui irmãos.
309380	310680	Criaturas poderosas.
311260	315620	A maioria foi destruída, mas acreditamos que uma delas conseguiu entrar no seu mundo.
315720	318180	Está por trás de tudo o que está acontecendo.
318560	324080	Se vocês não pararem, o José Trabalhador, não só a sua realidade será destruída,
324080	326840	como todas as realidades paralelas.
326860	333500	Nós não podemos entrar na realidade de vocês, pois cada pessoa da realidade zero
333500	336540	possui contrapartes em outras realidades.
337220	340320	E se elas se tocarem, o universo pode explodir.
340500	341240	Em teoria.
341980	343480	Sim, em teoria.
344060	349220	Por isso, precisamos descobrir o que possui mais chance de funcionar.
350160	354800	Indicar o caminho a vocês ou tomar suas armaduras.
356860	361200	E antes que você consiga falar qualquer coisa, o Paulo cria um cajado, bate no chão,
361680	365580	as armaduras de vocês se soltam e viram animais.
366120	369360	Um burro de ferro, um gato de ferro, um coelho de ferro.
370760	373480	O coelho e o gato correm para a floresta que tem ali próximo.
374040	375860	E o burro fica parado na frente do Pedro.
377800	378740	O que vocês fazem?
385180	385700	A CIDADE NO BRASIL
385700	386820	O Realidade Paralelas do Guaxinim.
386860	388000	É um podcast de one-shots.
388340	391880	Cada episódio é uma aventura completa com início, meio e fim.
392460	393100	Mas hoje não.
393720	397980	Além desses episódios de one-shots, temos uma única mini-campanha.
398620	401120	A saga Os Cavaleiros do Bicho.
