start	end	text
0	7520	Dia 26 de abril de 2023, eu completei 39 anos.
8140	14780	No dia 24 de maio, o RPGuaxa completa 5 anos.
15540	22200	Entre o meu aniversário e o aniversário do RPGuaxa, teremos episódios não quinzenais, mas semanais.
22200	52180	O que é o RPGuaxa?
52200	59040	Você escuta o que quiser. Você pode ouvir só os da nova geração, você pode ouvir os antigos e agora os da nova geração.
59240	62560	Você pode ouvir esse. Mas nesse episódio eu não vou dar muita informação.
63400	66760	Os jogadores são os mesmos do Cavaleiros do Bicho Nova Geração anterior.
67460	71440	Agradeço muito a eles, ao Patrick, ao Jean e à Juleiva.
73480	79560	Episódio de hoje, os Cavaleiros do Bicho, a nova geração. Resgate em São Paulo.
79560	91220	O RPGuaxa é um sistema muito simples, que usa apenas D6, e que o jogador precisa tirar seu atributo ou menos para ataques e ações físicas, ou seu atributo ou mais para jogadas sociais.
91580	95260	Mas se esse não é o seu primeiro episódio, provavelmente você já sabe disso.
96200	97700	Esse mês de aniversário é pra você.
99000	101560	Não deixe de seguir nas redes sociais, ou amassar o gostinho, ou roubar o RPGuaxa.
102560	105680	Pense com carência em ser nosso padrinho e poder receber esses episódios antes.
106680	107720	Poder gravar NPC.
107720	108720	E leve seu cosmo.
109560	110800	E boa aventura.
123000	126560	Em um passado remoto, o seu Nelson criou as 25 armaduras do bicho.
126900	132440	Juntas, elas venceram um grande mal, e salvaram não só a Laguna de Abril, mas todo o multiverso.
132820	134220	Mas o mal não foi destruído.
134220	137300	Ele foi apenas derrotado, e iria voltar um dia.
137900	139220	Quando o equilíbrio do mundo estivesse...
139560	140460	Quando o mundo estivesse abalado.
140660	145180	Quando as armaduras e seus cavaleiros triunfaram, há mais de 100 anos atrás,
145600	147660	nossos heróis se dividiram em três grupos.
148120	152480	Os que queriam manter as armaduras separadas, evitando ter muito poder em um lugar só,
152620	156580	o que iria evitar atrair olhares indesejados dessas criaturas.
156960	164480	Os que queriam mantê-las unidas, formando um supergrupo pronto para chutar o traseiro de qualquer entidade que tentasse roubá-las.
164660	166600	E os que estavam mais preocupados em comemorar a vitória.
166600	168400	O maior grupo era esse último.
168400	171600	Eles organizaram um mega churrasco que durou dois meses.
171600	175600	O segundo maior grupo era aquele que queria dividir o poder das armaduras,
175600	178600	e não permitir que dois cavaleiros andassem juntos.
178600	180600	E foram eles que criaram as regras.
180600	182600	Que a todos iria reger.
182600	184600	Mesmo que a maioria esmagadora fosse contra isso.
184600	187600	Sim, o pessoal do churrasco não queria separar as armaduras.
187600	192600	Mas se absteve por motivo fútil, achando que tudo já estava decidido, mesmo que eles não votassem.
192600	196600	Um fenômeno assustadoramente comum em democracias, por sinal.
196600	197600	Por isso, três cavaleiros...
197600	198200	Por isso, três cavaleiros...
198200	201000	Por isso, três cavaleiros andarem juntos é crime agora.
201000	204400	Por isso, Pedro irá atacar os filhos do Romil.
204400	205400	Um mês se passou.
205400	208400	Os três morros ficaram em paz.
208400	212400	Por mais que os jogadores tiveram aquele momento de luto a ser enfrentado.
212400	214400	Havia um problema maior a ser resolvido.
214400	216400	Havia três morros sem controle.
216400	221400	E graças ao trabalho deles e de outras pessoas das comunidades.
221400	223400	O morro do coelho, do tigre e do cachorro.
223400	225400	Passaram a agir juntos.
225400	226400	E tudo parecia bem.
226400	227400	Até que Pedro chegou.
227400	235400	Pedro, um senhor de quase 150 anos, curvado pelo tempo e presidente dos Estados Unidos do Brasil, não veio para conversar.
235400	242400	Ele marcou um encontro no memorial de Romildo e Juliette e os recebeu com sua icônica armadura de burro.
242400	245400	Atacando jovens cavaleiros sem dar tempo de conversar.
245400	248400	Inicialmente, a luta parecia quase de igual para igual.
248400	252400	Mas, e porque os jogadores são três e estão claramente cansando a cada golpe.
252400	255400	Ao contrário do Pedro, que é só um.
255400	256400	E parece não estar dando tudo de si.
256400	264400	No momento em que nos encontramos na luta, Pedro está parado no meio de uma roda de vocês.
264400	267400	Cada um de vocês está de um lado do Pedro.
267400	271400	E eu queria que a Ju falasse sobre a aparência da armadura dela.
271400	275400	Afinal, as armaduras se adaptam aos seus guerreiros.
275400	282400	A história da personagem, o atributo e o elemento que foi desenvolvido entre ela e o coelho.
282400	284400	Olá, gente.
284400	285400	Eu vou jogar com a Dora.
285400	289400	A Dora, ela é uma adolescente negra.
289400	291400	Tem tranças longas e é bem pequena.
291400	293400	Ela veio de Santa Caquita do Sul.
293400	295400	Por isso que o sotaque dela é um pouquinho diferente.
295400	298400	Ela chegou em Laguna de Abril aos oito anos.
298400	300400	E como que está a armadura dela agora?
300400	305400	A armadura dela se ajusta ao corpinho.
305400	307400	Tem tons de laranja.
307400	311400	Porque ela gosta de usar muita páprica na cozinha que ela gosta de praticar.
311400	313400	E como a conexão dela com a armadura.
313400	318400	A conexão dela com a armadura se desenvolveu através do pacote do pezinho.
318400	325400	Um dos golpes que ela conseguiu desenvolver envolve a sorte dos pés de coelho.
325400	327400	Os pés dela ficam gigantes.
327400	329400	A armadura dela fica com pés gigantes.
329400	331400	Praticamente pedra.
331400	333400	Em um verdadeiro pacote de violência.
333400	335400	O atributo dela é o três.
335400	336400	Perfeito.
336400	338400	É esse ataque que tu vai usar agora contra o Pedro?
338400	339400	Isso mesmo.
339400	341400	Descreve novamente esse ataque então.
341400	342400	Pacote do pezinho.
