start	end	text
0	3660	Novinha você é uma flor, filho do cabrum se não for
3660	7440	Amarela lembra ouro, ouro lembra ladrão
7440	10920	Ladrão lembra você que roubou meu coração
10920	14480	Você é especial
14480	18320	Há um ano atrás surgiu a ideia de um podcast que conteria uma aventura completa
18320	20360	Com início, meio e fim
20360	22080	Tudo em um único episódio
22080	28060	Um podcast de RPG onde você não precisa esperar uma semana, um mês ou talvez um ano
28060	30180	Para saber o que acontece a seguir
30180	32320	Um podcast de one shots
32320	35060	Mais do que isso, um podcast de headshots
35640	41460	E no nosso episódio especial de um ano eu convido você a conhecer Laguna de Abril
41460	44380	O lugar de música alegre e magia
44380	48820	Episódio de hoje, os cavaleiros do bicho e a cinerela do baile
48820	51860	Com os trabalhadores do ramo das coxinhas e do jogo do bicho
51860	55100	Thaís do Portal Deviante, interpretando Chris
55100	57960	Com a Shelly do RPG Next e do Contínuo
57960	58040	E do Bicho
58060	65220	E com o Felipe Xavier, representando toda a família de padrinhos
65220	66340	Como o Pedro
66340	70880	O Realidades Paralelos do Guaxinim usa uma adaptação do sistema Lasers e Sentimentos
70880	73520	Que é um sistema muito simples que tem um único atributo
73520	77360	Todo jogador tem um único número que vai de 2 a 5
77360	80920	Sempre que você precisa realizar uma ação física ou um ataque
80920	83900	Você precisa tirar seu atributo ou menos
83900	87160	Sempre que você tentar uma ação que não é um ataque nem uma ação física
87160	87960	Seu atributo é menos
87960	92920	No exemplo, o personagem da Shelly, a Anísia, tem atributo 4
92920	99540	Se ela precisar chutar alguém, ela precisa tirar 1, 2, 3 ou 4 no dado de seus lados
99540	102140	Da mesma forma, se ela precisar se esconder
102140	105720	Ela vai precisar rolar 4, 5 ou 6
105720	108120	Não esquece de nos seguir nas redes sociais
108120	111320	Arroba Marcelo Guaxinim, arroba rpguaxa
111320	113400	Pense com carinho em se tornar um padrinho
113400	114960	E fazer parte desta família maravilhosa
114960	116960	Mais informações no Escudo Mestre Alfinete
117960	119400	Até o final deste episódio
119400	120620	Segue o baile
147960	148560	Chamo...
148560	150980	Chamo Clérigo
150980	153360	Como assim eu morri?
154540	155780	Hora iniciativa
155780	158800	Então, não tem armadilha
158800	159740	Podemos ir
159740	161620	O que vocês fazem?
163000	163780	Tá, tá
163780	167020	Eu amarro uma corda nelas e uso como arma
167020	168260	Eu ataco
168260	172620	O Magro lança seu Thunderbolt mais 15 no Ubi Holder
172620	174920	Eu quero rolar a percepção, posso?
175920	177320	Tem algum lugar pra se esconder?
177960	180200	Ah, falha a crítica
180200	181720	Ataque de impunidade
181720	182820	Ei, arrumando
182820	184200	Chamo Clérigo
184200	187260	RPG
187260	190540	Realidades Paralelas do Guaxinim
190540	193480	Sua aventura de bolso na forma de podcast
193480	196420	Uma jornada completa a cada episódio
196420	197420	RPG
197420	202540	Realidades Paralelas do Guaxinim
202540	207540	Sua aventura de bolso na forma de podcast
207540	215780	Realidades Paralelas do Guaxinim Sua aventura de bolso na forma de podcast
215780	219880	Realidades Paralelas do Guaxinim Sua aventura de bolso na forma de podcast
219880	224580	Os três, há um ano atrás, mais ou menos, precisaram de dinheiro
224580	227260	Procuraram uma pessoa muito rica da região
227260	229080	Que trabalha com o Jogo do Bicho
229080	233160	É ilegal também nesse país, assim como o Brasil
233160	236340	Vocês estão num país chamado Laguna de Abril
236340	237380	Em Laguna de Abril, você tem um país chamado Laguna de Abril
237380	237520	Em Laguna de Abril, você tem um país chamado Laguna de Abril
237540	239280	Em Laguna de Abril, o Jogo do Bicho é ilegal
239280	241360	Mas é uma grande fonte de renda
241360	242620	E vocês precisavam disso
242620	245160	Então foi conseguida uma venda pra vocês
245160	246760	Nos pés de um moco
246760	249860	Essa venda vocês venderiam cal de cana
249860	254060	Coisas de vendinha de estrada, assim, normalmente
254060	256600	E fariam Jogos do Bicho
256600	259780	Vocês três são tão bons em vendas
259780	261220	Ou o ponto também ajudava
261220	265500	Que vocês conseguiram lucros gigantescos com as vendas
265500	267040	Até mais do que com o Jogo do Bicho
267040	269300	Mesmo assim, vocês fazem vários jogos
269300	271520	Simplesmente pra mandar mais dinheiro
