start	end	text
0	9100	Uma tribo onde todos são uma grande família está para testar seus jovens.
9460	15240	Três crianças, filhos da rainha, mas que nunca tiveram tratamento especial até agora.
15760	20220	Pois um deles irá suceder na liderança dessa tribo.
20920	23460	O que será que Floresta tem para testar esses três jovens?
25140	28060	Episódio de hoje, os filhos da rainha Lyra.
28060	34480	Com os padrinhos Adriano Trocta, Lucas Sasaki e com a Sarah.
58060	61360	Se formação intelectual, social, seu atributo ou mais.
61540	66220	Se a ação for fácil, como pedir um copo d'água a um de nossos comissários de bordo, rola-se um dado a mais.
66700	72480	Se for difícil, como convencer um de nossos comissários de bordo a dançar uma carena, um dado a menos.
72800	76620	Aperte os cintos e boa viagem aqui ao Capitão Icebone.
77280	79620	Obrigado por voar, Guaxan.
79980	81100	Olá, passageiros.
81180	82060	Olá, passageiros.
82060	88040	Olá, passageiros.
88060	91660	Não deixe de seguir nas redes sociais, arroba o Marcelo Guaxaninho, arroba a RP Guaxa.
91820	93200	Tanto no Twitter quanto no Instagram.
93520	95260	E por que não no Blue Sky?
95520	98100	Talvez o Twitter realmente vá de base.
98560	101600	Pense também com carinho em apoiar este projeto e boa aventura.
114140	116060	Sete realidades paralelas.
116400	117600	Uma infinidade de possibilidades.
118060	120720	Três jogadores e um guaxinim.
121140	124600	Se vocês olharem à sua esquerda, verão um corvo sob uma maceira.
125760	129020	À sua direita, a aventura está prestes a começar.
130940	131740	Cinco.
133800	134680	Quatro.
136780	137560	Três.
139300	139600	Dois.
139600	140240	Dois.
144820	147800	RPG. Realidades paralelas do guaxinim.
148060	150560	Sua aventura de bolso na forma de podcast.
150560	153500	Uma jornada completa a cada episódio.
167780	173280	A tribo dos Anima fica no meio da floresta mais densa e inacessível da ilha de Nima.
173280	177280	Um lugar inexplorado e misterioso, além dos reinos civilizados.
178560	182620	Os Anima são uma tribo vegetariana que se funde na natureza sem agredi-la.
182780	185440	Eles vivem em harmonia com os animais que habitam a floresta.
185880	190980	Mesmo que são normalmente agressivos em outros lugares, aqui são dóceis e amigáveis.
191440	195420	A maioria dos habitantes possuem um ou dois animais que são praticamente da família.
195640	201240	Alguns humanos, inclusive, possuem um vínculo tão forte com um animal que conseguem se comunicar com ele.
201240	207600	A tribo é liderada por uma rainha chamada Lyra, uma mulher sábia e bondosa que tem o poder
207600	213280	de transferir sua vida para qualquer animal, assumindo o seu controle o tempo que desejar.
213640	219980	Seu animal familiar é uma tigresa branca chamada Zara, que é sua fiel companheira e protetora.
220220	225880	A rainha tem três filhos, que possuem um meio termo entre os poderes dela e da tribo.
226220	233300	Eles podem falar e transferir sua essência para um animal específico, aquele que é o seu familiar.
233480	237400	Um dia um dos três irá liderar a tribo e aprenderá o segredo de Zara.
237400	237420	Um dia um dos três irá liderar a tribo e aprenderá o segredo de Zara.
237420	237580	Um dia um dos três irá liderar a tribo e aprenderá o segredo de Zara.
237580	245040	Esses três filhos são os personagens jogadores, então antes de mais nada, vamos conhecê-los.
245280	249120	Trota, fala sobre seu personagem, aparência, atributo e seu animal familiar.
249200	253600	Olá todo mundo, eu vou jogar hoje com o Raji.
254040	260980	O Raji é um garoto de 18 anos, alto e atlético, de pele escura, cabelos um pouco longos e bagunçados,
261540	267080	olhos expressivos e determinados, em contraste com um rosto de traços suaves,
267080	270040	que ainda mostram que ele é só um menino.
270380	274300	O familiar dele é uma cobra naja de um metro e meio, chamada Kalia,
274580	278880	aquela que tem um pescoço mais largo, que se abre quando ela está em perigo, sabe?
278980	281620	Para aparentar ser maior e afugentar os predadores.
282260	287260	Essa é aquela cobra que é comumente usada em espetáculos de encantadores de serpentes na Índia,
287740	291800	onde um encantador toca uma flauta para supostamente hipnotizar a cobra.
292140	296400	O Raji é um menino corajoso, muito ligado à família,
296400	299680	bastante protetor em relação aos irmãos,
299860	306640	e está bem ansioso para passar pela aprovação final aí e poder finalmente ser considerado um homem feito.
306900	308560	E o atributo dele é o 4.
308680	309080	Perfeito.
309640	313920	Lucão Avatar, fala sobre seu personagem, aparência, atributo e o familiar dele.
314180	315160	Salve, salve turma.
315480	317020	Hoje eu vou jogar como o Lucuki.
317260	318520	Alguns me chamam de Kuki.
