start	end	text
0	10360	Todos que lembram da senhora Titi, lembram dela já idosa, rica e com uma sorte fora
10360	11660	do comum para os negócios.
11900	16260	Uma mulher sempre assertiva em suas escolhas empresariais, acaba de convocar um evento
16260	21080	muito especial, algo que não combina muito com ela, algo que pode mudar o destino do
21080	21340	mundo.
21640	22780	Ou pelo menos de algumas pessoas.
23420	28540	Episódio de hoje, os herdeiros de Titi, com a participação da Renata lá do Caquitas
28540	34400	Podcast, no papel de Regina, com a participação da Fernanda, do Lê Como Uma Garota e Estação
34400	39800	9 3 Quartos, que vai mudar de nome agora em setembro para a Estação 21, fiquem ligados
39800	40120	nisso.
40400	45100	A Fernanda está jogando com a Sofia, e com o Danilo Battini, lá do Contador de Histórias,
45380	49760	um parceirão do RPG Guaxa aqui de longa data, que está jogando com o Clayton.
50280	56160	O Realidades Paralelas do Guaxinim é um sistema chamado Guaxinim Zigambiarras, a minha variação
56160	58340	do sistema Lasers e Sentimentos.
58540	63420	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
63680	68800	Quanto maior o atributo, mais atlético é o personagem, quanto menor, mais inteligente
68800	69540	e carismático.
69900	73700	Sempre que o jogador tenta fazer algo, ele joga dois dados, e precisa tirar seu atributo
73700	79760	ou menos, para ataques e ações físicas, e seu atributo ou mais, para ações intelectuais
79760	80560	ou sociais.
80900	84140	Se a jogada for fácil, ou tiver alguém auxiliando, joga um dado a mais.
84400	87460	Se a jogada for difícil, rola-se um dado a menos.
87720	88520	Não deixe-me.
88540	92500	Me siga nas redes sociais, arroba Marcelo Guaxinim, arroba RP Guaxa, tanto no Twitter
92500	93580	quanto no Instagram.
93920	97120	Considere também se tornar um apoiador, tanto pelo PicPay quanto pelo Padrim.
97480	100060	Mais informações ao final do episódio, no Escudo do Mestre.
100460	100980	Boa aventura.
118540	148200	E aí, vocês estão no KVN?
148200	148360	E aí, vocês estão no KVN?
148360	148520	E aí, vocês estão no KVN?
148520	148560	E aí, vocês estão no KVN?
148560	148660	E aí, vocês estão no KVN?
148660	149360	Rola os dados.
150380	152040	Bola de fogo!
152700	153860	Chamo...
153860	155820	Chamo o clérigo.
156960	158200	Assim eu morri.
159400	160620	Rola a iniciativa.
161260	163660	Então, não tem armadilha.
163940	164540	Podemos ir.
165280	166440	O que vocês fazem?
167860	168540	Tá, tá.
168760	171860	Eu amarro uma corda nelas e uso como arma.
172240	173120	Eu ataco.
173520	177360	O Magro lança seu Thunderbolt mais 15 no Beholder.
177360	178340	E eu quero rolar.
178340	179780	É uma perseguição, posso?
180500	182160	Tem algum lugar pra se esconder?
182780	185060	Ah, falha a crítica.
185620	186420	Ataque de impunidade!
186760	187660	É erro, mano!
187800	189000	Chamo o clérigo!
191720	192440	RPG.
192920	195380	Realidades Paralelas do Guaxinim.
195740	198340	Sua aventura de bolso na forma de podcast.
198760	201280	Uma jornada completa a cada episódio.
208340	220600	A senhora Titi é a pessoa mais velha do mundo, ainda viva.
220800	225140	Embora isso não esteja em nenhum livro de recordes, pois faltam documentos que comprovem.
225320	229980	O que se sabe é que essa mulher é muito rica e se aproveitou de uma crise imobiliária na Grécia
229980	231440	pra comprar muitos imóveis.
231840	233820	Vocês provavelmente já haviam ouvido falar dela,
233820	237940	mas nunca imaginaram que ela poderia ser sua parente.
238100	238300	Até que...
238300	239500	Até receberem a seguinte carta.
239940	243900	Olá, meu amado sobrinho tetraneto, no caso dos personagens masculinos,
244140	246840	ou sobrinha tetraneta, no caso das meninas.
247060	249980	Me chamem de Tia Tetra Vó Titi.
250240	251040	Ou só Vó Titi.
251380	253760	Eu tenho muitas riquezas e acho que minha hora finalmente chegou.
254040	256820	Quando eu morrer, vou dividir minha riqueza com alguns de vocês.
257040	258720	Mas gostaria de conhecê-los em vida.
258980	261620	Junto com essa carta, estão indo passagens de avião,
261620	264680	já que está impossível se usar barcos ultimamente.
264880	266820	E um motorista vai pegá-los no aeroporto.
267060	268280	Quero todos em minha casa.
268300	270140	Quero conhecê-los.
270300	271500	Prometo presenteá-los.
271820	275080	Darei 10 mil euros ou um item especial de minha coleção,
275240	276280	a critério de vocês,
276480	279560	desde que estejam aqui na data e hora marcada.
279780	281220	Quero deixar uma herança em vida,
281420	283460	porque talvez vocês morram antes de mim.
283660	284420	Cara, é um barbotite.
285220	286540	Vocês receberam essa carta.
286780	288200	A única coisa que eu peço é que os personagens de vocês
288200	291220	tenham a motivação para estar lá no dia e hora marcado, né?
291280	292180	Porque senão não tem aventura.
292460	294820	Mas eu queria saber um pouco do personagem de vocês.
295120	296580	Então, primeiro, Fernanda.
296580	297580	A minha personagem...
298300	300360	A minha personagem é a Sophia Kennedy.
300520	301820	O atributo dela é 4.
302120	304680	Ela é uma mulher ruiva, na faixa dos 30 anos,
304800	306120	tem mais ou menos 1,70m.
306680	309020	A mãe dela é grega e o pai dela era irlandês.
309220	310800	Ela vive em Nova York,
311140	314480	onde trabalha como professora de educação física.
314820	316340	E quando ela recebeu essa carta,
316540	319700	ela viu nessa viagem uma oportunidade
319700	322560	de conseguir ganhar um pouco mais de dinheiro
322560	324100	e ter a vida que ela sempre sonhou.
324240	325500	Educação física em geral?
325620	326820	Tem algum esporte que ela se sai melhor?
327420	328140	Educação física.
328140	329720	Educação física, assim, em geral, para os alunos,
329840	332120	mas o foco dela é atletismo, sabe?
332480	334140	Corrida, essas coisas, é o que ela se dá melhor.
334320	334640	Tá bom.
334740	335100	Renata?
335300	337260	Meu nome é Regina Summer.
337480	339460	Na verdade, meu nome é Regina Silveira.
339580	341580	Mas eu sou uma socialite na internet
341580	344300	e eu tenho vergonha das minhas origens,
344440	345540	então eu minto meu nome.
345740	346940	Eu também minto a minha idade.
347000	350660	Eu tenho 32 anos, mas oficialmente na internet eu tenho 27.
351220	354340	E eu sou uma influencer de Instagram
354340	356140	que foi recentemente cancelada.
356140	358140	E eu perdi todos os meus patrocinadores,
359100	361140	então agora eu preciso muito.
362060	365520	Essa oportunidade dessa herança surgiu, caiu como uma luva,
365740	367280	porque eu não aguento mais andar por aí
367280	369600	com um Louis Vuitton falsificado no meu braço.
370740	371800	Qual o atributo dela?
371960	373320	O atributo dela é 3.
373600	373960	Danilo?
374140	374440	Muito bem.
374620	376400	Eu me chamo Clayton Das Calaques.
376720	380160	Eu sou filho de uma grega com português de Portugal,
380340	381860	mas eles sempre acharam o nome Clayton bonito,
382020	382900	então me chamaram de Clayton.
383000	385040	Atualmente eu estou nos meus 30 anos ali,
385040	387760	e eu trabalho como ajudante em um café,
388140	389500	na Ilha da Madeira, em Portugal.
389700	392180	E eu tenho o sonho de abrir meu próprio café um dia.
392380	393660	Então quando eu recebi essa carta,
393780	396860	eu julguei que seria bom estar lá para receber essa herança.
397000	398940	Afinal de contas, seria o pontapé inicial
398940	400140	para eu começar meu próprio negócio.
400240	401380	Meu atributo é 2.
410120	411820	A Sofia está vindo dos Estados Unidos,
411940	413000	a Regina está vindo de onde?
413200	413760	Do Brasil.
414060	415000	Brasil, Clayton?
415180	415540	Portugal.
415540	415820	Portugal.
415820	416100	Portugal.
416460	417540	Vocês, por uma coincidência,
418140	421140	o avião de todos vocês chegaram juntos no aeroporto,
421820	423140	lá o aeroporto movimentado,
423880	426360	e vocês começam a andar ali pelo saguão,
426520	428940	até que cada um, não sei quem vai encontrar primeiro,
429040	430680	tem um homem muito alto, careca,
430800	434620	um ar meio vazio, um olhar meio perdido,
434700	437080	segurando uma placa com o nome de cada um de vocês,
437260	438560	bem próximo da saída ali.
438780	441640	Eu saí do avião super apressada,
441880	444320	porque eu quis passar pela...
444320	446460	Eu tive que voar a classe econômica, né?
446540	447060	Vechame.
447060	448060	E eu quis passar,
448220	449240	ali pela primeira classe,
449340	450500	pra pegar um dos kits,
450720	452820	que alguém muito rico deixou pra trás,
452920	453440	não quis levar,
453580	455820	pra fingir que eu viajei de primeira classe.
456060	457880	Então, eu saio correndo, assim,
458000	460320	e depois que ninguém está mais prestando atenção,
460460	461680	eu paro, assim, me acalmo,
461800	465100	e caminho com toda a pompa na direção do rapaz com a placa.
465360	466340	Eu pego minha mochilinha,
466440	468480	eu vou normalmente ali andando,
468580	469480	tipo, só olhando ao redor.
469620	471280	Eu não estou acostumado com tanta gente assim,
471380	474200	porque Ilha da Madeira é um lugar meio relativamente mais calmo,
474280	475440	assim, que uma cidade grande.
475440	477180	Então, não estou acostumado com tanta movimentação.
478140	481080	Estou com o meu fone de ouvido ligado no celular,
481200	482640	estou ouvindo um podcast,
483180	486540	e peguei o celular pra mandar uma mensagem pra família,
486640	487480	dizendo que eu cheguei,
487760	490160	e vou andando calmamente na direção do homem.
490520	492580	Assim que os três chegam até ele,
492740	495460	ele não chega a falar nada pra vocês,
495540	496600	ele até abre a boca,
496780	497680	ele pensa um pouco,
497900	500460	e daí ele aponta pra porta e começa a se dirigir pra ela.
500700	502600	Eu olho pros outros dois que estão ali,
502960	504560	eu viro pra eles,
504560	504740	e dizem,
504740	506000	Regina Summer,
506200	507140	enchanté.
507420	507720	E aí,
507720	512440	eu vou dar um beijinho do lado de cada bochecha de cada um deles,
512440	513440	se eles me deixarem.
513680	514000	Ok.
514300	515660	É, eu fico meio assim,
516080	516760	assustada, né?
516800	519520	Que essa afetividade não é muito normal pra mim, né?
519680	521100	Sabe, quando a pessoa te abraça,
521160	521420	dá um beijo,
521480	522260	você fica assim, meio dura.
522440	523720	Eu, é, prazer, né?
524100	525580	É, Sofia Kennedy.
526480	526880	Kennedy?
527380	527780	Parente?
528200	529380	Ora, puxa, me chamo Clayton.
529680	530080	Clayton!
530460	531080	Muito prazer.
531480	533920	Sofia Kennedy, parente do...
533920	534540	E...
534540	535720	Eu faço um...
535720	537720	Eu faço arminha com a...
537920	539320	Não, não, não.
539960	541720	É, todo mundo pensa isso, mas...
541720	543900	Mas não, é um sobrenome até que...
543900	545180	Que comum na Irlanda.
545660	548260	Mas, quem dera, pelo menos eu seria famosa, né?
548720	551020	Ah, é ótimo, querida.
