start	end	text
0	10200	No mundo de fama, riqueza e extravagância, Lady Amanda Brilha Gold está em todas as
10200	14760	páginas de fofoca, pois além de ter se desentendido com a esposa no último concurso de pets,
14980	17600	acaba de contratar alguns profissionais de última hora.
17960	19660	Será que seus poodles estão doentes?
20280	24160	Será que pela primeira vez ela está com medo de perder um concurso de animais de estimação?
24760	28060	Será que seu casamento estará de pé ao final desta semana?
28060	32980	Episódio de hoje, os incríveis pets de Lady Amanda.
58060	63420	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
64140	69000	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
69840	72980	Quanto maior o atributo, mais atlético é o personagem.
73560	76600	Quanto menor, mais inteligente e carismático.
77440	82500	Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar
82500	88040	seu atributo ou menos para ataques e ações físicas, e seu atributo ou mais para a
88060	89760	ações intelectuais ou sociais.
90540	94960	Se a jogada for fácil ou tiver algum auxílio, joga-se um dado a mais.
95540	98300	Se a jogada for difícil, rola-se um dado a menos.
99040	104300	Eu sou o Jean Macedo e sou padrinho do RP Guaxa porque desde pequeno eu tenho o hábito
104300	107580	de desenhar os universos que passam pela minha imaginação.
108260	112220	E o Guaxa Verso é uma excelente fonte de inspiração.
112800	115840	Não deixe de seguir as redes sociais ou amassar o guaxinim arroba rp guaxa.
116300	118040	Considere também apoiar esse projeto.
118060	122780	Lembre que o PicPay não está mais funcionando, então procura a gente no Apoia-se, no Padrim
122780	124300	ou na Orelo.
132340	136680	Sete realidades paralelas, com uma infinidade de possibilidades.
137340	139280	Três jogadores e um guaxinim.
139920	142880	Cuidado com o vão entre o trem do hype e a plataforma.
143460	147440	Aguarde a aventura parar totalmente para embarcar e boa viagem.
148060	150060	Cinco.
153900	154460	Quatro.
156500	157380	Três.
164340	167520	RPG, Realidades Paralelas do Guaxinim.
167900	170320	Sua aventura de bolso na forma de podcast.
170720	173220	Uma jornada completa a cada episódio.
178060	180060	O que é a sua maior esperança?
180060	182060	O que é a sua maior esperança?
182060	184060	O que é a sua maior esperança?
184060	186060	O que é a sua maior esperança?
186060	188060	O que é a sua maior esperança?
188060	188780	O que é a sua maior esperança?
188780	192600	Lady Amanda Brilha Gold é uma mulher magra, muito alta.
193080	196500	Sua pele escura resplandece com uma beleza incomparável.
196900	201060	E seu cabelo afro-volumoso e colorido expressa sua personalidade vibrante.
201640	205380	Seus olhos cintilam com uma mistura de determinação e charme.
205380	207260	Enquanto ela se destaca em meio,
207260	210500	a suas roupas elegantes e acessórios sofisticados.
210680	213340	Sempre acompanhada por seus adoráveis huddles,
213920	216860	cujos pelos exibem uma variedade de cores vivas,
217360	220880	Lady Amanda é uma presença marcante e confiante.
221060	224620	Seu guarda-roupas é uma mistura da moda contemporânea
224620	227800	e toques exóticos que destacam sua personalidade única.
228020	230980	Ela é conhecida por seu amor por animais de estimação
230980	233880	e está sempre disposta a investir tempo e recursos
233880	237240	para garantir que seus animais estejam à altura
