start	end	text
0	14840	Os Ratinhos de Alcantarilha é o episódio especial do RPGuacha de Dia das Crianças.
15120	19920	Esse episódio está sendo como extra no mês de outubro, ou seja, tivemos episódio na semana passada
19920	22660	e vamos ter episódio na semana que vem.
23060	26280	Episódios extras como esse só são possíveis graças aos padrinhos,
26620	28940	então muito obrigado a todos vocês que apoiam esse projeto.
28940	32580	Por isso, todos vocês receberam este episódio um mês antes
32580	35960	e você que não é nosso padrinho está recebendo ele na data correta.
36140	40380	Esse episódio contou com a presença da Debbie e do Felipe Queiroz lá do Portal Deviante,
40660	43600	além da Shelly, lá do RPG Next, do Continuum, do Pode Isso.
43940	45940	Muito obrigado aos jogadores, muito obrigado a todos vocês.
46280	47760	Não esqueçam de nos seguir nas redes sociais,
47860	54460	e considerem se tornarem um apoiador para mais episódios adiantados,
54560	57560	além de uma série de outras vantagens que eu comento no Escudo do Mestre.
57560	58920	O sistema que eu uso aqui é...
58920	62760	Aqui é uma variação do sistema da lei de sentimentos, chamado guaxinins e gambiarras.
63040	64460	Cada jogador tem um único atributo,
64800	68160	precisa tirar seu atributo ou menos para ações físicas ou ataques,
68460	71500	e seu atributo ou mais para ações intelectuais ou sociais.
71940	74300	Eu explico melhor isso em outros episódios que saíram esse ano,
74660	76340	mas qualquer dúvida, fala com a gente.
88920	93040	Se inscreva no canal e ative o sininho para receber notificações de novos vídeos.
93040	94000	Até a próxima.
94000	94200	Rola os dados.
95200	96780	BOLA DE FOGO!
97500	98240	CHAMO...
98240	100660	CHAMO CLÉRIGO!
101720	103000	COMO ASSIM EU MORRI?
103880	105400	Rola a iniciativa.
106060	108480	Então, não tem armadilha.
108740	109360	Podemos ir.
110100	111260	O que vocês fazem?
112620	113360	Tá, tá.
113580	116680	Eu amarro uma corda nelas e uso como arma.
116680	117680	Eu ataco...
118320	118880	O mago.
118960	122300	Lança seu Thunderbolt mais 15 no Upholder.
122320	124600	E eu quero rolar a perseguição, posso?
125320	126980	Tem algum lugar para se esconder?
127620	129880	Ah, falha a crítica.
130460	131240	Ataque de impunidade!
131580	132500	É erro, mano!
132620	133860	CHAMO CLÉRIGO!
136680	140180	RPG Realidades Paralelas do Guaxinim.
140560	142840	Sua aventura de bolso na forma de podcast.
142840	146100	Uma jornada completa a cada episódio.
148920	159680	Se inscreva no canal e ative o sininho para receber notificações de novos vídeos.
