start	end	text
0	6000	MÚSICA
30000	40000	MÚSICA
60000	70000	MÚSICA
90000	94000	MÚSICA
120000	122000	MÚSICA
150000	154940	O mago lança seu Thunderbolt mais 15 no Beholder
154940	157340	Eu quero rolar a percepção, posso?
158340	159740	Tem algum lugar pra se esconder?
160380	162680	Ah, falha a crítica
162680	164140	Ataque de impunidade!
164320	166600	Erro, meu! Chamo o clínico!
169360	172960	RPG Realidades Paralelas do Guaxinim
172960	175900	Sua aventura de bolso na forma de podcast
175900	178820	Uma jornada completa a cada episódio
180000	182000	MÚSICA
182000	199580	Vocês nasceram então, vocês foram clonados e alterados geneticamente
199580	201300	Vocês são seres humanos perfeitos
201300	203660	Vocês moram num lugar chamado Novo Éden
203660	208400	Esse lugar é na verdade uma base, uma cidade espacial
208400	209980	Ela foi criada para os seres humanos
209980	212920	Poderem viajar mais facilmente para o espaço
212920	214720	Mas antes de a gente conseguir ir muito longe
214720	215760	Algo aconteceu
215760	218440	E a ideia que era viajar para o espaço
218440	219800	Simplesmente mudou para
219800	222340	Vamos sobreviver e fundar uma cidade aqui
222340	224360	Como eram poucas pessoas que habitavam
224360	225560	E tinha um espaço enorme
225560	227720	Porque a meta era realmente ter uma cidade ali
227720	230920	Na base de clonagem, de alteração genética
230920	232840	Foi criado outras gerações
232840	235580	Algumas crianças voltadas mais para o ensino
235580	237640	São cientistas, são professores
237640	239960	E algumas crianças mais voltadas para o combate
239980	243080	Normalmente você nasce e provavelmente vai morrer
243080	244500	Naquilo que tu foi escolhido
244500	245880	Embora exista uma exceção
245880	247260	Que é o Capitão Fencas
247260	250500	Que ele nasceu para ser da área científica
250500	253980	Mas todas as pesquisas deles envolvia a parte bélica
253980	254780	Envolvia armas
254780	258040	E ele acabou pedindo para ir para o lado do combate
258040	259780	É ele que está diante de vocês
259780	261720	Vocês estão prontos para a primeira missão
261720	263360	Acabaram de sair da academia
263360	264720	E ele fala para vocês
264720	265640	Como devem saber
265640	267460	Em algum ponto do passado
267460	269380	Uma explosão aconteceu sobre o Pacífico
269380	269960	Essa explosão foi uma explosão
269980	271060	Uma explosão gerou uma onda
271060	273540	Que desligou todos os equipamentos eletrônicos da Terra
273540	276360	Os que tiveram sorte morreram naquele momento
276360	278900	E nem mesmo os geradores da gasolina funcionaram
278900	280940	A escuridão era geral
280940	283760	Saque a lojas, brigas, assassinatos
283760	284540	Medo
284540	286720	As informações depois disso são imprecisas
286720	288460	Devido a falta de comunicação
288460	289580	Mas conta-se
289580	292140	Que primeiro vieram os monstros marinhos
292140	293420	Criadores gigantes
293420	296340	Atacando barcos e todas as cidades costeiras
296340	299240	Depois os mortos começaram a voltar à vida
299240	299960	Para cair na terra
299980	301420	Caçar seus entes queridos
301420	302540	E matá-los
302540	304820	Grandes répteis gigantes
304820	306120	Monstros
306120	307240	Dragões
307240	308960	Morte e destruição
308960	309880	Para todo lado
309880	311700	Existem relatos de anjos
311700	313060	Mas são tão poucos
313060	314740	Que eu suponho que seja somente uma lenda
314740	316580	Uma alucinação
316580	318820	E se forem realmente verdade
318820	320280	Essas aparições, bem
320280	322400	O cenário é ainda pior
322400	324540	Porque eles já foram dizimados
324540	325660	Sim, senhores
