0;6000;"unknown";MÚSICA
30000;40000;"05";MÚSICA
60000;70000;"05";MÚSICA
90000;94000;"05";MÚSICA
120000;122000;"unknown";MÚSICA
150000;154940;"11, 12";O mago lança seu Thunderbolt mais 15 no Beholder
154940;157340;"11, 12, 15";Eu quero rolar a percepção, posso?
158340;159740;"15";Tem algum lugar pra se esconder?
160380;162680;"13";Ah, falha a crítica
162680;164140;"13";Ataque de impunidade!
164320;166600;"13, 00";Erro, meu! Chamo o clínico!
169360;172960;"00";RPG Realidades Paralelas do Guaxinim
172960;175900;"00";Sua aventura de bolso na forma de podcast
175900;178820;"00";Uma jornada completa a cada episódio
180000;182000;"00";MÚSICA
182000;199580;"05, 12";Vocês nasceram então, vocês foram clonados e alterados geneticamente
199580;201300;"05";Vocês são seres humanos perfeitos
201300;203660;"05";Vocês moram num lugar chamado Novo Éden
203660;208400;"05";Esse lugar é na verdade uma base, uma cidade espacial
208400;209980;"05";Ela foi criada para os seres humanos
209980;212920;"05";Poderem viajar mais facilmente para o espaço
212920;214720;"05";Mas antes de a gente conseguir ir muito longe
214720;215760;"05";Algo aconteceu
215760;218440;"05";E a ideia que era viajar para o espaço
218440;219800;"05";Simplesmente mudou para
219800;222340;"05";Vamos sobreviver e fundar uma cidade aqui
222340;224360;"05";Como eram poucas pessoas que habitavam
224360;225560;"05";E tinha um espaço enorme
225560;227720;"05";Porque a meta era realmente ter uma cidade ali
227720;230920;"05";Na base de clonagem, de alteração genética
230920;232840;"05";Foi criado outras gerações
232840;235580;"05";Algumas crianças voltadas mais para o ensino
235580;237640;"05";São cientistas, são professores
237640;239960;"05";E algumas crianças mais voltadas para o combate
239980;243080;"05";Normalmente você nasce e provavelmente vai morrer
243080;244500;"05";Naquilo que tu foi escolhido
244500;245880;"05";Embora exista uma exceção
245880;247260;"05";Que é o Capitão Fencas
247260;250500;"05";Que ele nasceu para ser da área científica
250500;253980;"05";Mas todas as pesquisas deles envolvia a parte bélica
253980;254780;"05";Envolvia armas
254780;258040;"05";E ele acabou pedindo para ir para o lado do combate
258040;259780;"05";É ele que está diante de vocês
259780;261720;"05";Vocês estão prontos para a primeira missão
261720;263360;"05";Acabaram de sair da academia
263360;264720;"05";E ele fala para vocês
264720;265640;"05, 11";Como devem saber
265640;267460;"11";Em algum ponto do passado
267460;269380;"11";Uma explosão aconteceu sobre o Pacífico
269380;269960;"11";Essa explosão foi uma explosão
269980;271060;"11";Uma explosão gerou uma onda
271060;273540;"11";Que desligou todos os equipamentos eletrônicos da Terra
273540;276360;"11";Os que tiveram sorte morreram naquele momento
276360;278900;"11";E nem mesmo os geradores da gasolina funcionaram
278900;280940;"11";A escuridão era geral
280940;283760;"11";Saque a lojas, brigas, assassinatos
283760;284540;"11";Medo
284540;286720;"11";As informações depois disso são imprecisas
286720;288460;"11";Devido a falta de comunicação
288460;289580;"11";Mas conta-se
289580;292140;"11";Que primeiro vieram os monstros marinhos
292140;293420;"11";Criadores gigantes
293420;296340;"11";Atacando barcos e todas as cidades costeiras
296340;299240;"11";Depois os mortos começaram a voltar à vida
299240;299960;"11";Para cair na terra
299980;301420;"11";Caçar seus entes queridos
301420;302540;"11";E matá-los
302540;304820;"11";Grandes répteis gigantes
304820;306120;"11";Monstros
306120;307240;"11";Dragões
307240;308960;"11";Morte e destruição
308960;309880;"11";Para todo lado
309880;311700;"11";Existem relatos de anjos
311700;313060;"11";Mas são tão poucos
313060;314740;"11";Que eu suponho que seja somente uma lenda
314740;316580;"11";Uma alucinação
316580;318820;"11";E se forem realmente verdade
318820;320280;"11";Essas aparições, bem
320280;322400;"11";O cenário é ainda pior
322400;324540;"11";Porque eles já foram dizimados
324540;325660;"11";Sim, senhores
325660;326840;"11";O apocalipse
326840;328540;"11";O apocalipse aconteceu
328540;329700;"11";E devem resistir muito mais
329700;329840;"11";E devem resistir muito mais
329840;332160;"11";Menos que 1% da população mundial
332160;333220;"11";Habitando a terra no momento
333220;334660;"11";Menos de 1%
334660;335780;"11";Novo Éden
335780;337840;"11";Nosso querido, nosso amado lar
337840;340840;"11";Inicialmente projetado para ser uma cidade no espaço
340840;343340;"11";Uma base flutuante que lançaria o homem
343340;345160;"11";Aos cofins do universo
345160;346420;"11";Ele foi poupado
346420;348020;"11";Nada nos afetou
348020;348760;"11";Isso preservou
348760;351200;"11";Alguma das maiores mentes do planeta
351200;353280;"11";E permitiu nossa sobrevivência
353280;354160;"11";Vocês
354160;356620;"11";Vocês nasceram para serem soldados
356620;357720;"11";Estaram seu DNA
357720;359280;"11";Desde sua clonagem
359280;360720;"11";E manipulação genética
360720;361880;"11";Vocês
361880;364260;"11";Vocês são seres humanos perfeitos
364260;365620;"11";Em seus ápices
365620;366820;"11";Mentais e físicos
366820;367960;"11";Perfeitos
367960;369540;"11";Cresceram sendo preparados
369540;371400;"11";Para este exato momento
371400;372520;"11";E agora
372520;373860;"11";Agora chegou a hora
373860;374980;"11";Vocês
374980;376980;"11";Retornarão à terra
376980;378880;"11";O equipamento que vão receber
378880;380320;"11";Fui eu mesmo que projetei
380320;382840;"11";A roupa e o capacete que estão recebendo
382840;384400;"11";São resistentes a tiros
384400;385300;"11";Lasers
385300;385980;"11";Fogo
385980;386640;"11";Ácido
386640;387400;"11";Água
387400;388600;"11";Objetos cortantes
388600;390720;"11";Só não são muito bons em absorver impacto
