start	end	text
0	8080	... de 2108, naquele ponto em que a humanidade já avançou o suficiente para finalmente abraçar a paz mundial
8080	10960	ou iniciar uma guerra que poderá levá-la a seu fim.
11940	17620	Tudo depende de um homem e das pessoas que vão defendê-lo.
18600	21420	Episódio de hoje, Pacto John Lennon.
22340	27120	Com Bruna Deer no papel da agente de campo, especialista em veículos Rachel Boeing,
27120	33660	Mari Ribeiro no papel da agente de campo Catherine Short, especialista em combate armado e desarmado,
34480	42440	e Fernando Malta, o Fencas, num papel que, bem, vocês vão ter que descobrir junto com as meninas.
57120	62440	Bola de fogo! Chamo... Chamo o clérigo.
63540	64840	Ah, quase eu morri.
66020	67200	Hora iniciativa.
67880	71160	Então, não tem armadilha. Podemos ir.
71900	73080	O que vocês fazem?
74460	78480	Tá, tá. Eu amarro uma corda nelas e uso como arma.
78480	79740	Eu ataco.
80120	84100	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
84120	86380	Eu quero rolar a perseguição, posso?
87120	88780	Tem algum lugar pra se esconder?
89400	91680	Ah, falha crítica.
92240	93040	Ataque de impunidade!
93380	95620	Ei, arrumando! Chamo o clérigo!
98520	101980	RPG Realidades Paralelas do Guaxinim.
102360	104940	Sua aventura de bolso na forma de podcast.
105360	107880	Uma jornada completa a cada episódio.
112580	116400	Alô, Lopredo Terra chamando. Alô, Lopredo Terra chamando.
117120	119680	Para a publicação do nosso livro, A Ruína Dourada.
120440	122500	Espero que esse critério não vire rotina.
123400	126660	Torre, eu já faço isso há muito tempo.
126660	134540	A RUINA DOURADA
134540	139700	Interrompemos a programação para informar que nesta manhã, em Washington, D.C.,
139700	144280	Terence Dennis Smith, o presidente dos Estados Unidos, foi encontrado morto.
144400	146800	Seu corpo foi achado no Salão Oval da Casa Branca,
146800	148120	com um tiro na têmpora.
148520	151220	Vamos agora para a capital americana falar com a Valentina Valente,
151620	153080	que nos trará maiores informações.
153660	154680	É com você, Valentina.
155220	156780	É isso mesmo, Enzo.
156900	159120	Eu estou aqui, em frente à Casa Branca,
159240	162020	onde um grande número de curiosos começou a se reunir.
162440	164680	O Serviço Secreto Americano já confirmou,
165020	167340	eu repito, já confirmou a morte,
167900	171220	e está impedindo qualquer um de entrar ou sair da Casa Branca.
171540	173020	A movimentação é grande,
173480	174760	há muita confusão,
174760	176760	e as informações ainda são bastante...
176800	189460	E como essa informação foi recebida pelos jornais locais, Valentina?
