start	end	text
0	29000	MÚSICA
29000	32260	Em 2109, um pacto global foi assinado.
32740	35440	Ele extinguiu fronteiras e unificou povos.
35800	39560	A paz mundial estava próxima, ou ao menos era o que todos pensavam.
40060	46740	Trinta anos se passaram e o mundo, embora tenha avançado bastante, ainda está longe desta paz.
47080	52460	E se não fosse a K-Scorp, uma empresa privada, que trouxe teletransporte,
52960	54640	esse acordo global teria ruído.
54820	58240	Vivemos em uma sociedade que depende unicamente de uma empresa,
58240	63560	que leva pessoas e objetos de um ponto ao outro do planeta.
64220	65660	Mas qual o preço que estamos pagando?
66120	68020	Como funciona esse teletransporte?
68520	71160	E se um dia tudo isso deixar de funcionar?
71380	77540	Episódio de hoje, Pacto Raul, com Anselmo João Konzatti, no papel de Giuseppe,
78100	80380	Guilherme Sasaki, no papel de Nick Faria,
80920	87200	e Sinara Salve de Oliveira, no papel de Meg, os três melhores agentes do governo mundial.
87200	92180	Esse episódio não é recomendado para menores de 16 anos, você foi avisado.
92660	97680	A RPG Guaxa usa um sistema baseado em lasers e sentimentos,
97720	100860	que é um sistema americano que usa apenas um atributo.
101280	104020	Os jogadores escolhem um atributo entre 2 e 5,
104600	108080	e sempre que forem rolar um ataque ou uma ação física,
108620	111320	precisam rolar o seu atributo ou menos.
111800	115980	Sempre que forem realizar uma ação que não seja um ataque ou uma ação física,
116080	117180	precisam tirar o seu atributo.
117180	125560	É um sistema bem simples, porque o que vale é a história, a narrativa e como tudo se resolve.
126060	127340	Não esqueça de me seguir nas redes sociais,
127440	131640	e bom episódio.
147180	150460	No dia em que a Terra parou.
156060	157920	Aí, vocês estão na caverna.
158440	159040	Rola os dados.
160100	161700	Bola de fogo!
162460	165480	Chama o clérigo.
166680	167880	Como assim eu morri?
168900	170260	Rola a iniciativa.
170920	173320	Então, não tem armadilha.
173600	174220	Podemos ir.
174220	176140	O que vocês fazem?
177180	178180	Tá, tá.
178420	181540	Eu amarro uma corda nelas e uso como arma.
181900	182800	Eu ataco.
183180	187140	O mago lança seu Thunderbolt mais 15 no Ubi Holder.
187180	189440	Eu quero rolar a perseguição, posso?
190260	191840	Tem algum lugar pra se esconder?
192500	194740	Ah, falha crítica.
195300	196120	Ataque de impunidade!
196460	198680	Ei, arrumando! Chama o clérigo!
201500	205020	RPG Realidades Paralelas do Guaxinim.
205020	207020	Sua aventura de bolso na forma de...
207180	208160	...podcast!
208180	211060	...uma jornada completa a cada episódio!
212200	213960	ิ
227580	232360	O torpedo será percebido!
232700	235700	Como eu não me da pode comprar sem pena da!..
235880	236480	...o degrees.
236480	236980	...mo could work!
236980	241120	O mundo, então, assinou um pacto chamado Pacto John Lennon.
241640	244580	Esse pacto foi assinado, por último, pelos Estados Unidos.
245180	249000	E, em teoria, o mundo rumou para uma paz mundial.
249500	254540	É óbvio que isso não foi de um dia para o outro e que muita gente foi contra.
254540	260440	O idioma foi uma barreira, as viagens, a distância sempre foi um problema para todo mundo.
260840	265920	Estava fadado ao fracasso, ou pelo menos a se dividir novamente em três, quatro, cinco blocos.
265920	269100	Quando surgiu uma empresa, Kais Corp.
269580	274940	Essa empresa simplesmente revolucionou o mundo, criando um teletransporte global.
275540	281780	Inicialmente, entre dois pontos, eles tinham uma sede nos Estados Unidos, uma na Europa.
281780	285700	E você conseguia entrar nessa sede e simplesmente aparecer na Europa.
285820	287120	Isso foi revolucionário.
287340	291420	E depois, com a quantidade absurda de dinheiro que eles ganharam, isso se espalhou para o mundo inteiro.
291800	295900	Então, toda grande cidade no mundo tem uma Kais Corp.
295920	302260	Ou seja, um grande quadrado branco com uma porta gigantesca, em que as pessoas entram ali,
302800	307920	passam como se fosse por um aeroporto, tem suas malas checadas, tem que conferir documentação,
309080	314500	a pessoa tem que explicar o que ela está indo fazer, não pode estar transportando nada de muito valor, nem armas.
315000	317720	Isso, embora não vai se encaixar aos jogadores, depois eu explico o porquê.
318200	321900	Mas, no geral, é muito simples de ir para qualquer lugar do globo.
321900	324740	Os únicos problemas dessa empresa é que ela é privada,
324740	328580	e ninguém consegue explicar o que essa empresa está fazendo.
