start	end	text
0	40	Música
40	14720	Mardi Gras é uma festa carnavalesca que ocorre todo ano em Nova Orleans, Estados Unidos
14720	17840	Sendo um dos mais famosos carnavais do mundo
17840	23140	Conhecido por suas máscaras de gesso, colares de conchas e paradas com bandinhas
23140	28920	No dia que precede a quarta-feira de cinzas, a chamada terça-feira gorda
28920	31660	Ou em francês, Mardi Gras
31660	36240	Turistas do mundo inteiro visitam essa festa todos os anos
36240	38820	Mas nem todos os turistas voltam pra casa
38820	41780	Episódio de hoje, Pirâmide das Almas
41780	44580	Com Debbie Cabral do Portado Aviante no papel de Emma
44580	50000	Com Shelly do RPG Next e do Contínuo e do Pode Isso no papel de Lia
50000	54820	E com Hector lá do High Cast no papel de Tutu, o Túlio
54820	56660	Todos os links estão na descrição
56660	58820	Esse episódio foi gravado na forma de
58820	60900	Live no aniversário de um ano do RP Guaxa
60900	64680	Se você perdeu isso é porque você não nos segue nas redes sociais
64680	66100	Então não esqueça de seguir
66100	68080	Arroba Marcelo Guaxinim
68080	70860	Arroba RP Guaxa
70860	71580	Lá no Twitter
71580	73780	Além de seguir, que é importante pra caramba
73780	75360	Você pode ajudar esse projeto
75360	78280	Tanto pelo PicPay, quanto pelo Padrim
78280	80260	Mais informações no Escudo Mestre
80260	81940	Ao final do programa
81940	83100	Boa aventura
83100	85960	Esse podcast não é recomendado para menores de 16 anos
88820	97500	Esta versão foi feita para dar uma olhada no potencial das pessoas mostrando semua aqueles que não DIREM
97500	99420	Que ordenam se o queadeia está certo
99420	101240	E o que eles estão fazendo
101240	103800	Essa questão da liberdade
103800	105800	E o produto incrível
105800	107100	Essa estamos falando
107100	108480	Na nossa turma
108480	110520	A gente vai te dar um detalhe
110520	111660	Que babe
111660	112480	Vai fazer bem
112480	113760	Nosso coração
113980	114740	Agora vou mergulhar
114740	116580	Intentando
116580	116880	Esquecer
116880	118020	A gente vai seguir
118020	118720	Tentando
118820	120740	Ah, assim eu morri.
121920	123140	Hora iniciativa.
123780	126180	Então, não tem armadilha.
126460	127060	Podemos ir.
127800	128960	O que vocês fazem?
130380	131060	Tá, tá.
131280	134380	Eu amarro uma corda nelas e uso como arma.
134760	135640	Eu ataco.
135640	140000	O Magro lança seu Thunderbolt mais 15 no Upholder.
140020	142300	Eu quero rolar a perseguição, posso?
143220	144700	Tem algum lugar pra se esconder?
145360	147580	Ah, falha a crítica.
147580	149120	Ataque de habilidade.
149320	151560	Ei, Romano, chamo o clínico.
154220	157880	RPG Realidades Paralelas do Guaxinim.
158260	160540	Sua aventura de bolso na forma de podcast.
161260	163800	Uma jornada completa a cada episódio.
177580	207560	O Magro lança seu Thunderbolt mais 15 no Upholder.
207560	211260	Mas, vocês tiveram agora alguns dias de folga.
211400	215460	Como o lugar mais próximo onde todo mundo podia se encontrar era Nova Orleans.
215660	218360	E estava acontecendo o Carnaval de Nova Orleans.
218560	219860	Que é o Mar de Grasse, né?
220040	220620	Mar de Grasse.
220680	221260	Mar de Grasse.
221380	222100	É francês, gente.
222120	222600	Mar de Grasse.
222740	223520	É o Carnaval deles.
223700	228020	Vocês curtiram muito, aproveitaram bastante, ganharam vários colares.
228560	232100	Como é que é o personagem, o nome, o atributo, a aparência de cada um de vocês?
232460	232800	Shelly.
233100	234080	Eu sou a Lia.
234340	235600	Eu tenho 20 anos.
235600	237400	E, cara, dessa vez eu sou gata.
237560	240920	Mas tão gata que não tem mais onde colocar colar em mim.
241120	246720	Aquela pele, assim, bronzeada, olhos verdes, um cabelo preto bem liso, assim, bonitão.
246920	248060	Mas linda, linda, linda, linda.
248180	249880	Pensa na mulher mais linda que vocês já viram.
250060	251280	É a minha personagem dessa vez.
251460	252260	Qual o atributo dela?
252660	253460	Atributo 4.
253680	254120	Perfeito.
254360	254600	Debbie?
255020	255640	Ela é a Emma.
256120	258200	Ela é muito alta.
258480	260640	Ela é estranhamente alta.
260960	262200	Então, ela é muito grande.
262400	263300	Ela deve ter, o quê?
263400	265400	Uns 1,80, talvez.
265400	267400	Bem branca e longa.
267560	268560	Ela é loura.
268760	271760	Ela sempre usa o cabelo numa trança só pro lado, assim.
271960	275960	E ela tá, tipo, é Mardi Gras, doidona.
276160	277160	Já bebeu todas.
277360	278360	Peito de fora.
278560	280360	Com o peito todo pintado.
280560	281560	E é isso.
281760	284360	E o atributo dela é 5.
284560	287760	Lembrando que, apesar de ser uma live, é só descrição, tá, gente?
287960	288960	Você não perdeu isso.
289160	290360	Pra quem tá ouvindo editar depois.
290560	293160	Não tem câmera, gente.
293360	294360	Tudo bem.
294560	295360	Hector.
295560	297160	O meu personagem é o Túlio.
297160	299360	Mas ele prefere que todo mundo chame ele de Tutu.
299560	302760	Ele tem mais ou menos 1,70, 1,70 e pouco.
302960	304560	Ele é branco, dos olhos claros.
304760	309760	E usa cabelo louro com uma franja, tipo Zac Efron em High School Musical.
309960	311760	E ele é bem do estilo descoladão.
311960	313760	Só que ele prefere futebol americano do que basquete.
313960	314760	É o atributo?
314960	315960	Atributo 3.
316160	317960	Os três aproveitaram a festa.
318160	320360	Mas acabou aquela loucura toda.
320560	321760	Vocês conheceram o pessoal lá.
321960	325760	Convidaram vocês pra ir até uma festa fechada, ainda no meio da rua.
325960	326960	Já que na rua já tinha perdido.
327160	327960	Vida graça.
335760	339160	Nessa festa, vocês começaram a beber, a conversar.
339360	344160	Uma das pessoas lá da festa chamou a atenção de vocês por ser uma mulher baixa, muito branca.
344360	346360	Com cabelo preto, um batom bem preto.
346560	348760	Bastante maquiagem em volta dos olhos.
348960	350960	Vocês olham pra ela.
351160	354160	Ela tá abrindo assim, tirando o casaco, abrindo a blusa.
354360	356160	Vocês notam uma tatuagem grande.
356160	361560	Acima do seio dela, que é como se fosse uma rosa negra.
361760	364560	Vocês olham pro copo, olham pra ela e apagam.
383560	384960	Os três acordam.
384960	386960	Vocês estão deitados.
387160	388360	Escuridão total.
388560	390760	Os olhos de vocês parecem não se acostumar com a escuridão.
390960	393560	Vocês não conseguem enxergar absolutamente nada.
393760	396360	E vocês tentam mexer as pernas, os braços.
396560	397760	Vocês se sentem muito fracos.
397960	403760	Mas, ao mover as pernas e os braços, vocês encontraram paredes muito próximas a vocês.
403960	404360	E aí?
404560	405560	Dor no corpo, não?
405760	406560	Sem dor.
406760	408760	Só uma fraqueza, um cansaço.
408960	411160	E a dor de cabeça dá ressaca, né?
411360	411960	Não.
412160	413160	Só dor no corpo.
413360	413760	Não?
413960	414360	Não.
414960	417960	Posso abrir totalmente meus braços ou as paredes impedem até isso?
418160	418760	Não, não consegue.
418960	419760	Não consegue.
419960	424360	Eu tô batendo nessa caixa que eu tô deduzindo que é um caixão.
424560	425960	Eu tô batendo loucamente.
426160	426960	Socorro!
427160	427960	Socorro!
428160	430960	Os outros dois escutam batidas muito fortes.
431160	436560	Debbie, tu sente o que tava acima de ti ceder, como madeira mesmo.
436760	437160	Uhum.
437360	440160	Tu sente um pouco de terra caindo na tua boca.
442360	442960	Emma!
443160	444760	Mas é pouca terra mesmo.
444960	449760	Tu continua subindo tua mão pelo buraco, tu sente uma outra superfície mais áspera ainda sobre você.
449960	452360	Eu consegui quebrar a madeira.
452560	453160	Conseguiu.
453360	455560	Tô sentindo uma outra estrutura, é isso?
455760	456760	Isso, áspera.
456960	460160	Lia! Lia, eu tô ouvindo? Eu ouvi quando a Lia me chamou.
460360	463360	Tu ouviu. Sabe que ela tá próxima a você.
463560	465760	Lia! Lia, cê tá me ouvindo?
465960	469760	A Lia não escuta. A Lia escutou as batidas. Tu não escuta ela falar contigo.
469960	470360	Não?
470560	471760	Ela te escuta, mas tu não escuta ela.
471960	472360	Eita.
472560	473760	Eu escutei alguma das duas?
473760	478160	Não. Escutou só o barulho das batidas da Emma.
478360	481360	Tu! Tutu! Tutu, fala comigo!
481560	482360	Ele não escuta.
482560	487160	Eu tento... Eu tento abrir mais. Cê disse que não tem muita terra, né?
487360	487760	Não.
487960	492360	Essa estrutura outra que eu achei, eu consigo dar uns socos nela também?
492560	493160	Consegue.
493360	494760	Então, pronto. Vou socar.
494960	495960	Ok. Rola dois dados.
498960	501360	Dois e cinco. Sendo cinco o meu atributo.
501560	503560	Tu sente o que tava sobre você.
503760	507560	Eu acho que agora tu tá meio que... Deu um pulo, assim. Saiu meio de lado.
507760	510560	Tu acha que agora, só empurrando, tu consegue tirar o que tá ali em cima.
510760	514160	Embora tu tenha que usar as mãos pra aumentar o buraco na madeira acima de você.
514360	515160	Pronto. Tô fazendo.
515360	519560	Enquanto isso, eu tô chutando o meu caixão. Não com os braços, com as pernas.
519760	523160	Eu coloco minhas mãos no bolso pra ver se eu acho meu celular.
523360	523960	Tu tá nu.
524160	527360	Ah, tá. Então começa a bater na superfície também.
527560	527960	Ok.
528160	529760	E aí eu escuto a batida dele?
529960	531760	Escuta perfeitamente as batidas deles.
531960	532360	Tá.
532360	536560	A Léa consegue quebrar a parte de madeira. Sente a terra também caindo sobre ela.
536760	539960	Chega até a parte mais áspera. Pretende fazer o que agora?
540160	542160	Eu ainda tô deitada. Não consigo levantar nem nada.
542360	544960	Não, não consegue. Tu quebrou... Até porque tu chutou...
545160	548160	Supondo que seja um caixão, já que essa é a tua percepção.
548360	552160	A parte onde ficariam os pés. Tu quebrou aquela parte de baixo.
552360	554560	Tu sentiu a terra cair sobre as tuas pernas.
554760	556960	E aí tu levantou a perna. Tu sentiu que tem mais alguma...
557160	558960	Com os dedos do pé, porque tu tá descalça.
559160	561160	Na verdade, todos vocês não estão usando roupa nenhuma.
561360	562160	Aham.
562360	565760	Eu senti alguma coisa áspera acima de você ali. Pelo buraco, né?
565960	568760	Antes de tentar abrir qualquer outra coisa, eu vou passar a mão pelo meu corpo
568960	574160	e tentar procurar cortes, pontos, quantos rins que foram tirados de mim, alguma coisa assim.
574360	576760	Tá. Rola um dado.
576960	577760	Cinco.
577960	580760	É. Ema, já rola um dado também.
580960	582760	Cinco. Meu atributo.
582960	586160	Nosso querido Tutu, rola um dado também.
586360	587360	Tirei um.
587560	589160	Os três tiraram números ímpares.
589360	591160	Par aconteceria uma coisa com eles.
591160	592760	Ímpar aconteceria a coisa oposta.
592960	595160	Todos tiraram ímpar. Gostaria de deixar isso registrado aqui.
595360	596760	Tá. Shelly, tu procura alguma coisa.
596960	599360	Não tem nada ali. É você e a caixa de madeira.
599560	602360	Eu vou continuar falando.
602560	604360	Lia, Tutu, tão me ouvindo?
604560	606960	Gente, isso eu tô empurrando.
607160	609160	Eu tô empurrando as coisas e tô saindo.
609360	609960	Tá.
610160	611960	Eu tô só hiperventilando. Eu não grito por socorro.
612160	614160	Eu só fico...
614360	618760	Chorando e chutando seja lá o que tiver em cima de mim pra tentar sair dali.
618960	620760	Tá. Eu só fico dando murros.
621160	623560	Ok. Rola dois dados, o Tutu.
626160	627560	Um e três.
627760	629160	E o teu atributo é três, né?
629360	629760	Isso.
629960	631760	Tá. O que aconteceu foi o seguinte.
631960	633560	Primeiro a Emma, ela quebrou.
633760	636960	Em cima dela tinha uma tampa grande de pedra.
637160	640160	Ela quebrou essa tampa um pedaço e jogou o resto pro lado.
640360	640960	Tu saiu.
641160	642360	Tu tava numa espécie de...
642560	643560	Tu não tava enterrada no chão.
643760	646960	Era como se fosse um túmulo, aqueles mais altos assim, sabe?
647160	648560	Em volta dele de pedra.
648760	650760	E tinha uma tampa de pedra em ti que tu quebrou.
650760	653760	Que cada um dos teus lados tem mais uma tampa dessa.
653960	656960	Numa que tu identificou onde tava a tua amiga Leia.
657160	657960	Ela tá inteira ainda.
658160	663160	Tu vê que ela tem uma estrutura com um tipo de taça em cima pra depositar alguma coisa ali.
663360	667560	E tu vê a taça que tá sobre o túmulo do Tutu também voar longe.
667760	671160	Porque ele também conseguiu quebrar aquela estrutura de pedra e tirar dali.
671360	673160	Eu já saio correndo pro da Leia.
673360	674360	Empurro a pedra.
674560	675760	Tiro a pedra de cima.
675960	677360	Tiro a madeira.
677560	679560	Leia! Leia! Leia! Leia!
679760	680560	Leia, tu...
680560	683360	Tu olha pra cima e tu não reconhece a mulher que tá ali.
683560	687160	Assim como a Ema não reconhece a Leia ali.
687360	691160	O Tutu, quando saiu também, ele não reconheceu as duas mulheres que estavam ali.
691360	692360	Quem é você?
692560	695160	Quem é você? Levanta! Levanta! Sai daí! Sai daí!
695360	696560	Eu sou a Leia.
696760	700760	Eu... Na hora que eu saio, eu ajeito minha franja.
700960	702760	Olho pra elas duas e digo...
702960	706160	Tu sente que teu cabelo tá bem comprido. Tu não tem mais aquela franja.
706360	708160	Tá, então ajeito meu cabelo e digo...
708360	710360	Eu pensei que a moda emo já tinha passado.
710360	713760	Vocês duas olham pro lado e, como todos tiraram o ímpar,
713960	716360	vê uma outra mulher que vocês não conhecem quem é,
716560	718160	fazendo uma piadinha e mexendo no cabelo.
718360	719360	Quem é você?
719560	720360	Eu sou o Tutu.
720560	722560	Tutu? Não. Desculpa.
722760	726960	Eu devo estar ouvindo errado, porque Tutu, nosso amigo, é um homem.
727160	730360	E... Pode ser... Pode ser outra pessoa, né?
730560	735560	Isso... Isso... Eu já ajudei a Leia a sair do...
735760	737560	Que eu não sei quem é ela, né?
737760	740160	Menina, sai daí! Sai daí! Deixa eu te ajudar.
740560	742760	E aí já puxei ela pra sair do...
742960	745960	Agora eu já vou perguntar direto pro Guaxa. Eu sou uma menina?
746160	749560	Os três tiraram o ímpar são mulheres, mas bem diferentes do que vocês eram antes.
749760	751360	Tá certo. Não trocamos de sexo. Beleza.
751560	753160	Não. Quem tirasse o par seria um homem.
753360	753760	Ah...
753960	758360	Quando eu olho... Quando ela fala que era um homem e eu olho pro meu corpo,
758560	761560	eu começo a entrar em desespero. Tipo, começo a me tocar, sabe?
761760	763760	O que aconteceu comigo? O que aconteceu comigo?
763960	765360	Tutu? É você mesmo?
765560	766160	Tá parecendo o Tutu.
766360	767560	Sim! Quem é você?
767760	770160	Como quem sou eu? Sou eu, a Emma?
770360	772560	Você não parece a Emma que eu conheço.
772760	773360	Não mesmo.
773560	776760	Aí eu pego o cabelo pra tentar olhar a cor do cabelo e...
776960	778160	Eu vejo... É a mesma cor?
778360	779360	Não. É escuro e cacheado.
779560	782360	Puta que pariu! What the fuck?
782560	783360	Que que tá acontecendo?
783560	784960	É a Emma.
785160	787360	Que que tá acontecendo? Que que tá acontecendo, gente?
787560	790960	Eu não sei. Eu também tô diferente. Tento olhar pra baixo, assim, pro meu corpo.
791160	793160	Você... Você é a Leia?
793360	793760	Sim.
793960	794560	Você é a Leia?
794760	796760	É! Eu sou... Não dá pra ver que sou...
796960	800160	Cara, me fala quanto que eu tirei naquela prova.
800360	804360	De química no terceiro ano. Aquela. Aquela.
804560	806360	B- mas só porque eu te passei cola.
806560	809160	Caraca! Meu Deus, que que aconteceu com a gente?
809360	811560	Bruxaria. Só pode ser bruxaria.
811760	814360	Bom, a gente tá em Nova Orleans, faz sentido, né?
814560	818560	Não, gente, não. Não, não, não, não. Bruxaria. Bruxaria. Não existe.
818760	819960	Não existe isso, não. Tá?
820160	823160	Lógico que não. Eu tô brincando, mas... A gente tá sonhando. É isso.
823360	829160	É um sonho ruim. A gente tá bêbado, chapado, lá naquela fraternidade, naquela casa do...
829160	831760	Da galera que a gente conheceu e a gente tá sonhando.
831960	833360	Eu dou um tapa na cara da Leia.
833560	834360	Ai, ai!
834560	835360	Qual é, Ema?
835560	837160	Você não acordou. Não é sonho.
837360	841160	O tapa foi realmente muito forte e... Mas ela não acordou.
841360	843760	Precisa de toda essa violência também, Ema?
843960	845360	Desculpa. Tô nervosa.
845560	852760	Guaxa, depois de me acalmar um pouco, eu olho pro local pra ver se tem mais alguém ali e como é os arredores.
852960	854360	Tá. Joga dois dados.
856960	858160	Um e três.
858160	862560	O teu atributo é três. Tu precisaria tirar o atributo três ou mais, né?
862760	864160	Então tu conseguiu pelo menos um acerto.
864360	868560	A tua visão, ela tá melhor do que nunca... Melhor do que toda a tua vida.
868760	873960	Tu consegue, inclusive, olhar pra alguns lugares e é como se tu conseguisse aproximar a tua visão.
874160	875760	Tu consegue ver todos os detalhes ali.
875960	879560	Tu sabe que teve uma pessoa que saiu dali recentemente.
879760	881560	Tu vê um tipo de rastro no chão.
881760	884560	Ela parece ter saído fugida, assim, pelo tipo de passada dela.
884760	887360	Havia outras pessoas ali também.
887360	894960	E tu vê bastante resquício de sangue naquelas taças que estavam sobre os túmulos de vocês, em alguns pontos ali do lugar.
895160	897160	Eu começo a ficar nervoso de novo.
897360	900960	Gente, ou eu ganhei superpoderes, ou a gente tá morto e aqui é um inferno.
901160	901960	O que que houve?
902160	903360	Tem sangue no túmulo.
903560	904760	E por que que tem que ser um inferno?
904960	905960	Porque eu sou uma mulher.
909760	911960	Meu bem, isso seria o céu pra você.
912160	916960	É isso que eu ia falar. Eu não sei se eu concordo ou se eu discordo, porque afinal de contas...
917360	920760	Ouvinte só pra deixar claro, é o personagem, tá?
924160	925760	Sangue? Você falou sangue?
925960	926560	Sim.
926760	927760	Aonde que tem sangue?
927960	930360	Em cima do túmulo. E tem pegada saindo daqui.
930560	933160	Eu tô vendo um monte de coisa. Eu não sei o que tá acontecendo.
933360	934760	Calma. Calma.
934960	938960	Eu vou onde ele falou que tinha sangue e vou ver se é sangue mesmo.
939160	939560	Sim.
939760	942160	Eu não tenho nenhuma visão especial também, não?
942360	942760	Não.
942960	943960	Me ajuda aí, o mestre.
944160	944560	Não.
944760	946760	Ah, Léa, joga dois dados.
947360	950760	Seis e quatro.
950960	960560	Sendo quatro o atributo, tu te concentra ali, tu sente o cheiro do gás carbônico saindo dos carros numa estrada,
960760	966360	o cheiro de um pão quentinho sendo comido em algum lugar próximo ali, além de outras geleias,
966560	969760	alguns outros tipos de comida, o cheiro de alguns animais, o cheiro do pântano.
969960	975960	Tu sente cheiros diferentes e tem um cheiro meio forte de podre
975960	977560	te aproximando do lugar que vocês estão.
977760	983560	Primeira coisa, põe a mão no meu nariz e veja se ele tá gigantesco, se ele tem formato de nariz de cachorro, alguma coisa assim.
983760	986160	Não. É um nariz normal. Um nariz pequenininho, bonitinho.
986360	986760	É...
986960	992160	Gente, vocês lembram que o Tutu falou que ele tá enxergando super bem, como se tivesse superpoderes?
992360	992760	Aham.
992960	998360	Eu acho que isso aconteceu com o meu narizinho também e eu tô sentindo um cheiro horrível e tá se aproximando da gente.
998560	999760	Eu acho que é melhor a gente sair daqui.
1000160	1005360	Tá. Vamos. E aí eu saio na direção da trilha que o Tutu viu.
1005960	1010960	O lugar parece ser uma igrejinha abandonada, num pântano, ela tá meio afundada.
1011160	1017160	Embora tenha algumas árvores em volta, assim que tu começa a sair, teu braço sai pelo batente da porta,
1017360	1021560	um raio de sol toca a tua pele e tu sente uma dor como nunca sentiu na vida e tu recua.
1021760	1022960	Ei, para, para, para, para!
1023160	1030160	Gente, não sai não. Eu não sei o que que aconteceu, mas, cara, doeu muito, doeu muito botar o braço aqui fora.
1030360	1032760	Como assim? Eu vou e ponho o meu pé pra fora.
1032960	1034760	A maior dor que tu sentiu na tua vida.
1035960	1036960	Ai!
1037160	1038960	Tu sente queimar a tua pele, assim.
1039160	1040760	Desde quando o sol queima desse jeito?
1040960	1044160	É, eu ponho a língua nos meus dentes, assim, pra ver se tem canina.
1044360	1044760	Não tem.
1044960	1045360	Ufa.
1045560	1051360	Eu pego a Leia, puxo ela assim e dou uma lambida na bochecha dela.
1052560	1053360	Que que é isso?
1057160	1058160	Ei, mas não é hora.
1060160	1062160	Ok. Lambia tua amiga.
1063560	1065160	Você não vai me dar nenhum super poder.
