start	end	text
0	8400	Em um futuro muito distante, a mineração espacial é praticamente um monopólio, o
8400	12760	que não impede que pequenas naves tentem a sorte em áreas ainda não exploradas.
12980	16980	Áreas que não valem a pena para uma grande empresa, e muitas vezes nem para uma pequena
16980	21640	nave, mas que às vezes, muito raramente, podem apresentar surpresas.
21920	26240	Mas nunca nada tão grande quanto este grupo vai encontrar.
26600	27460	Episódio de hoje.
27460	31760	O primeiro contato com o Gabriel Pinheiro, aqui do RP Guaxa, com o Filipe Xavier, do
31760	36440	RP Guaxa e do Arquivos da Patrulha, com a Fernanda Cortez, do Estação 21, do Leia
36440	39280	Como Uma Garota e, por que não, aqui do RP Guaxa também.
39920	43240	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim-Zigambiadas.
43540	47020	Nele, cada jogador possui apenas um único atributo, que vai de dois a cinco.
47500	49680	Quanto maior o atributo, mais atlético é o personagem.
50060	51900	Quanto menor, mais inteligente e carismático.
52640	56420	Sempre que o jogador faz algo com uma chance de errar, joga dois dados, e precisa tirar
56420	57420	seu atributo ou menos.
57460	60280	Seu atributo é mais para ataques e ações físicas, e seu atributo ou mais para ações
60280	61400	intelectuais ou sociais.
62040	64740	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
65080	67020	Se a jogada for difícil, rola-se um dado a menos.
67360	72320	Eu sou Rafael Nascimento, e eu sou padrinho do RP Guaxa porque eu escolhi acreditar no
72320	73200	Guaxaverso.
73640	79640	Não deixe de me seguir nas redes sociais, tanto no Twitter quanto no Instagram.
80040	86180	Considere-se se tornar um apoiador desse projeto, lá pelo PicPay ou pelo Padrim, e saiba que
86180	87440	agora o RP Guaxa tem um novo projeto.
87460	92300	Tem canecas, tem uma arte incrível, para você que é um teórico do Guaxaverso, dá
92300	96320	uma olhada no post, e eu vou falar mais sobre isso no final do episódio.
96680	97320	Boa aventura.
113040	114800	Aí, vocês estão na caverna.
115240	115880	Rola os dados.
115880	118580	Bola de fogo!
119200	120380	Chamo...
120380	122320	Chamo o clérigo.
123440	124720	Como assim eu morri?
125860	127100	Rola iniciativa.
127760	130160	Então, não tem armadilha.
130440	131060	Podemos ir.
131800	132960	O que vocês fazem?
134340	135040	Tá, tá.
135260	138360	Eu amarro uma corda nelas e uso como arma.
138740	139620	Eu ataco.
139980	143860	O Magro lança seu Thunderbolt mais 15 no Beholder.
143860	145700	E eu quero rolar a percepção.
145880	147080	Eu volto.
147080	149000	Tem algum lugar para se esconder?
149240	152060	Ah, falha a crítica.
152260	153720	Ataque de Poleridade.
153720	156020	E aí, Romano, Chamo Clérigo?
158220	162380	RPG Realidades Paralelas do Guaxinguim.
162380	165240	Sua aventura de bolso na forma de Podcast.
165240	167720	Uma jornada completa a cada episódio.
167720	169520	E aí?
169520	170520	De nada?
170520	171520	Não.
171520	172520	De nada.
172520	173020	De nada.
173020	173220	De nada.
173220	173320	De nada.
173320	173420	De nada.
173420	173740	De nada.
173960	174200	De nada.
174200	174740	De nada.
174740	175040	De nada.
175040	175100	De nada.
175100	175320	De nada.
175320	175400	De nada.
175400	175720	De nada.
175720	175860	De nada.
175880	205860	A CRIAÇÃO
205900	209200	Num futuro distante, a exploração espacial é uma realidade,
209780	215620	e embora uma única empresa monopolize 99% de todo o minério extraído do espaço,
216400	220300	o 1% que sobra é explorado por pequenas naves independentes,
220500	223800	que sonham em achar o asteroide certo e ficarem ricos.
223960	228280	A astronauta Ada Rogato é a capitã de uma dessas naves.
228560	233920	A Unicórnio é uma nave do modelo Zenit 7500.
233940	238460	Ela está no espaço há 7 meses, e calcula ficar mais 5,
238640	240620	até o completamente de carga ficar cheio e ela retornar.
240760	243940	Essa nave possui 3 tripulantes, além da própria capitã.
244240	245160	Seus dois filhos?
245760	249280	Fernanda, fala sobre a sua personagem, aparência e atributos.
249340	251080	A minha personagem é a Lorena.
251320	256820	Ela é baixinha, mais ou menos em 50 ou em 60.
257540	259920	É meio gordinha, tem o cabelo castanho comprido,
261000	262640	usa óculos bem redondos, né?
262640	266080	Ela tem 31 anos e é médica.
266320	268240	Ela é bem perspicaz, sabe?
268700	272040	E quando ela não está cuidando de algum ferimento dos tripulantes, né?
272360	275860	Ela gosta de verificar os exames médicos da tripulação,
276220	281380	ou então se atualizar de qualquer tipo de novidade na área da medicina.
281760	286440	Ela não é muito de conversar, mas não perde uma oportunidade de ser irônica.
286680	288220	Ela é a irmã mais velha? Nova?
288800	289540	Ela é a mais nova.
289940	290640	Ela é a mais nova.
290800	291740	É a desaforada, sabe?
291740	292060	É a mais nova.
292060	292080	Ela é a mais nova.
292080	292140	Ela é a mais nova.
292140	292180	Ela é a mais nova.
292180	292200	Ela é a mais nova.
292200	292240	Ela é a mais nova.
292240	292260	Ela é a mais nova.
292260	292280	Ela é a mais nova.
292280	292300	Ela é a mais nova.
292300	292320	Ela é a mais nova.
292320	293720	E Felipe, o seu personagem?
294020	297700	Eu vou controlar o Carlos Rogato, irmão da Lorena.
297960	305120	Eu sou um geólogo de 35 anos, meio obeso, calvo, tenho barba curta, olhos castanhos.
305420	308700	Eu uso óculos quadrados, assim, é quadradão mesmo.
308900	312240	Eu sempre estou conferindo o funcionamento das máquinas de perfuração,
312460	314660	algumas amostras de mineral que eu coleto.
315020	316740	Porém, ele é muito bruto.
316980	321960	Talvez por ele tanto mexer com pedra, ele acabou construindo sua personalidade com base na rocha.
321960	332940	Ele só resolve as coisas na base da força e na base da ignorância, e ele tem, por causa disso, uma construção física mais forte, e ele tem um atributo 5.
332940	333940	Perfeito.
333940	338300	Além da mãe de seus dois filhos, existe um funcionário que foi contratado.
338300	341900	Gabriel Pinheiro, fala um pouco sobre o teu personagem, atributo, aparência.
341900	343660	Meu nome é Pavel Chekov.
343660	348340	Eu sou russo, como vocês podem perceber, e eu trabalho com engenharia.
348340	350500	Eu sou muito alto, eu tenho 1,80m.
350500	351760	O que é ruim, às vezes, numa nave, eu tenho 1,80m.
351760	356640	Na nave, eu passo a maior parte do tempo me abaixando, mas eu sou bem magrinho, o que também ajuda, nesse caso.
356640	359640	Eu tenho uma pele muito branca, o cabelo ruivo.
359640	367940	Em geral, eu gosto de resolver as coisas com a base da matemática, o que me deixa irritado com o Carlos, muitas vezes, quando ele quer mexer nos equipamentos que eu estou consertando.
367940	368940	O atributo dele?
368940	370940	O atributo dele é 3.
381760	397640	O que é ruim, às vezes, na nave, eu passo a maior parte do tempo me abaixando, mas eu sou bem magrinho, o que também ajuda, nesse caso.
397640	398640	Perfeito.
398640	404640	A nave, ela é bem grande, mas a maior parte do espaço é destinada a armazenar minério, né?
404640	409640	A parte útil, realmente, que vocês usam é compacto.
409640	411640	Ela possui a sala de controle.
411760	413760	Que é ligada a uma porta, a um salão principal.
413760	417760	Nesse salão, tem 4 espaços, assim, delimitados em cada um dos cantos da sala.
417760	422760	Num deles, tu tem uma esteira e uma bicicleta ergométrica pra exercício, né?
422760	430760	Pra que o corpo não perca muita... os ossos não fiquem muito fracos, pra quando vocês retornarem pra Terra não sentir tanto impacto da gravidade do planeta, né?
430760	435760	Tem uma área pra alimentação, onde tudo é mais ou menos pré-pronto e ultraprocessado.
435760	440760	Se havia alguma comida mais natural, ela terminou nos primeiros meses, ali.
440760	441760	Tem uma área de lavar.
441760	445760	Pra fazer com um sofá, uma televisão, muitos filmes, músicas e jogos antigos.
445760	449760	Além disso, ali também fica o acesso das portas pro quarto.
449760	451760	Que é um quarto só pros quatro.
451760	454760	Tem dois bilistres, um de cada lado da sala, né?
454760	458760	Cada bilistre desse tem suas gavetas, tem seu espaço pra guardar objetos pessoais.
458760	460760	Nunca os quatro dormem ao mesmo tempo, né?
460760	462760	Porque a nave precisa sempre ter alguém de olho.
462760	466760	O normal é um dormir por turno.
466760	468760	E ficar três sempre pela nave, ali.
468760	470760	Tem um banheiro, que também é um banheiro só pros quatro.
470760	473760	Tem uma sala de uma área médica, né?
473760	475760	Também serve, tem equipamentos pra pesquisa.
475760	478760	Embora seja pouco usada por vocês.
478760	480760	Vocês tem um pequeno laboratório, ali, também.
480760	483760	Tem uma porta que dá acesso à área onde fica o minério.
483760	486760	Embora ela quase nunca seja aberta, né? Por segurança.
486760	491760	Mas, se precisarem, tem acesso pra onde tá armazenado o minério da nave.
491760	494760	Tem a sala de máquinas, que normalmente deveria estar trancada.
494760	499760	Mas como são só vocês quatro, ela normalmente tá com a chave lá na porta, né?
499760	504760	É uma chave tecnológica e tal, de assinatura digital.
504760	508760	Mas a única cópia dela tá na própria porta.
508760	510760	O sistema de mineração é praticamente automático.
510760	512760	A nave pousa em um asteroide.
512760	515760	Começa a escavá-lo, coleta o minério.
515760	521760	Leva pra um compartimento onde o computador define se deve armazenar, pelo valor.
521760	525760	Se deve descartar, se for algo muito comum ou que não vale nada.
525760	528760	Ou se for um material que ela não sabe o que é, que o computador não identifica.
529760	533760	Ou fica na dúvida, ele pede auxílio pra tripulação.
533760	535760	Se deve descartar ou guardar.
535760	538760	Dias e noites é um conceito que vocês não possuem há muito tempo.
538760	541760	E como eu falei, um de vocês normalmente tá dormindo por turno.
541760	544760	Neste momento, eu posso afirmar que não é a capitã.
544760	546760	Qual de vocês três tá dormindo?
546760	553760	Eu. Eu tô dormindo porque eu acabei de fazer uma checagem dos minerais.
553760	555760	Ver se tá tudo certo.
555760	558760	E eu puxei primeiro só.
558760	560760	Tá. A Lorena tá fazendo o quê?
560760	564760	Numa parte onde... Acho que deve ter alguma área lá pra cuidar do...
564760	567760	Pra ver essas coisas de exame, essas coisas.
567760	569760	Ficar lá no meu cantinho, alguma coisa pra enfermaria.
569760	570760	Tem área médica, né?
570760	572760	Área médica. Então eu tô lá na área médica.
572760	576760	Provavelmente mexendo em alguns exames.
576760	578760	Vendo se tá tudo ok.
578760	580760	Ou lendo um pouco.
580760	581760	Tô quietinha lá no meu canto.
581760	582760	Chekov?
582760	584760	Eu estou jogando xadrez contra o computador.
584760	586760	Nossa. Perfeito.
586760	587760	Tem uma...
587760	589760	Um alto-falante em cada um dos setores.
589760	596760	Mas a Ada, ela aperta só pra falar com a área médica e com a área principal, né?
596760	598760	Na área de lazer onde tá o Chekov.
598760	601760	Pessoal, podem dar um pulo aqui na cabine?
601760	604760	Eu levanto e vou. Eu dou pausa no jogo pro computador não me roubar.
606760	608760	Vocês vão até a sala, né?
