start	end	text
0	29980	O que é Dodgeball?
30020	33100	Para arremessar, primeiro você precisa arrancá-la com uma bola de borracha.
33820	34580	Ou quase isso.
36160	38340	Episódio de hoje, Queimada.
39120	41380	A ascensão das lendárias cobras roxas.
42140	45520	Com meus grandes amigos Fencas, Debbie e André Trapani.
46400	50020	O Realidades Paralelos do Gostinim usa o sistema Gostinim de Cambiarras.
50980	55620	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
56100	59620	Quanto maior o atributo, mais atlético é o personagem.
60000	63440	Quanto menor, mais inteligente e carismático.
63900	68960	Sempre que o jogador faz alguma coisa com uma chance de errar, ele joga dois dados.
69340	74160	E precisa tirar seu atributo ou menos para ataques e ações físicas.
74460	78560	E seu atributo ou mais para ações intelectuais ou sociais.
79320	85220	Quando a jogada for fácil, ou tiver o auxílio de algum jogador, um dado a mais.
86040	89360	E se o jogador for difícil, rola-se um dado a menos.
89360	93220	Eu sou a Ana B. E sou a Marlinha do RP Guaxa.
93540	99960	Porque aqui, em todos os lugares, tem os lógicos e os bichinhos mais legais de todo o mundo.
100680	101180	É isso.
102800	104300	Não deixe de seguir nas redes sociais.
104400	105820	É uma salva a chininha, arroba a RP Guaxa.
105960	107200	Tanto no Twitter quanto no Instagram.
107480	110340	Considere também nos apoiar no PicPay ou no Padrim.
110500	111320	E boa aventura.
119360	122240	Sete realidades paralelas.
122720	125120	Uma infinidade de possibilidades.
125860	128520	Três jogadores e um guaxinim.
129500	134820	Já estão todos no campo e aguardando o apito para o início a mais uma aventura.
138240	139280	Cinco.
141200	142240	Quatro.
144100	145140	Três.
147140	147780	Dois.
149360	150360	Três.
152360	153000	RPG.
153580	155320	Realidades paralelas do guaxinim.
155680	158120	Sua aventura de bolso na forma de podcast.
158500	161020	Uma jornada completa a cada episódio.
175760	179000	Após um governo conturbado, os Estados Unidos do Brasil,
179360	182020	passou por uma série de proibições absurdas.
182440	183660	A maioria envolvendo lazer.
184180	188200	Proibiu estilos musicais, danças, exceto o sertanejo e o vaneirão.
188840	189920	Esportes e etc.
190360	196140	Do dia para a noite, os esportes mais populares dos estados brasilenses se tornaram crime.
196400	197820	Futebol, mesmo de botão.
198280	199180	Vôlei de quadra.
199560	200120	Basquete.
200120	205580	Na verdade, todos os esportes com cestas, no geral, por conta do seu cunho sexual.
206080	206880	É o que testa na lei.
207060	208900	Skate, surf, esqui na neve.
208900	211420	Embora não seja praticado em nenhum estado.
211980	213220	Boccia, entre outros.
