start	end	text
0	28300	E aí vocês estão na caverna, rola os dados, bola de fogo, chama o clérigo, assim eu morri, rola a iniciativa, então não tem armadilha, podemos ir, o que vocês fazem, tá, tá, eu amarro uma corda nelas e uso como arma
28300	45480	Eu ataco, o Magro lança seu Thunderbolt mais 15 no Upholder, tem algum lugar pra se esconder? Ah, falha a crítica, ataque de impunidade, aí arrumando, chama o clérigo
48240	57720	RPG, Realidades Paralelas do Guaxinim, sua aventura de bolso na forma de podcast, uma jornada completa a cada episódio
57720	58280	RPG, Realidades Paralelas do Guaxinim, sua aventura de bolso na forma de podcast, uma jornada completa a cada episódio
58280	78060	Olá, eu sou o André Trapani, eu sou o Guaxa da aventura de hoje e vamos apresentar aqui, conhecer os jogadores, Alain, fala aí, personagem, aparência, atributo
78060	88020	Oi, eu sou o Alain Penone, eu vou jogar como o Alain, ele é um rapaz baixinho, um pouquinho acima do peso, gosta bastante de literatura
88280	88560	Oi, eu sou o Alain Penone, eu vou jogar como o Alain, ele é um rapaz baixinho, um pouquinho acima do peso, gosta bastante de literatura
88560	93340	É, não precisa supor muito, minha vida, o atributo é o 3
93340	95480	Então, nosso próximo jogador é...
95480	107620	Olá, eu sou o Felipe Xavier, eu sou um universitário em formação da área de programação, eu sou um mineiro gripado neste momento, isso diminui aqui uma dificuldade na hora de falar
107620	113240	As minhas capacidades envolvem fazer bagunça com crianças, o meu atributo é 3
113240	114940	E também estamos aqui com...
114940	117340	Bom, pessoal, eu sou o Léo Souza, sou...
118280	126340	Mineiro também, sou físico, de meia idade, com uma pequena saliência na barriga devido à ingestão de um pouco de álcool
126340	136300	Não tenho tanta habilidade de coisas físicas, física no sentido de exercício físico, então o meu atributo eu vou colocar ele como sendo 3
136300	140820	E como toda ripaguacha tem que ter uma participação feminina, a gente está aqui com a...
140820	146940	Olá, eu sou a Mônica, estou jogando com a Mônica, professora do ensino superior
146940	152620	Tenho uma estatura média, assim, com cabelinho meio médio, tudo muito médio, né?
152980	161340	E faço de tudo um pouco, nada excepcionalmente bem, mas razoavelmente, totalmente multitarefa e excesso de energia também
161340	162880	E o atributo é 3
162880	164740	Achei que ia ser 3,5 que é o médio
164740	168600	E pra fechar, o nosso NPC de luxo
168600	175380	Olá, eu sou o Marcelo Guaxinim, sou o verdadeiro guaxa de hoje, eu sou um guaxinim gigante que tem um USB no lugar do umbigo
175380	176920	Que eu uso pra gerar energia, que eu uso pra gerar energia, que eu uso pra gerar energia, que eu uso pra gerar energia, que eu uso pra gerar energia
176940	182220	Pra carregar meu celular e meu atributo, já que eu sou um NPC, é 1
182220	185460	Olha só
185460	191460	Pessoal deve estar achando... Pessoal, é, isso aqui saindo no feed do RPG, eu acho que o pessoal vai ficar doido, né?
191740	193800	Então, alguém tomou o RPG, eu acho
193800	194920	Muito bom, muito bom
194920	199940	Você está ouvindo o SciCast, porque a ciência tem que ser divertida
204340	205640	Fala pessoal, beleza?
206080	206280	Fala pessoal, beleza?
206280	206920	Aqui é Túlio Toninho
206940	210200	Aqui é o companheiro, o advogado e grozeleiro aqui do Deviante
210200	213240	E eu queria contar pra vocês uma novidade bem legal
213240	218740	Pessoal, é o seguinte, nós conseguimos espaço lá na Campus Party desse ano
218740	220960	Então a gente vai estar lá presente
220960	223520	Eu, a Jujube e mais uma galera bem legal
223520	227980	A gente vai apresentar ali alguns trabalhos, quem sabe algumas palestras
227980	231280	E por conta disso a gente está convidando vocês a participar também
231280	234520	Nós recebemos aqui da Campus um cupom de desconto
234520	236080	Que é o hashtag
236080	237100	SciCast
237100	241940	Que você dá ali no momento que você for finalizar a sua compra do seu ingresso
241940	243760	E ganha 100 reais de desconto
243760	249020	Então, galera, quem puder ajudar a gente e participar comprando aí com o nosso cupom
249020	254220	A gente dá esse descontinho e também vocês ajudam a gente a ter acesso a mais algumas coisinhas aí
254220	259220	Que a Campus oferece pra gente, pra gente conseguir participar mais e prover mais pro evento
259220	262780	Pra poder fazer muito mais agora aí pra vocês, tá bom?
262900	264680	Valeu pessoal, muito obrigado
264680	265200	Um abraço, a gente se vê na Campus
265200	265220	Um abraço, a gente se vê na Campus
265220	266480	Um abraço, a gente se vê na Campus, hein?
266600	267420	Quero ver a gente lá
267420	267940	Tchau, tchau
267940	276540	Oi pessoal, aqui é o Tarek
276540	279680	A Jujube não aguentou o frio, então eu vim aqui passar um recadinho rápido
279680	281620	E também não é como se eu tivesse aguentado super
281620	283360	Olha o estado do que tá a minha voz
283360	283960	Mas vamos lá
283960	287020	Com o fim das várias plataformas de financiamento
287020	289120	Nós acabamos ficando só com o Patreon
289120	292080	E a novidade é que agora nós temos um Apoia-se
292080	295080	É muito importante que quem nos apoiava via Patreon
295220	297800	O PicPay migre para o Patreon
297800	299900	Ou para o Apoia-se agora
299900	303140	E também tem a opção de nos mandar recorrentemente pelo Pix
303140	305740	Mas como isso ainda não é institucionalizado
305740	307520	Via Banco Central e tudo mais
307520	309900	Então se vocês quiserem de outras formas
309900	311800	Nós temos agora o Apoia-se
311800	312880	Então você pode entrar em
312880	314600	Apoia.se
314600	315720	Barra Sycash
315720	317340	Apoia.se
317340	318280	Barra Sycash
318280	321020	Ou pesquisar por Sycash lá no site do Apoia-se
321020	324760	Ou também todos os links com as formas de apoio
324760	326400	Estarão na postagem desse episódio
326400	328720	Com as informações todas que vocês precisarem, ok?
328940	330640	Então se você era nosso patrono
330640	331820	Nas outras plataformas
331820	333040	Por favor migre
333040	334680	Nós tivemos uma queda importante
334680	336060	Com esses encerramentos aí
336060	338260	Meio bruscos aí dessas plataformas
338260	340980	Então é muito importante que vocês façam essa migração
340980	343260	E se você não era nosso patrono
343260	344580	Esse é o momento
344580	346140	Claro, caso você possa
346140	347860	Por favor seja nosso patrono
347860	349800	E aí a gente tem uns benefíciozinhos ali
349800	352180	Mas o mais importante é que você nos ajuda
352180	354500	A continuar divulgando ciência aqui pelo Sycash
354760	356320	Beleza? Então é isso, valeu gente
356320	358080	Fiquem com o episódio, até semana que vem
358080	373060	Bom pessoal, essa brincadeira aqui
373060	374860	Esse é pra ser um episódio
374860	376540	Um spin-off
376540	378400	Do RP Guaxa
378400	379520	Com o Sycast
379520	382220	O podcast original do Guaxa
382220	384560	Quem soube de RP Guaxa
384760	386180	Veneram, né? Vamos falar a verdade
386180	390580	Não, veneram é muito pesado, né?
391840	393320	É verdade, cara
393320	394000	É verdade
394000	396220	E pra pessoal do Sycast
396220	399420	Esse episódio tá saindo nos dois feeds
399420	401000	Quem não conhece ainda
401000	402040	Quem tá perdendo
402040	404140	Resolvam esse problema aí
404140	405740	E conheçam o RP Guaxa
405740	407580	Que a gente vai falar um pouco dele
407580	410800	Porque hoje a gente vai falar de RPG na educação
410800	412060	E quando eu falo educação
412060	414480	Não é só a educação formal
414760	415920	Da escola, né?
416060	418600	De usar na escola, na universidade, onde quer que seja
418600	421520	Mas a educação num sentido amplo
421520	423520	A educação de crianças
423520	426260	A educação pra preceitos morais
426260	427420	A educação no geral
427420	429940	Não quero queimar muito pauta
429940	432260	E RP Guaxa tá fazendo quanto, Guaxa?
432340	432840	11 anos?
433040	434920	Não, não sei, deixa eu ver
434920	436580	É 6 anos?
436660	439120	6 anos, eu chutei longe
439120	441500	2018, 2018 é 6
441500	442900	6 anos
442900	444680	É que eu lembrava que era depois de um número
444680	444740	Bicê, né?
444760	445300	Meio redondo
445300	449020	Eu explico o que é o RP Guaxa
449020	449760	Antes da gente
449760	451460	Explica o que é o RP Guaxa pra gente
451460	453040	Pra quem nunca ouviu, né?
453640	454700	Fico muito triste
454700	458720	Eu sei que, sei lá, dois terços do pessoal do Psycast não escuta
458720	461600	Porque o maior podcast do Portal da Aviante
461600	462300	É o Psycast
