start	end	text
0	8340	Nada pode ser mais bonito que o universo.
8840	12440	O homem nunca seria capaz de reproduzir a beleza da natureza,
12840	17860	a grandeza do infinito, as cores, o nascer do sol, os astros.
18120	20800	Mas o artista, em sintonia com o universo,
21380	24860	pode, através de sua arte, produzir obras que encantam,
25240	28680	comovem, despertam emoções e sentimento.
28680	31580	A arte não é para pessoas normais.
32080	34980	É para pessoas que conseguiram uma sintonia além.
35460	38380	Embora algumas poucas vão longe demais.
38840	42900	Então não é estranho construir um lugar para prender aqueles
42900	46200	que foram longe demais com sua arte.
46600	49200	Que se tornaram um perigo para todos.
49500	51800	Episódio de hoje, Sanatório Hollywood.
52380	54340	Com o Debi Cabral lá do Portal Deviante.
54880	56640	Com a estagiária Marra.
56640	58640	Com a Jujuba lá do meu outro projeto.
58680	61740	E Miss Sangas, como a repórter Lina.
62140	65880	E Lucas Dresler, lá do QuestCast, interpretando Clark.
66200	70960	Links na descrição, maiores informações no escudo do mestre ao final deste episódio.
71500	74660	Este episódio não é recomendado para menores de 18 anos.
75080	79460	NPCs e jogadores talvez tenham ido um pouco além.
79960	84920	O Realidades Paralelas do Guaxinim usa uma adaptação do sistema Lasers e Sentimentos.
84920	88660	Basicamente, cada jogador escolhe um atributo de 2 a 5.
88680	95680	Sempre que precisar realizar uma ação física, como correr, pular ou lutar, não importando o tipo de arma.
95680	97680	Precisa tirar seu atributo ou menos.
97680	101680	Rola um dado de 6 lados e tem que tirar menos que o seu atributo.
101680	105680	A Lina, o personagem da Jujuba, possui atributo 2.
105680	109680	Logo, se ela for atacar alguém, ela precisa tirar 1 ou 2 para acertar.
109680	112680	O mesmo se ela for correr, pular.
112680	116680	Já para ações que não são ações físicas, nem ataques.
116680	117980	Ela precisa tirar 2 a 5.
117980	120980	Ela precisa tirar 2, 3, 4, 5 ou 6.
120980	124980	Para ouvir, para tentar ligar um aparelho eletrônico.
124980	125980	Então é mais fácil.
125980	128980	Ela é mais inteligente e menos atlética.
128980	130980	Não esqueça de nos seguir nas redes sociais.
134980	135980	Isso ajuda a gente muito.
135980	136980	E falando em ajudar.
136980	138980	Esse projeto tem PicPay, tem Padrim.
138980	140980	Você pode fazer parte dele.
140980	142980	Gravar suas vozes para cá.
142980	145980	Mais informações também no Escudo do Mestre.
145980	146980	Ótima aventura.
147980	157980	位.
157980	159980	E isso é tudo.
159980	164980	Um 20 anos antes do Universo.
164980	167980	Então,ertenão.
167980	169980	Eu ongoing arrived,
169980	171980	Os seus tours não começaram.
171980	174980	Isso que eu não sei.
174980	176980	Você entrou aí domingo.
176980	187260	Aí vocês estão na taverna
187260	188320	Rola os dados
188320	191400	Bola de fogo
191400	194760	Chama o clérigo
194760	197200	Como assim eu morri?
198320	199560	Rola a iniciativa
199560	202580	Então, não tem armadilha
202580	203520	Podemos ir
203520	205400	O que vocês fazem?
205400	207460	Tá, tá
207460	209580	Eu amarro uma corda nelas
209580	210800	E uso como arma
210800	212040	Eu ataco
212040	214560	O Magro lança seu Thunderbolt
214560	216400	Mais 15 no Ubi Holder
216400	218120	Eu quero rolar a perseguição
218120	221120	Tem algum lugar pra se esconder?
221760	224060	Ah, falha a crítica
224060	225520	Ataque de impunidade
225520	227980	Chama o clérigo
227980	231340	RPG
231340	234320	Realidades paralelas do Guaxinim
234320	235260	Sua aventura
235260	237260	De bolso na forma de podcast
237260	240220	Uma jornada completa a cada episódio
240220	248620	Mike Morris
248620	250320	Era um grande diretor de Hollywood
250320	252100	Que após vários filmes de sucesso
252100	253480	Na área do drama e do terror
253480	256080	Se isolou e ficou dois anos desaparecido
256080	257320	Quando voltou a público
257320	259580	Estava acompanhado de um homem gigantesco
259580	260440	Chamado Kane
260440	262720	Mike anunciou aos quatro ventos
262720	264980	Que havia encontrado o verdadeiro horror
264980	266200	Em suas andanças
266200	269220	E que Kane o ajudaria a fazer o filme de sua vida
269220	270280	Sua grande obra
270280	272660	A indústria do cinema ficou empolvorosa
272660	274960	E muitos colocaram dinheiro no projeto
274960	277280	Os melhores atores foram contratados
277280	278860	Uma ilha foi comprada
278860	280800	Só pra ser usada como cenário do filme
280800	282640	Ninguém falava em outra coisa
282640	285240	Após uma semana das gravações iniciadas
285240	287200	Uma equipe da polícia foi até a ilha
287200	289080	Pois os parentes e empresários
289080	290520	Desenvolvidos nas filmagens
290520	291740	Estavam preocupados
291740	294260	Pois ninguém lá havia feito contato
294260	294860	Nos últimos dias
294980	296380	Quando lá chegaram
296380	298740	Mike e Kane estavam assistindo ao filme
298740	300980	Na tela, Kane caçava e matava
300980	303380	Um a um da equipe de produção do filme
303380	304720	Espalhados pela ilha
304720	307400	Os corpos de todos os envolvidos nas filmagens
307400	309400	Os dois foram presos por algumas semanas
309400	311420	Depois foram enviados a um sanatório
311420	312980	Meses depois, nova polêmica
313720	315740	Mike, através de seus advogados
315740	316960	Usou de sua fortuna
316960	319440	Para comprar o antigo sanatório de Santa Clara
319440	322460	E reformá-lo para ser um sanatório de artistas
322460	323780	Um local para pacientes
323780	324960	Que já tenham trabalhado
324980	325920	Com a sétima arte
325920	327420	E algumas outras artes também
327420	329140	Quase uma casa de repouso
329140	330640	Muitos foram contra
330640	333100	Que o próprio Mike fosse transferido para lá
333100	334680	Mas após provar que o local
334680	336500	Era 100% seguro e isento
336500	339060	O sanatório Hollywood foi aprovado
339060	341760	E vários artistas internados pelo país
341760	343140	Foram transferidos para lá
343140	345780	Incluindo a dupla Mike e Kane
345780	347640	Rumores de que algumas mãos
347640	349640	Foram molhadas no processo de autorização
349640	351000	Tanto da reforma
351000	352860	Quanto da transferência de Mike e Kane
352860	354300	Mas não passou de rumores
354300	356280	O caso é que vocês
356280	358060	São uma equipe de jornalistas
358060	359820	Que nunca fizeram nada grande
359820	361940	E agora tiveram a oportunidade
361940	364080	De conversar com esta mente
364080	365720	Perturbada e brilhante
365720	368080	Deste diretor chamado Mike Morris
368080	370440	É a oportunidade da vida de vocês
370440	372760	Vocês têm autorização para ir até o sanatório
372760	374440	Conversar com o médico dele
374440	375540	Conversar com ele
375540	377440	E sair de lá com a história de suas vidas
377440	380880	Jujuba, qual é o nome do teu personagem, aparência e atributo?
381300	383300	Ah, eu sou a Lina Miles
383300	384140	Eu sou
384140	386360	Jornalista, apresentadora também
386360	388100	Eu sou a cara linda
388100	390720	Que vai aparecer nessa entrevista maravilhosa
390720	392660	A Lina tem o cabelo
392660	393920	Preto, curtinho
393920	395160	Ela é um pouquinho alta
395160	396600	Deixa eu ser o que eu não sou, né
396600	400140	Ela é um pouco alta, tenta ser elegante
400140	401960	Brincos gigantes
401960	404880	Para contrastar com o cabelo curto
404880	405960	E
405960	407340	Um pouquinho arrogante
407340	409560	Se acha um pouco, viaja na maionese
409560	411020	E o meu atributo é 3
411020	412920	Certo, o Dresler?
413060	413940	O meu personagem
414140	415360	Se chama Clark Freel
415360	417160	Eu sou um cameraman
417160	420340	Ali na casa dos 40, 45 anos já
420340	421080	Alto
421080	423400	Um porte físico médio
423400	425020	Sabe, nem muito magro
425020	425860	Nem muito gordo ali
425860	428320	E barba meio rala
428320	430460	E o cabelo originalmente é preto
430460	432300	Mas ele tá começando a ficar branco já
432300	433720	Ele não tem muita paciência
433720	434980	Para as coisas
434980	437400	E principalmente ele prefere as câmeras antigas
437400	438960	E...
438960	439740	O meu atributo é 4
439740	440640	Perfeito
440640	441460	A Debbie?
441960	443580	Ela é Mahayara
443580	444060	É...
444140	445560	Mais conhecida como Marra
445560	447560	Ela tem 19 anos
447560	449080	É uma estagiária
449080	452680	Tá ali no finalzinho do curso de jornalismo
452680	454820	Empolgadíssima com a vida de jornalista
454820	456580	Achando tudo muito maravilhoso
456580	458800	Além de tudo ela é fã de filmes de terror
458800	461960	Então ela tá super empolgada com tudo que tá acontecendo
461960	463300	Ela é bem baixinha
463300	464420	Bem magrelinha
464420	466680	Usa uns óculos bem grandes
466680	468300	Muito maior do que a cara dela
468300	471040	E o cabelo ruivo
471040	473040	Bem espetadinho assim
473040	474100	Também curtinho
474140	474900	Meio espetadinho
474900	475200	Ok
475200	477520	Eu esqueci de falar quantos anos a Alina tem
477520	480040	Eu diria que ela tá mais ou menos com uns 39
480040	481660	Mas ela não assume isso
481660	485140	Qual o atributo da Marra?
485380	486280	Assim, 2
486280	487060	Perfeito
487060	488520	Boa, precisamos de uma mente
488520	502560	O sanatório foi construído
502560	503960	Ou na verdade reformado
503960	505460	Em cima de um sanatório bem antigo
505460	507460	Grande parte da estrutura foi mantido
507460	509720	Como vocês estão vendo agora no saguão principal
509720	512300	Os móveis tem aquela cara de móveis antigos
512300	513420	De uma madeira boa
513420	516020	A única coisa que chama a atenção de vocês
516020	516980	De mais moderno
516980	519180	São câmeras de segurança por todos os lados
519180	519900	E alguma
519900	523460	Alto-falantes em todas as áreas ali
523460	524760	Mas os móveis são antigos
524760	527000	E um computador, mas ainda com aquela
527000	529040	Com monitor de tubo
529040	531640	Mais antigo, atrás de um balcão
531640	532860	O lugar está vazio
532860	533960	São 6 horas da tarde
533960	536160	Não é mais horário de visitas
536160	538460	Vários dos médicos residentes já foram embora
538460	540920	Fica só o pessoal ali que cuida do período
540920	541800	Da noite
541800	544840	A atendente tá sentada no computador
544840	546400	Digitando freneticamente
546400	548360	E vocês estão ali naquele saguão principal
548360	551120	Lina, você sabe qual
551120	552840	Qual a estrutura da sala aqui
552840	554360	Pra eu preparar o equipamento já?
554920	556800	Não, eu não sei de nada, meu bem
556800	558340	Eu sou a estrela desse show
558340	559980	A Marra tem que resolver
559980	562720	Marra, Flor, vai ver com a mocinha
562720	563600	Onde a gente vai ficar
563960	565500	Claro, claro
565500	567540	Oi, oi, dá licença
567540	569560	Oi, moça, tá me ouvindo?
570000	572620	É uma moça, ela tá com uma roupa toda branca
572620	573640	Ela tem o cabelo loiro
573640	575320	Embora seja bem fino
575320	577660	E tem algumas falhas no cabelo dela
577660	580560	E ela olha pra ti assim, ela tá com algumas olheiras
580560	581840	Pois não
581840	584920	Somos a equipe do jornal The Daily Who Cares
584920	586800	E a gente tá aqui pra poder fazer
586800	588300	Uma entrevista aí com
588300	590680	Ai meu Deus, Mike Morris
590680	592360	E então
592360	593940	Onde é que vai ser, você sabe dizer pra gente?
593960	596680	Ela continua digitando no computador ali
596680	597800	Só um momento
597800	600500	Eu tô tipo dando tchau pras câmeras
600500	602500	Sabe, como se alguém tivesse
602500	605460	Joga um dado, Deb
605460	607340	Três
607340	608940	Três do atributo é dois
608940	611380	Tu nota que ela, com a língua
611380	614840	Ela puxou alguns fios do cabelo dela
614840	616540	E ela tá comendo esse cabelo
616540	617320	Ela tá mastigando
617320	620520	Você sabe que isso não é bom pra você, né?
620780	622560	Leva o cabelo pro estômago
622560	623920	E aí faz um bolo
623920	625160	Menina, é um problema
625160	627240	Tu nota que ela realmente tem muitas falhas
627240	629980	No cabelo dela, na cabeça dela
629980	631180	Ela levanta
631180	632980	Me acompanhem, por favor
632980	634560	Gente, aqui, ó, por aqui
634560	635520	Ótimo
635520	638340	Ela tem no pescoço dela algumas chaves
638340	640240	Ela abre uma porta grande
640240	644400	Ela chega até uma outra porta grande
644400	646180	O doutor é responsável
646180	648040	Por todo o sanatório Hollywood
648040	650460	Ele vai conversar com vocês
650460	652600	E depois fazer os encaminhamentos
652600	653220	Uhum
653220	653900	Obrigada, Debora
653920	654540	Queridinha
654540	655800	Obrigada
655800	658400	A Jujuba e o Dresler jogam um dado também
658400	659940	Um
659940	661560	Um
661560	664040	Tá, então os dois tiraram um
664040	664760	Os dois falharam
664760	665420	Maravilhoso
665420	666840	Claro que a gente ia falhar, né?
667720	669080	Ela abre a porta
669080	672120	Vocês entram ali na sala
672120	673980	É uma sala grande, assim
673980	675360	Com uma mesa antiga
675360	677020	Aquela mesa grande de madeira
677020	678160	Com quadrada ali
678160	679600	Ele tá lá sentado
679600	681600	Tem quadros pelas paredes
681600	683020	Nas mesinhas
683020	683600	Tem os diplomas
683920	684840	Tem os diplomas dele na parede
684840	686000	Lembra muito
686000	687320	Até pelo porte dele
687320	689720	Um descendente alemão
689720	690500	Muito grande
690500	691620	Cabeça raspada
691620	692260	Olho claro
692260	693760	Ele tá lá com a roupa dele
693760	694760	Com o jaleco, né?
694820	695660	Ele pede pra vocês
695660	696460	Por favor
696460	697700	Sentem
697700	698860	Só que na mesa dele
698860	700200	Tem duas cadeiras só
700200	702560	É, eu fico em pé, obviamente
702560	703420	Porque, né?
703660	704140	Estagiária
704140	705060	Obviamente
705060	707100	Eu vou na frente de vocês dois
707100	708340	E já sento, né?
708420	709260	Onde eu acho que a luz
709260	710820	Me favorece mais
710820	712160	Mesmo que seja às seis da tarde
712160	713140	Pode ir
713140	713820	Pode sentar lá
713820	716320	O Marra, né?
716360	716800	Que é o seu nome
716800	717540	Pode sentar lá
717540	718200	Não tem problema, não
718200	718840	Tá bom
718840	721880	Eu dou uma olhadinha
