start	end	text
0	9720	O podcast a seguir é recomendado para maiores de 12 anos.
13260	15660	Episódio de hoje, seguro de vida.
16300	21600	Com os padrinhos, Felipe Xavier, que também faz parte do Arquivos da Patrulha.
22040	27000	Com a Dani, que além de madrinha, ela está organizando lá, entre as madrinhas,
27000	32480	o Jogue Como Uma Garota, para incentivar as meninas a mestrar e jogar nesse mês de dezembro.
32680	35220	Se você não é madrinha ainda, vem conhecer a taberna.
35780	39240	E com a Luana, que também faz parte do Gerência Sem Experiência,
39460	41680	e tem uma lojinha bem bacana chamada Jeitinho Geek.
42100	46400	Mas eu falo de tudo isso no Escudo Mestre, ao final do episódio.
46980	49020	Esse episódio tem o apoio do Promobit.
49360	53080	Promobit é um site e um aplicativo que reúne ofertas na internet.
53080	56080	E agora, durante a Black Friday, ele está com um volume gigantesco.
57000	61140	Veja bem, não é só um repositor de ofertas.
61340	64860	É um lugar onde as pessoas colocam as ofertas, outras pessoas avaliam.
65140	69860	O Promobit dá a segurança de que são sites e ofertas legítimas.
70020	75820	Então não tem o perigo de você comprar um notebook e receber uma espiga de milho, por exemplo.
76060	79740	Você tem toda a segurança e a certeza de estar pagando menos,
79740	81960	graças ao Promobit.
81980	86740	www.promobit.com.br
87000	91320	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras.
91520	96100	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
96460	99500	Quanto maior o atributo, mais atlético é o personagem.
99960	102720	Quanto menor, mais inteligente e carismático.
103140	107200	Sempre que o jogador faz algo com a chance de errar, joga dois dados.
107460	111180	E precisa tirar o seu atributo ou menos para ataques e ações físicas.
111180	115000	E seu atributo ou mais para ações intelectuais ou sociais.
115480	116700	Se a jogada for fácil.
117000	119660	Ou tiver algum auxílio, joga um dado a mais.
119860	122460	Se a jogada for difícil, rola-se um dado a menos.
122880	129220	Eu sou o Alan Bettelli e sou padrinho do RPGuacha, porque acho que bons projetos merecem ser apoiados.
129680	131380	Não deixe de seguir nas redes sociais,
131500	134120	arroba Marcelo Guaxinim e arroba RPGuacha,
134320	136000	tanto no Twitter quanto no Instagram.
136300	138780	Considere também nos apoiar no PicPay ou no Padrim.
138780	139780	E boa aventura.
147000	149000	Bola de fogo!
149000	150000	Chamo...
150000	153000	Chamo o clérigo.
153000	155000	Como assim eu morri?
155000	156000	Hahahaha.
156000	157000	Hora iniciativa.
157000	158000	Então.
158000	159000	Não tem armadilha.
159000	160000	Podemos ir.
160000	161000	O que vocês fazem?
161000	162000	Tá, tá.
162000	163000	Eu amarro uma corda nelas e uso como arma.
163000	164000	Eu ataco.
164000	165000	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
165000	166000	Eu quero rolar a persepição.
166000	167000	Posso?
167000	168000	Pode.
168000	169000	Pode.
169000	170000	Pode.
170000	171000	Pode.
171000	172000	Pode.
172000	173000	Pode.
173000	174000	Pode.
174000	175000	Pode.
175000	176000	Pode.
176000	177000	Pode.
177000	178000	Pode.
178000	179000	Pode.
179000	180000	Posso?
180000	181000	Pode.
181000	182000	Posso.
182000	183000	Posso?
183000	184000	Posso?
184000	185000	Posso?
185000	186000	Posso?
186000	187000	Posso?
187000	188000	Posso?
188000	189000	Posso?
189000	190000	Posso!
190000	191000	Posso?
191000	192000	Posso?
192000	193000	Posso?
193000	194000	Posso?
194000	195000	Posso?
195000	196000	Posso?
196000	197000	Posso?
197000	198000	Posso?
198000	199000	Posso?
199000	200000	Posso?
200000	201000	Posso?
201000	202000	Posso?
202000	203000	Posso?
204000	205000	Posso?
205000	206000	Posso?
206000	219520	A Cerberus Seguros é a maior empresa de seguros da Europa e uma das maiores do mundo.
219580	228860	A empresa que surgiu há 22 anos atrás, mais ou menos, cresceu seu capital sabendo que apólices mereciam ser assinadas e quais não.
229260	235560	Embora venda apólices para uma infinidade de pessoas, seus maiores lucros envolvem seguros de vida para atores e atletas.
236000	242720	Dizem que quando a empresa não topa segurar a vida de uma pessoa dessas, é porque aquela pessoa está condenada.
243000	251520	O presidente da Cerberus alega ter um supercomputador capaz de calcular infinitas variáveis e nunca errar nesse quesito.
251960	252860	Por sinal, ele nunca errou.
253420	259880	Algumas pessoas falam em magia, outras em crianças com poderes paranormais ou mesmo pactos malignos.
259880	265880	Mas ninguém fala isso muito alto, porque a Cerberus tem advogados quase tão bons quanto os seus anteriores.
266000	272400	Antes de continuar, temos três pessoas que trabalham nesta incrível empresa, cada um em uma parte do mundo.
272800	276800	Então, antes de juntá-los e descobrir como eles se conheceram, que problemas eles vão ter que enfrentar,
277520	281760	eu queria que a Luana falasse sobre personagens dela, aparência, atributo e que lugar do mundo ela está.
281960	285320	Eu vou jogar hoje com Olivia Smoke, mas todo mundo me chama de Liv.
285320	291080	O atributo dela é 2. Ela está em Washington.
292040	295760	Ela tem 1,98m de altura, também conhecido como um fincas de altura.
296000	304960	Ela é negra, cabelos pretos ondulados até a cintura, extremamente magra, olhos cinza claríssimo, quase branco.
304960	308480	Ela tem 30 anos, mas aparenta ter 22.
308480	316720	Entrou para a empresa de seguros aos 17 anos, no seu primeiro ano de faculdade, pois ela estava de bobeira.
316720	324960	Daí ela foi hackear a empresa por diversão, por erro da amiga dela, que acabou não apertando na hora que ela pediu.
324960	339360	Eles localizaram o erro, ela foi meio que, entre aspas, detida, mas aí na verdade eles só foram recrutá-la para participar da equipe, porque foi muito bom o trabalho dela.
339360	344540	E hoje ela é diretora da segurança de software.
345220	352360	Ela está ansiosa para conhecer a sede e no seu tempo livre ela gosta de jogar e testar firewalls,
354960	356720	o que é uma palavra muito pesada, né?
356720	359920	Dani, fala sobre o teu personagem, aparência, atributos, que lugar do mundo ele está?
359920	368260	Eu vou fazer a Julia Carvalho, ela vai ser uma... ela é espanhola, ela está em Nandonsa.
368260	374800	Ela tem 29 anos, ela trabalha na área de contabilidade.
374800	381260	Ela entrou na empresa como estagiária, no segundo ano de faculdade.
381260	384360	Ela é branca, mais ou menos 1,60m de altura.
384360	384860	Ela é branca, mais ou menos 1,60m de altura. Ela é branca, mais ou menos 1,60m de altura.
384860	392260	Cabelos longos, loiros e o atributo dela é 3.
392260	395960	Felipe, fala sobre o teu personagem, aparência, atributo, em que lugar do mundo ele está?
395960	401460	Muito bem, então, dessa vez eu vou controlar o Yuri Pavlovna, de atributo 5.
401460	404260	Ele tem 1,65m de altura.
404260	409860	Ele nasceu na Rússia, mas ele é filho de pais iranianos.
409860	412260	Ele tem cabelos e olhos pretos.
412260	414260	Apesar dessa estatura...
414260	418860	Não baixinha, digamos assim, para a média europeia.
418860	422160	Ele tem boa capacidade física e muita agilidade.
422160	425360	Ele fez faculdade de educação física.
425360	430760	E esses conhecimentos que ele tem de fisiologia, de funcionamento do corpo humano,
430760	434460	acabaram sendo úteis para o setor de seguro.
434460	440360	E ele trabalha lá, inclusive, atendendo os atletas de alta performance.
440360	444060	Então, desde atleta olímpico até mesmo jogador de futebol.
444260	447160	E ele atua nessa área dentro da Empresa de Seguro,
447160	448660	que é do conhecimento dele.
448760	451060	Vou periodizar...
451060	453160	Qualquer passo seja um passo.
453160	457060	Aconteçam muitas palestras originalmente vistas noсте dos atletas.
457060	459880	E também atendemos desses atletas em verdade,
460060	462060	sendo sujeitos ao 들어가 do concurso do GePO.
462060	464460	Então, os três que faziam parte, cada um na filial,
464460	466560	foram chamados para ir até a matriz.
466760	468020	Não só a matriz,
468020	469260	tem o prédio que é a matriz,
469260	471260	em que todas as coisas acontecem lá.
471260	473400	E essa matriz tem um último andar,
473400	475400	Que é só para os funcionários
475400	478160	A alta cúpula da direção tem acesso
478160	479120	Tem um elevador próprio
479120	482440	Eles não foram chamados só para ir para a matriz
482440	483780	Eles foram chamados
483780	486500	Para conhecer este último andar da matriz
486500	488140	Isso nunca ocorre
488140	490580	Os funcionários com acesso a este escritório central
490580	492500	São contados nos dedos
492500	494580	E de lá eles comandam
494580	495280	Tudo
495280	497580	Tanto no próprio prédio ali
497580	499520	Quanto no mundo inteiro
499520	501440	Lá está a diretoria
501440	502800	E a equipe
502800	505560	Principal está toda lá
505560	507600	Os três eu imagino que estejam muito felizes
507600	508920	Seja pela curiosidade
508920	511460	Em saber a verdade por trás dos boatos
511460	511940	Talvez
511940	515320	Ou pela quantidade ridiculamente grande de dinheiro
515320	516220	Que vão passar a ganhar
516220	519240	Eles então foram chamados para ir para esta filial
519240	521400	Os três já estão no trem
521400	522620	Que faz parte
522620	524860	Do último trecho desta viagem
524860	527700	Cada um tem uma cabine
527700	528580	Para si
528580	530580	Cheia de luz, uma cabine grande
530580	532300	Cada um deles está sozinho nesta cabine
532300	533520	Lembrando
533520	535820	De uma coisa que não sai da cabeça deles
535820	537300	Que aconteceu no dia de ontem
537300	539620	Cada um teve uma experiência diferente
539620	540480	Para refletir
540480	542460	Antes de chegar nesta matriz
542460	544500	E o primeiro caso que eu tenho aqui
544500	545560	É o caso da Júlia
545560	547060	No dia de ontem
547060	549040	A Júlia estava comemorando
549040	551340	Com a agora ex-chefe
551340	553580	Porque ela foi promovida para a matriz
553580	554800	E a chefe vai ficar
554800	557760	Não sei onde a Júlia comemoraria com a ex-chefe
557760	559880	Se num barzinho, num apartamento
559880	561960	Onde é que vocês estão bebendo e conversando?
562300	564960	Hum, a gente está bebendo e conversando
