start	end	text
0	10680	As minhas histórias preferidas de fantasia medieval não são aquelas sobre heróis que
10680	15040	salvam o mundo. Eu tenho uma predileção por narrativas que exploram as vidas das
15040	20240	pessoas que simplesmente tentam viver nesse universo intrigante. Um mundo repleto de
20240	24480	heróis e vilões, mas também habitado por pessoas comuns. Indivíduos que,
24480	31420	confrontados com desafios, revelam-se tão heróicos, se não mais, do que qualquer guerreiro
31420	36620	ou mago. Episódio de hoje, Sereno de Estrela.
54480	78020	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras. Nele,
78020	83240	cada jogador possui apenas um único atributo, que vai de 2 a 5. Quanto maior o atributo,
83320	84460	mais atlético é o personagem.
84480	90300	Quanto menor, mais inteligente e carismático. Sempre que o jogador faz algo com uma chance
90300	95880	de errar, joga dois dados. E precisa tirar seu atributo ou menos para ataques e ações físicas,
95880	101640	e seu atributo ou mais para ações intelectuais ou sociais. Se a jogada for fácil, ou tiver algum
101640	105720	auxílio, joga um dado a mais. Se a jogada for difícil, rola-se um dado a menos.
105720	109920	Eu sou Mandrake, o Profeta do Caos, e sou padrinho do RPG Guaxa,
109920	112720	porque nós vamos ao encontro do mais forte.
112720	113320	Não deixe de gostar do vídeo, se você gostou, dê um like, compartilhe com seus amigos e se inscreva
113320	113720	no canal para receber notificações de novos vídeos.
113720	113820	Até a próxima.
114480	120300	Aqui nas redes sociais é o Marcelo Guaxinim, arroba RPG Guaxa. E pessoal, assim como o PicPay,
120300	127380	o Padrim também vai deixar de existir. A partir de abril, ele não existirá mais como uma plataforma
127380	135160	de apoio. O RPG Guaxa só existe por conta de apoio, então eu preciso de vocês. Se você apoia
135160	143720	pelo PicPay ou pelo Padrim, que foram projetos descontinuados, assine pelo Apoia-se. Apoia.se
143720	152820	vai lá, assina o RPG Guaxa, apoia a gente. Se você é do PicPay, imagina que já não está cobrando mais de qualquer forma.
153380	158120	Se você está no Padrim, ele ainda vai cobrar por uns dois meses, então já cancela lá o Padrim.
158580	165240	Mas antes disso, assina no Apoia-se. O RPG Guaxa depende de vocês, depende deste apoio.
165480	169600	E se você ainda não é nosso apoiador, vai lá, assina também.
169600	173600	Se você costuma apoiar seus podcasts pela Aurelo, na Aurelo também.
173720	176460	Também temos o RPG Guaxa como uma opção.
176860	181900	Aurelo.cc barra RPG Guaxa, ou procura por RPG Guaxa lá e assine.
182280	185060	Agradeço demais pelo seu apoio e boa aventura.
201380	203160	7 Realidades Paralelas
203160	203180	7 Realidades Paralelas
203180	203660	7 Realidades Paralelas
203660	210160	Uma infinidade de possibilidades, 3 jogadores e um guaxinim.
210660	213000	É um prazer ter vocês por aqui.
213820	217100	Queremos todos batendo as mãos para a próxima música.
217540	218840	Digo, aventura.
218840	220680	5
220680	223840	4
223840	226600	3
226600	229240	2
233660	234660	3
234660	235660	4
235660	236660	5
236660	237660	6
237660	238660	7
238660	239660	8
239660	240660	9
240660	241660	10
241660	242660	11
242660	243660	12
243660	244660	13
244660	245660	14
245660	246660	15
246660	247660	16
247660	248660	17
248660	249660	18
249660	250660	19
250660	251660	20
251660	252660	21
252660	253660	22
253660	254660	23
254660	255660	24
255660	256660	25
256660	257660	26
257660	258660	27
258660	259660	28
259660	260660	29
260660	261660	29
261660	262660	30
262660	263660	30
263660	264660	31
264660	265660	31
265660	266660	32
266660	267660	33
267660	268660	34
268660	269660	35
269660	270660	36
270660	271660	36
271660	272660	37
272660	273660	37
273660	274660	38
274660	275660	39
275660	276660	40
276660	277660	41
277660	278660	42
278660	279660	43
279660	280660	44
280660	281660	44
281660	282660	45
282660	283660	46
283660	284660	47
284660	285660	48
285660	286660	49
286660	287660	50
287660	288660	51
288660	289660	52
289660	290660	52
290660	291660	53
291660	292660	53
292660	293660	54
293660	294660	55
294660	295660	56
295660	296660	57
296660	297660	58
