start	end	text
0	11360	Em meio às paredes do residencial Flávia Regina II, onde a vida noturna e o fervo acadêmico
11360	17880	se distanciam da agitação da cidade, três estudantes decidiram compartilhar um apartamento,
18440	23060	embarcando juntos em uma jornada de descobertas e experiências inéditas.
23920	24900	Talvez as últimas.
26380	27380	Episódio de hoje.
28100	29580	Terror no Flávia Regina.
30000	34940	Olá, eu sou o Marcelo Guaxinim, o Guaxa desta aventura, e eu estou aqui hoje com eles.
35100	42160	Oi, eu sou a Dani, e sou madrinha no RP Guaxa, e quem quiser me achar me encontra lá.
42520	47140	Aqui é o Rafael Tellerman, vocês podem me achar online procurando pelo seu nome,
47280	54220	já que acho que só eu existo com ele no mundo praticamente, e eu sou o décimo primeiro madrinho do Guaxa há muito tempo.
54540	59360	Alô, alô, eu sou o Luco, e vocês me encontram tanto na taberna,
59360	59860	quanto...
59860	66220	Eu me encontro nas redes sociais usando o arroba alucinanteborgs, é piada interna, mas é borgs de ciborgue.
68540	73140	Então a boba pulou e rasgou eles com suas garras.
77280	79880	Para, você acha mesmo que a boba existe?
80400	83360	É claro que sim, foi meu tio que contou a história dela.
83920	87900	A lenda é antiga e tem muitos outros relatos de várias pessoas por aí.
87900	89840	Com certeza isso é verdade.
89860	94220	Tá, tá bom. Você tá falando isso pra assustar a gente.
94220	101420	Minha mãe também contou essa história pra mim, mas ela disse que viu num livro chamado Realidades Paralelas do Guaxinim.
101420	103420	Hum, gostei do nome.
103420	107420	Eu também já li esse livro, mas não lembro de ter escutado a história da boba não.
107420	111880	Lembro que o livro dizia como usar um sistema chamado guaxinim e gambiarras,
111880	116580	e também que cada jogador possui apenas um único atributo, que vai de dois a cinco.
116580	118740	Aham, e depois também fala que quanto maior o atributo, quanto maior o atributo.
118740	119200	Aham, e depois também fala que quanto maior o atributo, quanto maior o atributo, quanto maior o atributo.
119200	120700	Aham, e depois também fala que quanto maior o atributo, quanto maior o atributo, quanto maior o atributo.
120700	125420	mais atlético o personagem, e quanto menor, mais inteligente e carismático.
125420	126800	Já leu também?
126800	128260	Ah, já ouvi falar.
128260	133340	Tá, eu sei que sempre que o jogador faz algo com uma chance de errar, joga dois dados,
133340	136520	e precisa tirar seu atributo ou menos pra ataques e ações físicas.
136520	141160	Então deve ser atributo ou mais para ações intelectuais ou sociais, certo?
141160	142920	Sim, exatamente.
142920	145040	Tá, mas se alguém me ajudar?
145040	147540	Se alguém te ajudar, você joga um dado a mais,
147540	149200	e se for uma jogada difícil,
149200	150900	você joga um dado a menos.
150900	152500	Parece divertido.
152500	153700	Parece fácil, né?
153700	155140	Parece versátil.
155140	157700	Ah, e tem um tal de Guaxa também, que...
