start	end	text
0	5400	Existem lugares que passam impressões de acordo com quem o visita
5400	10680	Um hospital passa uma sensação diferente dependendo se você é o médico ou o paciente
10680	13360	Uma escola cheia de crianças pode trazer alegria
13360	18420	Enquanto uma escola vazia cria aquela sensação de estranheza, de algo estar errado
18420	21220	Embora alguns professores discordem dessa última sentença
21220	23580	Um parque de diversões é outro bom exemplo
23580	26440	Quem nunca sonhou em ter um parque só para si?
26940	29060	Pois cuidado com o que você deseja
29060	32460	Episódio de hoje, uma última volta no carrossel
32460	34800	Com a Giovanna lá do Portal do Aviante
34800	39600	Interpretando Jimmy Costas, uma ex-CEO de uma multinacional
39600	42360	A Sinara, nossa madrinha e jogadora recorrente
42360	45900	Interpretando Sally Brown, ex-enfermeira
45900	52520	E Shelly, do RPG Next, do Pode Isso, do Contínuo e de sei lá mais quantos outros projetos
52520	56580	Interpretando a Nira Carter, uma bombeira
56580	59000	O Realidades Paralelas do Gostininho
59000	59040	O Realidades Paralelas do Gostininho
59040	61280	Um sistema chamado Lasers e Sentimentos
61280	62800	Na verdade, uma adaptação dele
62800	65040	Basicamente, cada jogador possui um atributo
65780	67480	Que vai de 2 a 5
67480	71360	2 para personagens que são mais inteligentes e perceptivos
71360	73740	E 5 para personagens muito fortes
73740	75640	E qualquer outra coisa entre isso
75640	76860	Para os números do meio
76860	78600	Vamos citar um exemplo
78600	81520	Um personagem que tem um atributo 4
81520	83880	Sempre que esse personagem for fazer um ataque
83880	85780	Ou uma ação física
85780	88420	Como correr, escalar, nadar
88420	89020	Ou sofrer
89040	90160	Ou tocar a cara de um vilão
90160	93180	Ele vai rolar 1 ou mais dados de 6 lados
93180	96520	E se ele tirar 1, 2, 3 ou 4
96520	98140	Ele foi bem sucedido
98140	100440	Ele conseguiu correr, ele conseguiu escalar
100440	102600	Ele conseguiu acertar o seu oponente
102600	104220	Sempre que o personagem for fazer uma ação
104220	106160	Que não seja uma ação física
106160	107600	Nem um ataque
107600	110140	Ele precisa tirar seu atributo ou mais
110140	111300	No mesmo exemplo
111300	113820	Digamos que o personagem quer anotar algo escondido
113820	117020	Ele precisa de 4, 5 ou 6
117020	119020	Note que seu atributo sempre é um ataque
119040	119500	Um acerto
119500	120660	E não só isso
120660	123040	Seu atributo é um acerto crítico
123040	125840	Ou seja, você não só foi sucedido
125840	128460	Como você foi muito bem sucedido
128460	130880	Não esqueça de seguir nas redes sociais
130880	132480	Arroba Marcelo Guaxinim
132480	134280	E arroba RP Guaxa
134280	136060	Você vai estar ajudando muito a gente
136060	137320	E se quiser ajudar ainda mais
137320	139620	Nós temos Padrim e PicPay
139620	141640	Mais informações no Escuro do Mestre
141640	143020	Ao final do episódio
149040	166540	E aí vocês estão na caverna
166540	167660	Rola os dados
167660	170380	Bola de fogo
170380	174120	Chama o clérigo
174120	176580	Assim eu morri
176580	178860	Rola a iniciativa
178860	179900	Então
179900	181960	Não tem armadilha
181960	182880	Podemos ir
182880	184760	O que vocês fazem?
186140	188920	Eu amarro uma corda nelas
188920	190140	E uso como arma
190140	191380	Eu ataco
191380	193920	O mago lança seu Thunderbolt
193920	195760	Mais 15 no Upholder
195760	197460	Eu quero rolar a perseguição
197460	200480	Tem algum lugar pra se esconder?
201120	201440	Ah
201440	203480	Falha a crítica
203480	204860	Ataque de impunidade
204860	207320	Chama o clérigo
208860	210860	RPG
210860	213640	Realidades Paralelas do Guaxinim
213640	215220	Sua aventura de bolso
215220	216620	Na forma de podcast
216620	219600	Uma jornada completa a cada episódio
219600	229500	Seja bem-vindo
229500	232000	Aproveite a sua estadia
232000	236400	Seja bem-vindo
236400	237480	Aproveite a sua estadia
237480	237900	Seja bem-vindo
237900	238400	Aproveite a sua estadia
238400	238440	Seja bem-vindo
238440	238840	Aproveite a sua estadia
238860	268840	Seja bem-vindo
268860	270980	Seja bem-vindo
270980	274600	Seja bem-vindo
275020	277060	Aproveite a sua estadia
277060	284920	Antes de começar a descrever
284920	286600	Onde vocês estão
286600	288040	Porque no momento
288040	291000	Nenhuma de vocês está vendo alguma coisa
291000	292940	Eu vou começar
292940	294500	Com a descrição de cada personagem
294500	296120	Então, Shelly
296120	297720	Nome da sua personagem
297720	298620	É
298860	300680	a história dela, a profissão e a tribo.
300680	302960	Ok. A minha personagem
302960	304480	é a Anira Carter.
305560	307040	Ela tem 31 anos
307040	308840	e ela é
308840	310560	bombeira. Ela foi pra
310560	312720	entre aspas, cidade grande, pra
312720	314880	ser bombeira. Ela saiu
314880	316780	de casa com 20 anos, foi morar
316780	318820	sozinha num apartamentozinho minúsculo
318820	320780	no centro e
320780	323060	pra não se sentir tão sozinha, ela levou
323060	325180	ela adotou um gatinho
325180	327100	filhote e chamou
327100	329040	ele de Francis Porridge.
329600	331060	Afinal, estamos nos Estados Unidos.
332000	332760	Mas é inglês pra
332760	333700	mingar o Francisco.
335000	336860	E é isso. Ela é loira,
337740	338660	olhos verdes
338660	340860	e ela tá sempre usando aquelas calças
340860	342960	caque, cheias de bolsos,
343580	345040	uma regata e
345040	346960	uma jaqueta de
346960	347820	tactel por cima.
349420	350920	E o que mais que tá faltando? Atributo
350920	353000	4. E acho que é isso.
354320	355160	O que ela perdeu?
355160	357080	O Francis Porridge.
357100	359000	O gato
359000	360400	sumiu sem explicação.
361680	363480	Ninguém viu, ninguém sabe.
364000	365140	Já faz semanas
365140	367240	e ela tá ficando louca atrás desse gato.
369200	370960	Que roupa ela usaria pra ir
370960	372520	passear num parque de diversão?
372540	375060	Exatamente essa roupa que eu descrevi. A calça caque cheia de
375060	377340	bolso, a bota
377340	379300	de trekking, regata
379300	381420	e a jaqueta de tactel.
382000	383420	E sempre o cabelo
383420	384880	com o rabo de cavalo amarrado.
387100	389880	Sinara, o nome do seu personagem,
389980	391140	atributo, a história dele?
391680	394200	Meu personagem é Sally Brown.
394720	396020	Ela é uma
396020	398000	enfermeira, ela sempre quis fazer
398000	400260	alguma coisa pra ajudar os outros
400260	401780	e ela resolveu que queria
401780	404020	trabalhar nessa área de enfermagem
404020	405740	com câncer.
406360	408260	Aí ela acabou sendo lotada
408260	409760	na área de oncologia
409760	411300	e ela
411300	413940	trabalhava lá e
413940	415500	se apegou muito a uma paciente
415500	417500	que acabou morrendo.
417500	419500	E a perda dessa paciente
419500	421340	fez com que ela perdesse todo
