start	end	text
0	5540	Um disco flutuando no espaço, em seu centro, um continente redondo dividido por montanhas
5540	11580	gigantescas, cercado por um oceano que escorre por suas bordas, um mundo plano, um planeta
11580	12340	chato.
12640	16840	Mas não para um grupo de aventureiros que vão ousar navegar em direção ao horizonte.
17120	23600	Episódio de hoje, Úrsula, com Felipe Queiroz no papel do pirata Pierre Lebon, Roberto Pena
23600	31140	no papel do cientista Thomas Bacon, e Deb Cabral no papel do navegador Matias Fernandes.
31140	38980	Sempre levo junto a mim o saquê de um tal de Pim, navegando sem temer as ondas desse
38980	39500	mar.
40000	48040	Se a tristeza nos pegar e o saquê se acabar, olhe pro céu e veja aquela lua de cristal.
51440	53580	Aí vocês estão na caverna.
54100	54680	Rola os dados.
55740	57340	Bola de fogo!
58020	58740	Chamo...
58740	61120	Chamo o clérigo.
62240	63500	Como assim eu morri?
64680	65900	Rola a iniciativa.
66560	68960	Então, não tem armadilha.
69240	69840	Podemos ir.
70580	71760	O que vocês fazem?
73080	73840	Tá, tá.
74060	77160	Eu amarro uma corda nelas e uso como arma.
77160	78440	Eu ataco.
78820	82660	O mago lança seu Thunderbolt mais 15 no Beholder.
82840	83580	E eu quero rolar.
83600	85100	Eu sou uma perseguição, posso?
85800	87480	Tem algum lugar pra se esconder?
88100	90380	Ah, falha a crítica.
90920	91740	Ataque de impunidade!
92060	92980	Ei, Romano!
93120	94320	Chamo o clérigo!
97060	100700	RPG Realidades Paralelas do Guaxinim.
101060	103640	Sua aventura de bolso na forma de podcast.
104060	106580	Uma jornada completa a cada episódio.
113600	118700	Se inscreva no canal e ative o sininho pra receber notificações de novos vídeos.
118700	124760	As antigas lendas falam que o continente de Quétier era um grande deserto cercado por um abismo,
125180	128720	pois as nuvens eram controladas por quatro deuses irmãos.
128960	134500	E que desses quatro, três eram egoístas, pois guardavam toda a água para si.
134500	139500	Um dia, porém, três mortais invadiram o reino dos céus, derrotaram os deuses malignos
140040	143500	e liberaram as represas que seguravam todas as águas.
144260	147720	Essa água caiu criando os rios e formando os mares.
148080	152980	Essa água trouxe vida, comida e a possibilidade de viajar mais facilmente entre os reinos.
153360	158460	Afinal, era mais fácil navegar em seu entorno que superar montanhas colossais.
158660	164100	Hoje, mais de mil anos depois dos tais deuses terem sido derrotados,
164540	169460	seu culto desapareceu, mas a lenda da terra em forma de disco ainda permanece.
170380	172440	Estamos na grande era das navegações.
172740	173460	Embora ninguém tenha conhecido,
173600	176140	ou tenha tido coragem de navegar para longe da margem,
176580	178120	ao menos ninguém que tenha voltado,
178580	181900	o reino de vocês vive um grande momento de paz.
182180	186440	A terra, para todo mundo, menos para o Pena e para algumas pessoas que acreditaram nele,
186540	191380	a terra é plana, o reino de vocês está riquíssimo,
191580	193420	porque ele está no auge das navegações.
193680	196500	Todas essas navegações são feitas circundando o continente,
196960	200340	sempre se navega com o continente de um dos lados do navio,
200340	203240	para saber que você está próximo, que você não vai cair.
203240	205620	No abismo que existe além do mar, né?
206100	209540	Se traz muitas especiarias, criaturas raras.
209840	213820	É o melhor período para as navegações, e este reino é o que mais está lucrando.
214100	217100	Os melhores barcos, os maiores navegadores vêm desse reino.
217200	217540	Beleza.
217620	221240	Thomas Bacon é um professor cientista.
222020	227340	Ele ficou muito desacreditado quando tentou levantar a teoria de que a terra era redonda.
227720	231500	Escreveu um livro com contas e várias justificativas,
231500	232960	mas quando foi perguntado,
232960	236720	o porquê todo navio que partia em direção ao horizonte não voltava,
236980	238640	ele deu algumas respostas vagas,
238860	243040	e só não caiu em ostracismo, foi preso, ou talvez alguma coisa pior,
243280	245680	porque ele ajudou na educação do príncipe.
245780	247480	A ideia das sereias não colou, né?
247820	248560	Realmente não.
248860	250100	A ideia das sereias não colou.
251220	253800	Pena, qual é a aparência do teu personagem?
254180	256660	Cara, meu personagem tem uma estatura mediana.
256660	261880	Ele é franzino, não é um cara, assim, atlético.
262260	262860	Ele passou a...
262860	264380	A maior parte da vida dele nos livros.
264840	269540	Ele usa uma roupa, um hobby cinzento, escuro,
270040	273280	que é aquela roupa tradicional, assim, de monge, sabe?
273340	276640	Imagina ele como se fosse um monge medieval, escolástico,
276880	280000	com livros embaixo do braço, aquela togazinha,
280540	283960	e uma barba, uma barba já crescida,
283960	288400	uma idade por volta de uns 40 anos, eu imagino, uns 45.
288760	289480	Eu acho que é isso.
289900	292840	Você estava tomando uma sopa, já é próximo da hora,
292860	295260	da hora do almoço, quando batidas fortes na porta
295260	296540	chamam a tua atenção.
296800	297620	Hum, eu atendo.
297880	302100	Tem um oficial, um soldado, acompanhado de outros dois soldados.
302280	303680	Este soldado fala...
303680	304460	Senhor Thomas?
304720	304960	Sim?
305120	307940	O rei solicita a vossa presença imediatamente.
308060	309860	Ok, estou me aprontando.
310540	312040	Pego lá...
312040	315800	O rei me chama com frequência ou isso é uma coisa fora do normal?
316060	316940	O rei nunca te chama.
317200	317520	Nunca?
318000	319280	O rei não gosta de ti, inclusive.
319460	320020	Ah, entendi.
320020	322020	Então, eu prontamente vou...
322860	323820	Vou pra lá.
324160	328120	Tu vê que os soldados estão ali, um deles está só com um pergaminho na mão pra te chamar,
328220	330240	mas outros dois estão com lanças, estavam bem armados,
330400	333100	prontos pra convencê-lo a ir caso você não quisesse.
333140	335660	Ok, engulo seco assim e vou.
335840	339580	O personagem da Debbie, Matias Fernandes, estava no porto,
339680	344540	observando alguns marinhos descarregarem um navio, trazendo chá,
344640	346980	quando os soldados chegam até você.
347260	348320	Ai, pois não?
348320	351320	Senhor Matias, o rei solicita a sua presença no castelo imediatamente.
352240	352380	Oi.
352380	354740	Ele necessita de um especialista em sua área.
354880	356160	Pois não? Vou agora.
356460	357500	Qual é a aparência do teu personagem?
357780	367200	Ele é baixo, uns 60 e pouquinhos, e gordo, assim, forte e meio desajeitado.
367340	369640	Tu não precisa fazer a voz dele quando não tá falando por ele.
377640	380680	Eu imagino também um cabelo castanho, bagunçado.
380840	381640	Por ali estava também...
382380	383520	R. Lebon, é isso, né?
383720	384140	Isso aí.
384220	388620	Tu tava por ali tentando procurar informações sobre o seu barco desaparecido?
388760	392280	E disfarçado porque eu sou perseguido, né, pela polícia.
392440	392800	Perfeito.
393040	397860	Quando tu vê essa cena, assim, soldados procurando por todos os lados pelo Matias, né?
397980	401180	Tu conhece já, é um amigo seu.
401380	401780	Uhum.
401940	403760	Tu vê os soldados abordarem o Matias.
403760	408740	Ao contrário do pênalti que foi escoltado, né, os soldados avisaram o Matias e saíram.
408840	410240	Tipo, o Matias vai por conta própria.
410380	412260	Tu vê que o Matias tá lá se preparando pra...
412260	412940	Pra alguma coisa.
413060	414240	Os soldados falaram alguma coisa pra ele.
414300	415960	Tá, eu me aproximo dele.
416060	418780	Antes de tudo, qual é a aparência do teu personagem nesse momento, então?
418900	426420	Eu tô com um manto bem opaco, assim, marrom, alguma coisa jogada sobre o corpo.
426520	429440	Com um tapa-olho, né, tapando o meu olho que não é tão bom.
430020	433440	E o cabelo preso num rabo de cavalo pra dentro do manto também.
433440	436300	E o manto cobrindo a cabeça, como uma touca.
436640	441360	Tentando parecer o mais discreto possível, pra as pessoas não perceberem as feições do meu rosto.
442260	450520	E andando meio empenado, assim, sem porte, sem garbo, pra não reconhecerem a minha sensacional presença.
452660	456320	Pra Debbie, né, pro Matias, ser chamado pelo rei não é comum.
456560	458260	Embora já tenha acontecido outras vezes.
458460	463360	Era muito mais comum o teu pai, que há muito tempo tá desaparecido, né?
463800	466460	O teu pai era um conselheiro direto do rei.
466560	469800	Então, sempre que o rei queria alguma coisa sobre navegação, teu pai era consultado.
469940	470360	E quando teu pai se foi, como os teus irmãos mais velhos...
470360	472240	E quando teu pai se foi, como os teus irmãos mais velhos...
472260	474580	Não ligam pra essa parte de navegação.
474840	477140	Tu ficou sendo um especialista quando ele precisa.
477400	481920	Mas, como teu pai já ensinou muita coisa pro rei, tu dificilmente era chamada, né?
482120	486700	Tá, eu vejo que depois que a guarda se afasta dela, eu me aproximo.
487080	489660	Aí eu vejo que tem gente em volta, então eu tento ser discreto.
489760	493540	Falo assim, e aí, amigo, o que a guarda queria com você?
493840	495020	Ai, Pi, sei lá.
495220	500260	Eles me chamaram ali, falaram alguma coisa a respeito das minhas habilidades e...
500780	502240	Bom, não sei.
502260	504380	Meu pai fazia umas coisas aí pro rei.
504720	507840	Vai que eles tão querendo me chamar pra gente ir pro mar.
508300	509900	É, ir pro mar é uma boa.
510040	512760	Se você precisar de uma tripulação, não se esqueça de mim.
512840	513700	Pode deixar, Pi.
513780	516160	Eu realmente preciso de voltar pro mar.
516640	518480	Esse tempo em solo está acabando comigo.
518760	519680	Acabando com a minha pele.
520080	521600	Acabando com o meu cabelo.
523520	524900	Ah, para, né?
527400	528300	Sua moça.
529920	531260	Vamos comigo, então.
531260	533840	Eu falo que você vai estar de assistente, alguma coisa assim.
534060	535180	Perfeito, perfeito, perfeito.
535340	536980	Eu serei seu calculador.
537280	537720	Ótimo.
538060	540600	Tá, então partem vocês dois em direção ao castelo, né?
540700	540980	Uhum.
541320	547600	Tá, quando vocês chegam no castelo, vocês são levados até uma sala de espera, com alguns sofás e tal.
547820	552740	E lá está sentado o Thomas Bacon, em pé atrás do sofá onde ele está sentado.
552820	556260	Tem dois guardas com lanças apostos, né?
556440	557560	E ele está ali aguardando também.
557560	559860	Uma característica do meu personagem.
560180	561220	Ele sempre porta.
561260	567140	Ele sempre porta um caderninho e uma pena pra fazer as anotações dele.
567560	570040	Então o Thomas está ali escrevendo, inclusive.
570140	570660	Exatamente.
571400	571980	Muito bom.
572440	576380	Senhor Bacon, senhor Bacon, muito prazer, muito prazer.
576540	579620	Meu nome é Matias, Matias Fernandes.
579980	582320	Eu li muito do tudo que o senhor escreveu.
582920	583520	Matias?
584080	586660	Poxa, obrigado, mas você faz o que exatamente?
587040	588720	Eu sou um grande navegador.
