start	end	text
0	5480	Esse episódio é recomendado para maiores de 10 anos, pois possui violência fantasiosa.
6020	8700	E ainda assim é o nosso especial de Dia das Crianças.
9480	13160	Episódio de hoje, Velozes, Listrados e Furiosos.
13720	17140	Com a Naomi, lá do Nanocast e do Contos Lúdicos.
17480	21400	Com a Mel, lá do Nossa Poesia e do Projeto Drama.
21860	25300	E com o Danilo Battistini, lá do Contador de Histórias.
25300	31240	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
31620	38160	Nele, cada jogador possui, tipo, apenas um único atributo, que vai de 2 a 5.
38420	44080	Quanto maior o atributo, mais atlético é o personagem, mas mais burrinho, tipo o Adam.
44520	48640	Quanto menor, mais inteligente e carismático que nem eu, né?
49500	51800	Eu não sei onde o vovô se encaixa nisso tudo.
51800	54420	Mas detalhe, o vovô é vovô, né gente?
54420	58840	Sempre que o jogador faz algo com uma chance de errar, ele joga dois dados.
59280	64220	E aí ele precisa tirar o seu atributo, ou menos, pra ataques e ações físicas.
64460	68800	E o seu atributo, ou mais, pra ações intelectuais ou sociais.
69400	71760	Fácil, né gente? Até o Adam entende essa.
72220	76100	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
76280	82360	Se a jogada for difícil, tipo, sei lá, tentar convencer o vovô a ser legal, rola-se um dado a menos.
82360	83900	Eu sou a Loriane.
84420	90100	Além de trazer a alegria do Natal, eu faço parte do RP Guaxa.
90480	93680	Porque, né gente, tem mundo mais divertido.
94180	95500	Ah, claro que não.
96080	96640	Beijinho!
97180	100640	Não deixe de nos seguir nas redes sociais, arroba marcelo guaxinim, arroba rp guaxa.
100820	102220	Tanto no Twitter quanto no Instagram.
102760	105760	Considere também se tornar um apoiador pelo PicPay ou pelo Padrim.
106300	108600	Mais informações no Escudo Mestre ao final do episódio.
108960	109820	Boa aventura.
114420	118720	E aí, vocês estão na taverna?
119180	119840	Rola os dados.
120880	122520	Bola de fogo!
123160	126280	Chama o clérigo.
127400	128660	Como assim eu morri?
129800	131060	Rola a iniciativa.
131740	135020	Então, não tem armadilha. Podemos ir.
135740	136920	O que vocês fazem?
138280	142320	Tá, tá. Eu amarro uma corda nelas e uso como arma.
142320	143620	Eu ataco.
143620	147960	O mago lança seu Thunderbolt mais 15 no Upholder.
147980	150340	Ih, eu quero rolar a percepção, bozo.
151240	152640	Tem algum lugar pra se esconder?
153280	155520	Ah, falha a crítica.
156080	156900	Ataque de impunidade!
157240	159480	É erro, mano! Chama o clérigo!
162380	165840	RPG, Realidades Paralelas do Guaxinim.
166200	168480	Sua aventura de bolso na forma de podcast.
168480	171760	Uma jornada completa a cada episódio.
173620	181860	No princípio, os homens viviam no campo e os guaxinims nas florestas.
182040	185300	E todos eram infelizes em seus ambientes tranquilos e seguros.
185940	191480	À medida que a modernidade foi avançando, as pessoas, e os guaxinim, começaram a migrar para as cidades.
192020	196780	E por um tempo, todos eram felizes, embora agora fossem inquietos e inseguros.
196780	203320	O homem produzia lixo e os guaxinims não precisavam mais urinar em tocas de caranguejo para fazê-los sair,
203620	207620	nem subir em árvores para roubar ovos, ou mesmo lutar com cobras e ratos.
207620	209620	Ok, ainda existem ratos.
209620	213620	Mas para que caçá-los se um guaxinim pode facilmente encontrar uma caixa de pizza
213620	217620	cheia de molho e bordas em qualquer grande lixeira da cidade?
217620	218620	A vida era boa.
218620	220620	Mas a época dos guaxinims gordinhos acabou.
220620	225620	Reciclagem e alimentos cada vez menores tornaram o lixo menos calórico.
225620	228620	Quem inventou a porção individual? A mini pizza? A comida vegana?
228620	231620	Os guaxinims estão ocupando cada vez menos espaço.
231620	233620	Não só pela dieta forçada,
233620	237620	mas pelo controle de animais que antes prendia apenas cachorro e afugentava ursos,
237620	239620	agora decidiu caçá-los.
239620	241620	Será o fim dos guaxinims urbanos?
241620	243620	Não, pois nem tudo está perdido.
243620	247620	Uma última esperança surgiu na forma de comida mexicana.
247620	252620	O que se fala nas ruas é da grande corrida que está para acontecer.
252620	258620	Uma corrida que vai começar no ferro velho e terminar na loja de tacos Speed Gonzales.
258620	262620	Uma loja de tacos que usa a identidade visual do ratinho ligeirinho, sem pagar nenhum royalties.
263620	268620	O último reduto de comida de qualidade na cidade está ali.
268620	275620	Mas seus muros altos e sistema de segurança avançado impede qualquer aproximação de animais não voadores.
275620	278620	Malditas gaivotas, mas não na corrida de carros.
278620	280620	Quem vencer a corrida ganha um troféu.
280620	282620	Quem liga pra isso?
282620	285620	Dinheiro, mas guaxinim nem bolso tem.
285620	291620	E um cartão de fidelidade, que dá direito a comer quantos tacos quiser por um ano.
291620	294620	Mas espera, estamos falando de guaxinins?
294620	296620	Ou pilotos de corrida ilegal?
296620	304620	Senhoras e senhores, estamos falando de guaxinins que esta noite vão se tornar pilotos em uma corrida ilegal.
311620	313620	Para isso temos aqui os jogadores.
313620	317620	O primeiro deles, estreando aqui no RP Guaxa, temos a Naomi.
317620	320620	Naomi, fala sobre o seu personagem, que item ele tem e qual o atributo dele.
321620	328620	Olá, eu sou a Naomi e hoje eu vou interpretar o Ivan Guax, que é um guaxinim mais velho da época dos guaxinins gordinhos.
328620	337620	Ele lembra muito saudosamente dessa época onde as pizzas eram enormes e as porções de batatas fritas iam pela metade pro lixo.
337620	344620	O atributo dele é 3, porque ele já não é tão perspicaz como ele era antes e nem tão forte, ele já tá velho.
344620	350620	E o item dele é uma caixa de charuto, porque ele precisa ficar estiloso e também é fácil de distrair um humano com um charuto pequeno.
351620	352620	É muito bonito.
352620	353620	Perfeito.
353620	355620	Além da Naomi, temos aqui a Mel.
355620	358620	Mel, fala sobre o seu personagem, o atributo e o item que ele possui.
358620	363620	Oi, eu sou a Mel e eu vou fazer a Angélica, mas todo mundo chama ela de Lilica.
363620	369620	Ela é uma guaxinim muito fofinha, assim, um pouco mais escurinha do que o normal.
369620	373620	E ela tem um lacinho roxo em uma das orelhinhas, que é o charme dela.
373620	380620	O objeto que ela tem com ela é um isqueiro, que normalmente ela usa pra aquecer um pouco as pizzas, que ela consegue achar, né.
380620	381620	Mas o charme dela é o isqueiro, que normalmente ela usa pra aquecer um pouco as pizzas, que ela consegue achar, né.
381620	382620	Mas o charme dela é o isqueiro, que normalmente ela usa pra aquecer um pouco as pizzas, que ela consegue achar.
382620	383620	Mas o charme dela é o isqueiro, que normalmente ela usa pra aquecer um pouco as pizzas, que ela consegue achar.
383620	384620	Mas o charme dela é o isqueiro, que normalmente ela usa pra aquecer um pouco as pizzas, que ela consegue achar.
384620	385620	Mas o charme dela é o isqueiro, que normalmente ela usa pra aquecer um pouco as pizzas, que ela consegue achar.
385620	386620	Mas o charme dela é o isqueiro, que normalmente ela usa pra aquecer um pouco as pizzas, que ela consegue achar.
