start	end	text
0	23360	A Fazenda do Seu Felipe é uma daquelas fazendas do interior cheia de lendas e histórias.
23360	29880	É aquele tipo de lugar onde o tecido da realidade é mais fino, onde podemos ver criaturas que na cidade só existem nos livros.
30200	32860	Um lugar calmo que está prestes a se agitar.
33340	36460	Episódio de hoje, Volipe e a Volta do Saci.
36740	39220	Com Felipe Queiroz no papel do Padre Sebastião.
39560	41620	Com Flávio Ward no papel de Jéssica.
41980	45000	Ambos jogadores do Portal Deviante do Psycast.
45460	48040	Ambos netos do Volipe.
48680	52100	E Felipe Xavier, aqui da RPG Guaxa, no papel de Deolindo.
52100	56880	Que não é neto do Vô Felipe, mas trabalha na fazenda e é quase da família.
56880	60480	A realidade paralela aos guaxinins é um sistema chamado Guaxinins e Gambiarras.
60800	63020	Uma variação do sistema Lasers e Sentimentos.
63420	67420	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
67840	70520	Quanto maior o atributo, mais atlético é o personagem.
71000	73700	Quanto menor, mais inteligente e carismático.
74040	77240	Sempre que o jogador tenta fazer algo, ele joga dois dados.
77640	81480	E precisa tirar seu atributo ou menos para ataques e ações físicas.
81480	85620	E seu atributo ou mais para ações intelectuais ou sociais.
85620	90160	Se a jogada for fácil, ou tiver alguém auxiliando, joga um dado a mais.
90160	95160	Se a jogada for difícil, ou tiver algo atrapalhando muito, rola-se um dado a menos.
95160	102160	Qualquer dúvida nos procure nas redes sociais, tanto no Twitter quanto no Instagram.
102160	104160	Siga, que isso ajuda muita gente.
104160	107160	Considere também se tornar um apoiador pelo PicPay ou pelo Padrim.
107160	110160	E você vai poder receber essas aventuras antes do feed.
110160	114160	E também vai poder gravar vozes, jogar aventuras com os outros padrinhos.
114160	115580	Uma série de outras maneiras.
115580	119580	Vantagens que eu explico melhor no Escuro do Mestre, ao final do episódio.
119580	121580	Pegue seu pão de queijo e boa aventura.
121580	125580	Porque eu moro em Minas Gerais.
125580	128580	E não há lugar melhor para se viver.
128580	133080	Suas belas paisagens alegram meu coração.
133080	140080	Seu clima é tão perfeito como voz e violão.
144080	145580	Aí vocês estão na taverna.
145580	147580	Rola os dados.
147580	149580	Bola de fogo!
149580	151580	Chamo...
151580	153580	Chamo o clérigo.
153580	155580	Como assim eu morri?
155580	157580	Rola a iniciativa.
157580	159580	Então.
159580	161580	Não tem armadilha. Podemos ir.
161580	163580	O que vocês fazem?
163580	169580	Tá, tá. Eu amarro uma corda nelas e uso como arma.
169580	170580	Eu ataco.
170580	174580	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
174580	177580	Eu quero rolar a perseguição. Posso?
177580	179580	Tem algum lugar pra se esconder?
179580	182580	Ah, falha a crítica.
182580	183580	Ataque de impunidade!
183580	186580	Ei, arrumando! Chamo o clérigo!
188580	192580	RPG. Realidades Paralelas do Guaxinim.
192580	195580	Sua aventura de bolso na forma de podcast.
195580	198580	Uma jornada completa a cada episódio.
204580	213580	Se inscreva no canal e ative o sininho pra receber notificações de novos vídeos.
213580	217580	Nossa história se passa então numa fazenda no interior de Minas Gerais.
