start	end	text
0	18800	Uma pequena ilha pacata, com sua cidadezinha, tem sua vida transformada quando alguém deixa
18800	20760	uma bolsa num terminal de ônibus.
21000	27500	Essa bolsa tem uma pequena explosão, um vírus se espalha e uma raiva a tomar conta das pessoas.
27500	32400	As primeiras cenas fizeram qualquer um que tenha assistido um filme de zumbis entender
32400	33880	o que estava acontecendo.
34220	38800	As pessoas atacavam mais as outras e espalhavam aquele vírus de maneira muito rápida.
39260	43960	Mais rápido que isso foi a ação do exército, que fechou seu espaço aéreo e marítimo e
43960	45740	evitou que o vírus saísse da ilha.
46260	51880	Meses se passaram, os congressistas garantem que nenhum ser vivo ainda habita aquele lugar
51880	55900	e que há um perigo real do vírus espalhar para o resto dos Estados Unidos.
55900	61960	Em uma votação extremamente apertada, eles conseguiram aprovar uma detonação de
61960	67080	uma pequena bomba nuclear que vai varrer a ilha do mapa junto com o vírus.
67480	70820	Grupos de direitos humanos organizam passeatas pelo país todo.
71340	73200	O clima está realmente tenso.
73680	79420	Mas três soldados farão sua última visita àquela ilha na missão mais difícil de
79420	80180	suas vidas.
80460	85840	Episódio de hoje, a ilha condenada, com Isabela Fontanella no papel de Marta.
85900	92720	A nossa Ice Queen, com Guilherme Vertamati, o Verta, como Weber, e o Jefferson, lá do
92720	94720	dado viciado, como Texas.
95200	96600	Todos os militares treinados.
97040	102900	O Realidade Paralelas Washington usa uma versão adaptada do sistema Lasers e Sentimentos.
103460	106280	Basicamente, cada jogador tem um único atributo.
106780	109460	Você rola um dado ou dois, se for uma atração mais fácil.
109460	115320	Você precisa tirar seu número, ou menos, se for uma ação física ou um ataque.
115900	120700	E seu atributo, ou mais, se for uma ação não física nem um ataque.
120960	128540	Como procurar, observar, qualquer coisa que envolva pensar normalmente, vai usar seu atributo, ou mais.
128960	131080	Tirar o seu próprio número é um acerto crítico.
131280	133420	Maiores informações no Escudo Mestre, ao final do episódio.
133900	135440	Não esqueça de nos seguir nas redes sociais.
135840	138660	Arroba Marcelo Guaxinim, arroba RB Guaxa.
138660	140940	Um beijo pra vocês e ótima aventura.
145900	175880	Transcrição e Legendas Pedro Ribeiro Carvalho
175900	205880	Legendas Pedro Ribeiro Carvalho
205900	216580	RPG Realidades Paralelas do Guaxinim
216580	219560	Sua aventura de bolso na forma de podcast.
220000	222500	Uma jornada completa a cada episódio.
235900	251220	Uma coletiva de imprensa.
251400	253720	O prefeito está falando para um grande grupo.
253720	261040	Como sabem, a nossa bem amada ilha de Corleones sofreu um atentado terrorista no dia 23 de fevereiro deste ano.
261380	265080	Uma espécie de vírus da raiva modificado se espalhou rapidamente.
265080	268700	Os famosos zumbis tomaram conta de tudo.
269040	273220	Mas graças a ação rápida do exército, esse vírus ficou contido.
273900	280800	E embora muitas vidas tenham se perdido, fico feliz por todos aqueles que sobreviveram, assim como eu.
281300	285220	O próximo passo é eliminar esse vírus da face da terra.
285960	289720	Nesse final de semana, iremos criar uma pequena explosão nuclear.
289720	291800	Uma pequenina explosão nuclear.
292120	294920	Que vai erradicar para sempre esse vírus maldito.
295080	299920	Infelizmente, tivemos que chegar a esse ponto, mas fazer o que?
299920	302920	O que importa é que ele será erradicado.
302920	304920	Perguntas, por favor?
304920	306920	Jujuba do Missangas News.
